#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_farauti	KI421548	AFAF000001	-	240968	250835	12	240968-241571:241830-242068:242321-242451:242962-246437:246582-246685:246776-246924:247022-247455:247533-247703:247782-247936:248018-248259:249193-249331:250647-250835
Anopheles_farauti	KI421542	AFAF000002	-	2198776	2199696	2	2198776-2199460:2199539-2199696
Anopheles_farauti	KI421677	AFAF000003	+	184119	195363	7	184119-188177:188588-188684:191013-191231:191320-191855:192313-192482:192744-193642:194261-195363
Anopheles_farauti	KI421657	AFAF000004	-	401687	409641	5	401687-401859:406388-406648:406948-407498:409022-409117:409625-409641
Anopheles_farauti	KI421754	AFAF000005	-	39199	39574	2	39199-39326:39403-39574
Anopheles_farauti	KI421571	AFAF000007	+	675338	678259	7	675338-675417:675552-676088:676165-676215:676276-676524:676599-676741:676804-677267:677669-678259
Anopheles_farauti	AXCN01002490	AFAF000008	-	6237	9850	5	6237-6324:7756-7939:8870-9254:9347-9364:9773-9850
Anopheles_farauti	KI421575	AFAF000009	+	1395205	1398319	5	1395205-1395520:1395612-1395875:1397587-1397772:1397840-1398137:1398259-1398319
Anopheles_farauti	KI421566	AFAF000010	+	1430305	1433686	3	1430305-1430543:1432925-1433172:1433283-1433686
Anopheles_farauti	KI421601	AFAF000014	-	141659	142338	2	141659-141945:142014-142338
Anopheles_farauti	KI421583	AFAF000015	-	86322	93208	8	86322-86568:86662-86959:88098-88283:88342-88437:88566-88763:89589-89724:92814-92918:93185-93208
Anopheles_farauti	KI421574	AFAF000016	-	253540	254089	2	253540-253977:254069-254089
Anopheles_farauti	KI421598	AFAF000017	-	194487	198197	5	194487-194766:194834-195438:196300-196505:196596-197119:198154-198197
Anopheles_farauti	KI421763	AFAF000018	-	1582	16872	12	1582-1821:2102-2502:3295-3894:4289-7549:10090-10577:10642-10768:10839-10994:11071-11190:11269-12144:12547-12723:12801-12899:16512-16872
Anopheles_farauti	KI421664	AFAF000019	+	32693	33967	1	32693-33967
Anopheles_farauti	KI421680	AFAF000020	-	132282	144102	11	132282-132409:132495-133006:133109-134251:134257-135939:135965-136748:136763-136883:137492-137656:139243-139304:142356-142486:143607-143814:143868-144102
Anopheles_farauti	KI421778	AFAF000021	+	81815	82342	2	81815-81889:81959-82342
Anopheles_farauti	KI421636	AFAF000022	-	573203	574291	3	573203-573413:573475-574112:574181-574291
Anopheles_farauti	KI421729	AFAF000023	-	28148	31695	3	28148-28519:28816-29065:31583-31695
Anopheles_farauti	KI421555	AFAF000024	-	454400	455995	3	454400-454558:455369-455679:455743-455995
Anopheles_farauti	KI421584	AFAF000028	-	420989	423945	6	420989-421209:422168-422221:422284-422382:422600-422719:422790-422853:423154-423945
Anopheles_farauti	KI421741	AFAF000029	-	158154	159590	3	158154-158210:158292-159182:159477-159590
Anopheles_farauti	AXCN01002408	AFAF000030	+	45811	50560	3	45811-45855:48808-49934:50092-50560
Anopheles_farauti	KI421627	AFAF000031	-	331258	331973	2	331258-331586:331904-331973
Anopheles_farauti	KI421640	AFAF000032	-	211802	213778	1	211802-213778
Anopheles_farauti	KI421634	AFAF000033	+	129735	141456	10	129735-130667:130810-131028:132271-132566:132675-133038:133140-133475:133576-133879:137564-137636:137843-138245:138803-138971:140552-141456
Anopheles_farauti	KI421731	AFAF000034	+	14711	16306	3	14711-14867:15706-15849:16206-16306
Anopheles_farauti	KI421539	AFAF000035	+	2089898	2112254	6	2089898-2089981:2094507-2094666:2101054-2101367:2103383-2103542:2110125-2110327:2112072-2112254
Anopheles_farauti	KI421602	AFAF000036	+	23568	24622	2	23568-23700:24375-24622
Anopheles_farauti	KI421565	AFAF000037	-	1413196	1414605	2	1413196-1414385:1414449-1414605
Anopheles_farauti	KI421539	AFAF000038	+	1371696	1373757	4	1371696-1372034:1372103-1373096:1373178-1373541:1373613-1373757
Anopheles_farauti	KI421570	AFAF000039	+	277354	278433	2	277354-278115:278182-278433
Anopheles_farauti	KI421642	AFAF000040	-	148285	149789	3	148285-148650:148771-149490:149550-149789
Anopheles_farauti	KI421548	AFAF000041	+	1044561	1045038	2	1044561-1044954:1045031-1045038
Anopheles_farauti	KI421561	AFAF000042	-	847670	852486	6	847670-848021:848097-848194:848903-849275:849339-849533:849987-850234:850606-852486
Anopheles_farauti	KI421567	AFAF000044	-	767827	768384	2	767827-768221:768294-768384
Anopheles_farauti	KI421539	AFAF000046	-	13340	17858	2	13340-13676:17836-17858
Anopheles_farauti	KI421557	AFAF000049	-	1518442	1519695	1	1518442-1519695
Anopheles_farauti	KI421554	AFAF000050	+	1322365	1323195	1	1322365-1323195
Anopheles_farauti	KI421575	AFAF000051	-	430643	447318	6	430643-430840:442734-442783:444906-445005:445224-446336:446367-446578:446751-447318
Anopheles_farauti	KI421588	AFAF000052	+	718481	719914	2	718481-718490:718821-719914
