scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB668459	+	KB668990	-	-122.08742857	0.144693996671	0.666666666667	6
KB668736	+	KB668559	+	-490.969076276	0.0581603544416	0.6	5
KB668844	+	KB668873	+	-50.7639414072	0.0940803850138	0.8	5
KB668844	+	KB669525	+	354.974960744	0.158051674301	0.8	5
KB668844	+	KB668911	-	44.9077570438	0.107326716525	0.75	8
KB668844	+	KB668768	+	-634.393103421	0.0506101810604	0.666666666667	6
KB668844	+	KB668804	-	200.223885775	0.125400381653	0.8	5
KB668844	+	KB669527	+	-709.423683763	0.489877743857	0.4	5
KB668844	+	KB668785	-	-268.999051571	0.073523797649	0.833333333333	6
KB668844	+	KB668723	-	354.964327633	0.147919487783	0.833333333333	6
KB669003	-	KB669037	-	301.521388143	0.103260063942	0.833333333333	6
KB669003	-	KB669015	-	354.962896019	0.0646250147059	0.8	5
KB668414	-	KB668957	-	-281.082037926	0.0610847843058	0.571428571429	7
KB669231	-	KB668924	-	-718.104948282	0.0730138146987	0.714285714286	7
KB668772	+	KB668345	-	241.875366181	0.100864480875	0.666666666667	6
KB668863	+	KB668876	+	354.968370438	0.100795320012	0.714285714286	7
KB668863	+	KB669292	-	354.973768383	0.110012199477	0.8	10
KB668863	+	KB668699	+	354.966620207	0.101859777648	0.666666666667	6
KB668863	+	KB668680	+	345.996951103	0.10177500562	0.714285714286	7
KB668863	+	KB669236	+	354.974492878	0.0687614195116	0.6	5
KB668863	+	KB668992	+	8.47551783919	0.0701442420372	0.8	10
KB668863	+	KB668873	+	354.961292148	0.101859078462	0.666666666667	6
KB668863	+	KB668774	+	354.950817704	0.100788387184	0.8	10
KB668863	+	KB669158	-	354.971554607	0.102959670334	0.714285714286	7
KB668863	+	KB668766	-	354.973605454	0.102959942313	0.714285714286	7
KB668863	+	KB668881	-	354.966649652	0.110339004547	0.6	5
KB668863	+	KB668679	+	-28.8188099861	0.0627972388315	0.714285714286	7
KB668863	+	KB669527	+	-887.588112593	0.0461861573025	0.6	5
KB668863	+	KB668881	+	354.966649652	0.0820819900123	0.8	5
KB668863	+	KB669447	+	354.972378314	0.110012002337	0.8	10
KB668863	+	KB668367	+	354.953578532	0.102957285823	0.714285714286	7
KB668863	+	KB669158	+	354.971554607	0.101860425279	0.666666666667	6
KB669289	+	KB668228	+	-489.702190399	0.133891895198	0.833333333333	6
KB669141	+	KB668894	-	354.968884945	0.616344288086	0.6	5
KB669021	+	KB668345	-	243.25796032	0.103921218228	0.666666666667	6
KB669021	+	KB668772	+	319.753336668	0.0977641325416	0.571428571429	7
KB668830	-	KB668445	+	-251.808668613	0.0543217654857	0.5	8
KB668772	-	KB668768	+	-615.026473999	0.0678575868351	0.6	5
KB668772	-	KB668711	+	354.961183131	0.0912246433487	0.846153846154	13
KB668772	-	KB668785	-	-229.862774909	0.052949838682	0.666666666667	9
KB668772	-	KB668551	+	-604.710106254	0.0467058348104	0.727272727273	11
KB668772	-	KB668851	+	354.973463118	0.154394320832	0.6	5
KB668772	-	KB668673	+	301.854993701	0.0896188068926	0.625	8
KB668772	-	KB668974	-	301.461282253	0.101239286514	0.666666666667	6
KB668794	-	KB669023	+	354.962591648	0.497761249648	0.6	5
KB668865	-	KB668682	-	354.962686718	0.0450454800358	0.6	5
KB669490	+	KB668357	-	354.959976196	0.135536264086	0.777777777778	9
KB669339	+	KB668331	+	-945.638811111	0.0394699086995	0.833333333333	6
KB669339	+	KB669606	-	-869.440441132	0.0465628133202	0.666666666667	6
KB669339	+	KB668531	+	-603.666524887	0.0403828802552	0.833333333333	6
KB669026	+	KB668697	+	-395.581048787	0.0594427118987	0.666666666667	9
KB668626	-	KB669155	-	-827.934613228	0.0701347407281	0.883720930233	43
KB669282	+	KB668364	+	-436.032466888	0.061001185019	0.666666666667	6
KB668992	-	KB669214	-	71.7760931849	0.41290707589	0.3	10
KB668992	-	KB668758	+	-61.9754559994	0.714430855106	0.326086956522	46
KB668992	-	KB668755	+	-104.795458645	0.80038870936	0.428571428571	7
KB668992	-	KB668735	-	-224.080841154	0.738470557291	0.5	6
KB668992	-	KB668895	+	-197.134796619	0.713956926304	0.375	8
KB668992	-	KB668334	+	59.8169297278	0.684569520955	0.428571428571	7
KB668992	-	KB668711	-	-292.020046711	0.664889165244	0.5	20
KB668992	-	KB669079	-	15.7620060444	0.729428908197	0.2	10
KB668992	-	KB669170	+	36.9108404666	0.729922261046	0.176470588235	17
KB668992	-	KB669165	+	-112.469198078	0.795848550599	0.461538461538	13
KB668992	-	KB668945	-	-192.618874252	0.747228263047	0.428571428571	7
KB668992	-	KB668877	+	-296.068615019	0.685401962856	0.461538461538	13
KB668992	-	KB669068	-	-180.176101625	0.666880355243	0.285714285714	7
KB668992	-	KB668718	-	-179.746861458	0.73225429339	0.466666666667	15
KB668992	-	KB668919	+	177.164209902	0.405235697289	0.551724137931	29
KB668992	-	KB668345	-	-537.33011961	0.0494901046126	0.714285714286	7
KB668992	-	KB668828	+	-278.462663382	0.691677553559	0.375	8
KB668992	-	KB668948	+	77.1058802307	0.0195058063258	0.833333333333	6
KB668992	-	KB668661	-	31.0983967781	0.879045987823	0.34693877551	49
KB668992	-	KB668890	+	268.309099525	0.10676872148	0.8	5
KB668992	-	KB668685	+	-191.600048095	0.729402951566	0.375	8
KB668992	-	KB668727	-	-149.826595277	0.0707242432981	0.6	5
KB668992	-	KB669147	-	-276.804961354	0.722519787674	0.5	8
KB669126	-	KB668870	-	11.2632750273	0.116344618643	0.5	6
KB669040	-	KB668719	+	111.765155077	0.42933155718	0.5	6
KB669307	+	KB669406	-	-722.218486786	0.706410198714	0.571428571429	7
KB668556	-	KB668873	+	84.1358739734	0.450704091779	0.6	5
KB668556	-	KB668824	-	354.956448495	0.724504929017	0.75	8
KB668556	-	KB668911	-	354.962442756	0.733716029627	0.777777777778	9
KB668556	-	KB669158	+	246.763290137	0.50359203962	0.4	5
KB669176	+	KB669417	+	354.974733353	0.0772610598546	0.8	5
KB669585	-	KB668891	-	354.95919013	0.102373244291	0.833333333333	6
KB669585	-	KB669096	-	354.956504822	0.0748979778932	0.714285714286	7
KB668903	-	KB669110	+	331.444827914	0.192064995176	0.75	8
KB669214	+	KB668824	-	-590.431107283	0.980773793518	0.416666666667	12
KB669214	+	KB668911	-	-580.066969901	0.802594737777	0.4	5
KB669214	+	KB668774	+	-594.208047688	0.603202287167	0.333333333333	9
KB669214	+	KB669569	+	-477.268638551	0.737112157105	0.4375	16
KB669214	+	KB669001	-	-330.198089957	0.637769242498	0.5	8
KB669214	+	KB668785	-	-859.205555886	0.978328170965	0.2	10
KB669214	+	KB668721	-	-483.933545977	0.614504552051	0.333333333333	18
KB669214	+	KB669233	+	-642.414217949	0.762444845623	0.333333333333	6
KB669214	+	KB668792	-	354.965641394	0.0731243538631	0.857142857143	7
KB669214	+	KB668808	+	-729.634554088	0.311561807071	0.4	5
KB669214	+	KB669083	+	-510.04706791	0.574289026935	0.375	8
KB669214	+	KB668679	+	-300.412919074	0.447988463313	0.5	10
KB669214	+	KB668800	+	-442.445336759	0.555148294675	0.444444444444	9
KB669214	+	KB668852	-	-408.510163426	0.655463503269	0.5	22
KB669214	+	KB668337	-	-431.014356464	0.703464620823	0.352941176471	17
KB669214	+	KB668893	+	-421.382510722	0.852744753835	0.2	10
