scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCM01018947	+	KI427021	+	-74.5181617737	0.565975571548	0.5	6
AXCM01021192	-	KI427266	+	-163.593456268	0.173319375502	0.75	4
AXCM01016538	-	KI427190	-	-108.486558914	0.690826841934	0.615384615385	13
AXCM01019618	+	KI425618	+	-137.677886963	0.387393047699	0.666666666667	3
AXCM01016952	+	AXCM01013344	+	-160.47322464	0.178668317126	0.75	4
AXCM01016952	+	AXCM01023416	-	-76.7634239197	0.167498255922	0.666666666667	3
AXCM01021126	-	AXCM01015067	-	-34.0947914124	0.469622376019	0.785714285714	14
AXCM01019154	+	AXCM01021815	+	-189.639945984	0.141933119853	0.666666666667	3
AXCM01024015	-	AXCM01023281	-	-44.805557251	0.8031151467	0.666666666667	3
KI427332	+	AXCM01006730	+	-29.2361240387	0.306437476617	0.5	4
AXCM01017934	-	AXCM01022963	+	-42.8121490479	0.541987237786	0.333333333333	3
KI422737	-	AXCM01022493	+	-128.385197163	0.716874792339	0.666666666667	3
AXCM01022937	-	AXCM01019710	-	51.1563873291	0.955321660436	0.333333333333	3
AXCM01017184	-	AXCM01020964	-	-102.404418945	0.253186433378	0.666666666667	3
AXCM01016502	+	KI427244	+	-35.5717658997	0.240835709714	0.666666666667	3
AXCM01017917	-	AXCM01022023	-	-119.346092224	0.308875885575	0.666666666667	3
AXCM01021382	+	KI427536	-	-174.262802124	0.388552045706	0.5	4
