scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI397882;KI398615;AXCK01030417;AXCK01023547;AXCK01020675	+;+;+;+;+	KI397819;AXCK01026460;KI401764;AXCK01028899;AXCK01026020;KI398005;KI398233;AXCK01024268;AXCK01026207;AXCK01028114;AXCK01030172;AXCK01024589;AXCK01016401;KI398126;AXCK01024959;AXCK01025624;KI399211;AXCK01014760;AXCK01028051;AXCK01028163;AXCK01029929;AXCK01030366;AXCK01029404;AXCK01028639;AXCK01027329;AXCK01025709;AXCK01030495;AXCK01022477;AXCK01004583;AXCK01030029;AXCK01021376;AXCK01021344;AXCK01023810;AXCK01025959;AXCK01026109;AXCK01021062;AXCK01020779;KI398777;AXCK01022346;AXCK01020782;KI397845;KI398432;KI400030;AXCK01028846;AXCK01025274;AXCK01025888;AXCK01019627	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	-811.98653172	0.389336467578	0.844444444444	135
KI398191	-	KI398403;KI397976	+;+	-80604.2638882	0.932684506534	0.5	8
KI398191	-	KI398227	+	-77642.8430426	0.331147551616	0.5	8
KI398191	-	AXCK01011423;AXCK01029720;AXCK01024448;KI397825	-;-;-;-	-96325.1784195	0.150949245918	0.142857142857	7
KI398191	-	KI397963;KI399571	+;+	-44137.492138	0.51344443505	0.6	5
KI398191	-	KI398991;AXCK01025002;AXCK01026220;AXCK01026904;AXCK01017457;AXCK01016289	+;+;+;+;+;+	-60122.6760511	0.330078638052	0.898550724638	138
KI398191	-	KI399414;AXCK01014233;AXCK01007449;AXCK01007602;AXCK01017927	+;+;+;+;+	-52389.5286551	0.0685383298367	0.4	5
KI398561;AXCK01010547;KI400617	-;-;-	KI400029;KI398793;AXCK01029133;KI399572	+;+;+;+	-70376.2068598	0.522224784101	0.333333333333	6
KI398561;AXCK01010547;KI400617	-;-;-	AXCK01019273;AXCK01024763;KI398230	+;+;+	-22853.040555	0.269388957328	0.4	5
KI398561;AXCK01010547;KI400617	-;-;-	KI399426;AXCK01028999;AXCK01025485;AXCK01026340;AXCK01029372;KI401047;AXCK01026979;AXCK01029445;KI400959;AXCK01028467;AXCK01030230;KI401031;KI397891	-;-;-;-;-;-;-;-;-;-;-;-;-	-70361.0631675	0.212293222545	0.2	5
KI398561;AXCK01010547;KI400617	-;-;-	KI398100	-	58463.0509325	0.375304170328	0.4	5
KI398561;AXCK01010547;KI400617	-;-;-	KI399414;AXCK01014233;AXCK01007449;AXCK01007602;AXCK01017927	+;+;+;+;+	24569.4350318	0.0895076695882	0.333333333333	6
KI398561;AXCK01010547;KI400617	-;-;-	KI398120	-	-54685.9606757	0.656194344617	0.714285714286	7
KI398561;AXCK01010547;KI400617	-;-;-	AXCK01020221;AXCK01024308;AXCK01024501;AXCK01023853;AXCK01020220;AXCK01022140;KI398041;AXCK01015190	-;-;-;-;-;-;-;-	-5015.66045624	0.0708479778127	0.5	8
KI398218	+	KI398226;KI401782;AXCK01030005;AXCK01027482;AXCK01030104;AXCK01025898;AXCK01025244;AXCK01029840;AXCK01027382;AXCK01029178;AXCK01028260;AXCK01024822;AXCK01026920;AXCK01024918;AXCK01012052	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-91429.1177231	0.000470142689963	0.48	25
KI398218	+	KI397855	+	-67887.3485909	0.196533894939	0.5	6
KI398371;AXCK01027346;AXCK01027920;KI399137	+;+;+;+	KI398194;KI398445	-;-	-7969.3030811	0.138789439584	0.166666666667	6
KI398371;AXCK01027346;AXCK01027920;KI399137	+;+;+;+	KI399339;KI398746	+;+	-27919.545404	0.795031476343	0.5	6
KI398371;AXCK01027346;AXCK01027920;KI399137	+;+;+;+	KI398100	-	17676.1372499	0.223476681751	0.4	5
KI398371;AXCK01027346;AXCK01027920;KI399137	+;+;+;+	AXCK01018491;KI399744;AXCK01024759;AXCK01024102;AXCK01027150;AXCK01025717;KI398024;KI399501;AXCK01024770;AXCK01019263;AXCK01024319;AXCK01028585;AXCK01029844;AXCK01029413;AXCK01030117;AXCK01026373;AXCK01023813;AXCK01030551;AXCK01024615;KI401271;KI401285;KI398562	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-22253.1916152	0.587534259387	0.333333333333	6
