scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI425698	+	KI425149	+	108.950910568	0.999329497264	0.428571428571	7
AXCM01008378	+	AXCM01017316	+	-105.199884415	0.266955329227	0.714285714286	7
AXCM01021561	+	AXCM01022620	-	108.973373413	0.495532805116	0.555555555556	9
AXCM01012663	+	AXCM01014144	-	-54.7859649658	0.633237079979	0.666666666667	6
AXCM01012663	+	AXCM01024169	-	-73.4391021729	0.769408899821	0.7	10
AXCM01012663	+	KI423052	+	-94.7706947327	0.90990468681	0.6	5
AXCM01012663	+	AXCM01018106	-	-89.1279258728	0.342229910489	0.8	10
AXCM01012663	+	AXCM01019907	+	-117.868946075	0.34054979995	0.666666666667	6
AXCM01012663	+	AXCM01012116	-	-56.1217079163	0.473628667128	0.8	10
AXCM01012663	+	AXCM01020281	-	-100.410842896	0.957891584004	0.8	5
AXCM01012663	+	AXCM01017943	-	-77.384311676	0.814903201144	0.777777777778	9
AXCM01012663	+	AXCM01009210	-	-40.8091697693	0.760745223022	0.571428571429	7
AXCM01012663	+	AXCM01011117	+	14.4826164246	0.355914861778	0.8	5
AXCM01012663	+	AXCM01009339	+	-6.08974838257	0.255658481199	0.714285714286	7
AXCM01012663	+	AXCM01020854	-	-119.618263245	0.986317753208	0.666666666667	6
AXCM01012663	+	AXCM01016786	-	-83.3783073425	0.28105817556	0.8	10
AXCM01012663	+	AXCM01021336	-	-25.7717208862	0.204304654099	0.666666666667	6
AXCM01012663	+	AXCM01018495	+	-76.0424194336	0.128036175331	0.666666666667	6
AXCM01012663	+	AXCM01008530	-	-38.9091682434	0.450605110611	0.714285714286	7
AXCM01012663	+	AXCM01019747	-	-101.409412384	0.913798082898	0.6	5
AXCM01012663	+	AXCM01018158	-	-72.9307327271	0.914084140702	0.6	5
AXCM01012663	+	AXCM01009391	-	-63.1633224487	0.243947398674	0.714285714286	7
AXCM01012663	+	AXCM01016999	-	-100.154338837	0.938623435753	0.555555555556	9
KI427434	-	KI425530	+	-0.38249206543	0.66510694032	0.789473684211	19
AXCM01011877	-	AXCM01009011	+	-287.468000412	0.116023942196	0.6	5
AXCM01024147	+	AXCM01016999	-	-196.518417358	0.463818586908	0.666666666667	6
AXCM01024147	+	AXCM01009391	-	-145.815418243	0.218253337538	0.666666666667	6
AXCM01024147	+	AXCM01017943	-	-170.75201416	0.358787553272	0.6	5
AXCM01004402	+	KI424793	+	43.0005140305	0.681670311749	0.714285714286	14
AXCM01023563	+	KI423292	-	-286.062356949	0.207702468966	0.8	10
AXCM01020852	+	AXCM01011896	+	-289.118770599	0.131672778886	0.666666666667	9
AXCM01018244	+	KI422545	-	-63.6451864243	0.595956805564	0.666666666667	60
AXCM01020314	+	KI424749	-	-91.9340381622	0.508636862295	0.692307692308	13
AXCM01021180	+	KI423292	-	55.2877788544	0.407654424539	0.8	5
AXCM01018883	+	AXCM01012725	-	-80.8781280518	0.227155105227	0.75	8
AXCM01015532	-	AXCM01023303	+	-73.9294204712	0.358416042744	0.666666666667	6
AXCM01001763	+	AXCM01012117	+	60.4774475098	0.737882921132	0.666666666667	6
AXCM01013909	-	AXCM01019578	-	-69.9742012024	0.410187324962	0.714285714286	7
