scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB673579	-	KB672928	+	-2781.68848232	0.22802636968	0.5	8
KB673023	+	KB673116	+	-3081.68848232	0.352791340931	0.666666666667	6
KB673023	+	KB673026	-	-4680.68848232	0.0213700975523	0.666666666667	3
KB673023	+	KB672860	-	-4980.68848232	0.224991879562	0.666666666667	6
KB672939	+	KB672883	+	-4663.68848232	0.434662274232	0.6	5
KB672939	+	KB672821	+	-777.688482317	0.760777810193	0.846153846154	26
KB672939	+	KB672883	-	113.440930366	0.47920618722	0.5	4
KB672939	+	KB672937	+	-4464.68848232	0.400752432746	0.625	8
KB672821	+	KB673435	+	-3318.68848232	0.503288846675	0.5	10
KB672821	+	KB673435	-	-304.661800444	0.637946695363	0.611111111111	36
KB672821	+	KB673236	+	-2097.68848232	0.554294170164	0.428571428571	7
KB672821	+	KB673162	-	-900.457350503	0.794144896311	0.608695652174	23
KB672821	+	KB673162	+	-3564.68848232	0.757386841024	0.714285714286	7
KB672821	+	KB672873	-	-10.4324162548	0.5869670442	0.565217391304	23
KB672821	+	KB673091	+	-3542.68848232	0.533551634268	0.666666666667	6
KB672821	+	KB673119	-	-1340.3455916	0.743176452523	0.708333333333	72
KB672821	+	KB672985	+	-1950.68848232	0.560153995448	0.5	6
KB672821	+	KB672912	-	245.49662804	0.27034764619	0.5	4
KB673634	-	KB672978	+	-4201.68848232	0.693902804404	0.333333333333	3
KB673634	-	KB673113	-	-1714.68848232	0.49973356721	0.333333333333	3
KB673634	-	KB672919	+	-4970.68848232	0.29262951002	0.666666666667	3
KB673535	+	KB673457	-	90.0845058153	0.378151809306	0.4	5
KB673535	+	KB672713	+	-4274.68848232	0.00359092547631	0.5	4
KB673535	+	KB672903	-	-639.673074875	0.370523325331	0.25	4
KB673535	+	KB672989	+	-4947.68848232	0.00353545363458	0.5	6
KB673535	+	KB672945	+	-3793.68848232	0.00972693705435	0.5	24
KB673535	+	KB673424	+	307.703251271	0.00751395704647	0.52380952381	21
KB673246	-	KB672830	-	-789	0.489705413516	0.666666666667	9
KB673050	+	KB672864	-	-5077.68848232	0.201852694405	0.333333333333	3
KB673050	+	KB673024	-	-3237.68848232	0.898542359705	0.333333333333	3
KB673050	+	KB672942	+	-393	0.476992368948	0.444444444444	9
KB673050	+	KB673007	+	-4815.68848232	0.117123712015	0.833333333333	6
KB673050	+	KB672830	+	-5213.68848232	0.142783934419	0.5	4
KB672881	+	KB672702	-	-3604.68848232	0.182912725244	0.25	4
KB672881	+	KB672988	-	-12.0858971915	0.640489277706	0.2	5
KB672881	+	KB673303	-	-304.379720953	0.517191039259	0.333333333333	3
KB672881	+	KB673303	+	-589	0.628885064094	0.395833333333	48
KB672881	+	KB672851	+	-2104.68848232	0.667709390694	0.333333333333	3
KB673295	+	KB672959	+	-4511.68848232	0.605048471025	0.666666666667	3
KB673295	+	KB672864	-	-758.309125272	0.891668337285	0.25	4
KB673295	+	KB673357	+	573.872010489	0.780874361503	0.526315789474	19
KB673295	+	KB672861	+	-2707.68848232	0.325871169613	0.767441860465	43
KB673295	+	KB673007	-	338.691694334	0.459285753387	0.5	4
KB673295	+	KB672603	-	696.646058378	0.472783153763	0.666666666667	3
KB673295	+	KB673046	+	-3597.68848232	0.539533594165	0.5	8
KB673295	+	KB672942	+	-4843.68848232	0.311868148004	0.5	4
KB673295	+	KB672830	-	-2609.68848232	0.264476373984	0.75	4
KB673295	+	KB673091	+	-3256.68848232	0.0298930839842	0.6	5
KB673295	+	KB672919	+	954.329062205	0.665777946068	0.75	4
KB672838	-	KB673229	+	-1356.77528781	0.586780263793	0.777777777778	9
KB672838	-	KB673657	+	-3024.68848232	0.510021787795	0.333333333333	3
KB672838	-	KB673168	-	-4652.68848232	0.193600372449	0.666666666667	3
KB672838	-	KB673701	-	-2492.68848232	0.66005385148	0.571428571429	7
KB672838	-	KB672920	-	-397.637161386	0.379205298317	0.333333333333	3
KB672838	-	KB672864	-	-3143.68848232	0.658391743743	0.333333333333	3
KB672838	-	KB673119	-	-4500.68848232	0.267888005728	0.6875	16
KB672838	-	KB672830	+	-994	0.740764658689	0.619047619048	21
KB672838	-	KB673055	+	-2939.68848232	0.80039116445	0.461538461538	13
KB672838	-	KB672747	-	-3008.68848232	0.766252819623	0.333333333333	3
KB672838	-	KB672790	+	-991.493065469	0.734267911462	0.333333333333	3
KB672838	-	KB672953	+	-5186.68848232	0.128684165676	0.333333333333	3
KB672923	+	KB672780	+	-3155.68848232	0.995179168211	0.25	4
KB672894	+	KB673457	-	-137.351844239	0.936572227032	0.333333333333	3
KB672894	+	KB672882	-	-1460.73921047	0.930455019141	0.2	5
KB672894	+	KB673061	+	940.749629346	0.18066066731	0.666666666667	3
KB672894	+	KB673205	+	856	0.648039801468	0.3	10
KB672894	+	KB673035	-	2063.47140571	0.0127462146751	0.533333333333	15
KB672894	+	KB672953	-	-729	0.478756521772	0.352941176471	17
KB672894	+	KB673236	+	-695	0.515397795096	0.516666666667	120
KB672894	+	KB673026	+	-1689	0.542035245031	0.5	8
KB672894	+	KB672814	+	-4923.68848232	0.169987853454	0.5	4
KB672894	+	KB673313	-	-3316.68848232	0.975577436341	0.333333333333	3
KB672894	+	KB672905	-	-1465.01463874	0.823414826419	0.5	4
KB672894	+	KB673361	-	-4816.68848232	0.257270232655	0.428571428571	7
KB672894	+	KB672941	-	-3329.68848232	0.252127170027	0.5	6
KB672894	+	KB672830	+	-677.579459221	0.77422619097	0.333333333333	3
KB672894	+	KB672984	-	1584.53759634	0.935502799561	0.285714285714	7
KB672894	+	KB672953	+	-3969.68848232	0.436098634871	0.733333333333	15
KB672913	+	KB672844	+	-4537.68848232	0.0619945519468	0.333333333333	3
