scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCO01009255	+	AXCO01012144	-	-410.63428735	0.977982037311	0.769230769231	13
AXCO01009255	+	AXCO01012144	+	-539.283130389	0.473811486326	0.871287128713	606
KI429275	-	KI433135	+	-965.89355191	0.127916758852	0.666666666667	3
KI430586	+	AXCO01014505	+	-782.857953039	0.316594434951	0.5	4
KI430586	+	AXCO01002339	-	-647.84436042	0.0467284546056	0.40625	32
KI430586	+	KI432658	-	-837.269050599	0.0783024797591	0.333333333333	6
KI430586	+	KI432377	-	598.426425563	0.137827443355	0.5	4
KI430586	+	KI428681	-	-637.360668832	0.0160119904086	0.4375	16
KI430586	+	KI432756	-	-762.298485551	0.0320201939101	0.6	10
KI430586	+	KI432655	+	41.8028418742	0.978846211972	0.25	8
KI430586	+	KI429785	+	-816.027916202	0.0760238511266	0.5	4
KI430586	+	AXCO01010406	-	-675.38425928	0.050272978315	0.571428571429	7
KI430586	+	AXCO01014239	-	-739.752256418	0.0140160183989	0.333333333333	3
KI430586	+	KI429579	-	-680.811373217	0.431757717146	0.333333333333	6
KI433410	-	KI433015	-	-622.0	0.0506313658396	0.333333333333	3
KI433410	-	KI431109	-	-944.79643499	0.0150054161618	0.714285714286	7
KI433410	-	KI429155	+	-355.450712612	0.593118007346	0.333333333333	3
KI433410	-	KI431974	+	-395.565757501	0.0735047450627	0.333333333333	3
KI433410	-	KI427707	-	-781.197640291	0.167055980068	0.333333333333	3
KI433410	-	KI433230	+	-298.948628677	0.102502070762	0.5	6
KI433410	-	AXCO01009448	-	-704.990675794	0.296286530251	0.555555555556	9
KI430630	+	AXCO01011200	+	-724.07182706	0.402789524344	0.666666666667	3
KI430630	+	KI432227	-	-772.981955377	0.162626941868	0.5	4
KI430630	+	KI433101	+	-865.278460279	0.0483887308436	0.666666666667	3
KI431788	+	AXCO01016838	-	-23.8569854462	0.434496570367	0.666666666667	3
AXCO01009689	+	KI431209	+	-516.748172514	0.0282448220668	0.666666666667	3
AXCO01009689	+	KI429454	+	-772.257764507	0	1.0	3
AXCO01009689	+	AXCO01011269	+	-428.116937655	0.0674345999632	0.25	4
AXCO01009689	+	KI428297	-	-888.811015395	0	1.0	3
AXCO01009689	+	KI430501	-	208.643859064	0.0189452794657	0.4	5
AXCO01009689	+	KI430491	-	-166.356324979	0	1.0	3
AXCO01009689	+	KI432767	-	101.085325059	0.604819872805	0.4	5
AXCO01009689	+	AXCO01013244	+	-6.69055345374	0.219181123282	0.25	4
AXCO01009689	+	KI431554	+	-579.191297389	0.834611267251	0.333333333333	3
AXCO01009689	+	KI432283	+	-840.30081061	0.03738091542	0.4	5
AXCO01009689	+	KI430883	+	-386.010925956	0.0472186680346	0.666666666667	3
AXCO01009689	+	KI432772	+	-406.278104916	0.111550771019	0.333333333333	3
