scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB690524	+	KB688780	+	-827.51879034	0.451365669661	0.4	10
KB700731	-	KB699199	-	-1669.51879034	0.114742695385	0.5	4
KB674947	+	KB701283	-	1424.30455308	0	1.0	17
KB690913	-	KB674480	-	-754.392572008	0.951629581476	0.333333333333	3
KB679380	-	KB677580	+	-1889.51879034	0	1.0	5
KB679380	-	KB699706	-	-36	0	1.0	5
KB679380	-	KB698883	-	1108.66237561	0.376922101793	0.25	4
KB698215	+	KB677436	+	-160.082590861	0.973805939477	0.5	4
KB686214	-	KB699966	+	662.878940371	0.163747135937	0.25	4
KB700465	-	KB701017	+	-135	0	1.0	3
KB700465	-	KB680091	-	427	0	1.0	4
KB700465	-	KB700020	-	-28	0	1.0	28
KB700465	-	KB684090	+	60	0	1.0	8
KB679757	-	KB697463	-	236.844271759	0.65832365127	0.333333333333	3
KB688569	+	KB698883	-	1232.61123494	0.392404524366	0.333333333333	6
KB688569	+	KB699706	-	-41	0	1.0	5
KB695612	-	KB699191	+	91.6337834008	0.838307853644	0.25	4
KB702722	-	KB701876	-	-1194.51879034	0.951591439645	0.714285714286	7
KB681163	-	KB702695	-	1574.66426911	0	1.0	7
KB681163	-	KB701684	-	1531.21884469	0	1.0	5
KB699061	+	KB701944	-	-681.743979553	0.601627089568	0.5	4
KB700566	+	KB683479	-	-792.51879034	0.640038243249	0.4	5
KB700806	+	KB698883	-	-521.14649874	0.336420170929	0.2	5
KB684657	-	KB693534	-	-1498.51879034	0.0233721114248	0.5	26
KB700344	+	KB688991	-	-604.51879034	0.701430578751	0.3	10
KB702036	-	KB693646	-	1550.04556724	0	1.0	4
KB686758	-	KB681868	+	-585.409055423	0.953305593163	0.5	4
KB704103	+	KB696530	-	1075.32126993	0.000666137678303	0.5	6
KB704103	+	KB673881	-	873.991005716	0	1.0	4
KB698639	-	KB684446	-	882.102252596	0.117414209345	0.666666666667	3
KB676313	+	KB677191	+	-704.324534574	0.087712141801	0.333333333333	3
KB698154	-	KB698184	-	185.921109851	0.0016496039123	0.5	8
KB677569	-	KB699882	-	-152.475298633	0.610127710148	0.428571428571	7
KB698794	+	KB695934	+	1728.50154665	0.0381594489274	0.047619047619	21
KB698794	+	KB675847	-	-1786.51879034	0.0443276415553	0.333333333333	3
KB698794	+	KB696782	+	1723.15056383	0.175066479117	0.666666666667	3
KB698794	+	KB702882	+	1743.21980519	0	1.0	3
KB700267	+	KB702178	+	-1493.51879034	0	1.0	9
KB700267	+	KB674199	+	1309	0	1.0	4
KB700267	+	KB696869	+	-2641.51879034	0	1.0	4
KB700267	+	KB701017	+	-1790.51879034	0	1.0	3
KB700267	+	KB698883	-	-1431.51879034	0.177853513003	0.0555555555556	18
KB700267	+	KB680091	-	-1442.51879034	0	1.0	11
KB700267	+	KB684090	+	-1626.51879034	0	1.0	3
KB700267	+	KB696822	+	-1641.51879034	0	1.0	5
KB702570	+	KB680091	-	-2048.51879034	0	1.0	11
KB702570	+	KB698571	+	3661	0.581407343914	0.6	5
KB697065	-	KB702178	+	-1939.51879034	0	1.0	20
KB697065	-	KB701017	+	-2236.51879034	0	1.0	3
KB697065	-	KB680091	-	-1888.51879034	0	1.0	5
KB683490	-	KB698184	-	1356.99712464	0.00448930745071	0.466666666667	15
KB697203	-	KB700977	-	-1400.51879034	0	1.0	6
KB703682	-	KB696659	+	-1000.87777304	0.514483584435	0.333333333333	3
KB703437	+	KB679535	+	1342	0.854177041112	0.666666666667	3
KB700421	-	KB698136	+	767	0	1.0	6
KB700421	-	KB680780	+	-861.148412403	0	1.0	6
KB700421	-	KB701408	-	-864.808197595	0	1.0	7
KB700421	-	KB696946	+	-812.91167493	0	1.0	6
KB700421	-	KB697325	-	861	0	1.0	8
KB700421	-	KB700103	+	695	0	1.0	6
KB700421	-	KB697091	-	-885.776080496	0	1.0	8
KB700421	-	KB688769	+	-964.589930175	0	1.0	6
KB700421	-	KB696614	-	-1423.51879034	0	1.0	8
KB700421	-	KB701878	-	-1807.51879034	0	1.0	8
KB700421	-	KB701734	+	716	0	1.0	6
KB700421	-	KB685835	+	-2088.51879034	0	1.0	6
KB700421	-	KB698823	+	-1500.51879034	0	1.0	6
KB700421	-	KB699319	+	-2406.51879034	0	1.0	6
KB700421	-	KB700184	-	1407	0	1.0	5
KB700421	-	KB698825	+	-761.106683767	0	1.0	6
KB700421	-	KB696769	+	-1848.51879034	0	1.0	6
KB700421	-	KB675539	-	-1457.51879034	0	1.0	8
KB700421	-	KB703216	+	-905.998482731	0	1.0	6
KB700421	-	KB700744	+	1146	0	1.0	6
KB700421	-	KB679979	-	1674	0	1.0	8
KB700421	-	KB675571	+	-1691.51879034	0	1.0	6
KB700421	-	KB702877	+	-800.93701205	0	1.0	6
KB700421	-	KB698174	+	674	0	1.0	6
KB700421	-	KB683457	+	-1961.51879034	0	1.0	3
KB700421	-	KB674870	+	-2454.51879034	0	1.0	6
KB700421	-	KB699095	+	-1419.51879034	0	1.0	6
KB700421	-	KB688146	-	1791	0	1.0	8
KB700421	-	KB703439	+	-1836.51879034	0	1.0	6
KB700421	-	KB700370	+	-791.094867226	0	1.0	6
KB700421	-	KB701684	+	-763.514823173	0	1.0	6
KB700421	-	KB699312	+	-2	0	1.0	4
KB700421	-	KB700503	-	1285	0	1.0	8
KB700421	-	KB693446	-	-2630.51879034	0	1.0	8
KB700421	-	KB700410	+	-2198.51879034	0	1.0	6
KB700421	-	KB679124	-	-836.489406373	0	1.0	8
KB700421	-	KB703317	+	-855.292286441	0	1.0	6
KB700421	-	KB698358	+	1845	0	1.0	6
KB700421	-	KB700392	+	-755.956209481	0	1.0	6
KB700421	-	KB674218	-	-2526.51879034	0	1.0	8
KB700421	-	KB697902	-	-809.600321144	0	1.0	8
KB700421	-	KB702234	+	-844.292054885	0	1.0	6
KB700421	-	KB677580	+	-1401.51879034	0	1.0	6
KB700421	-	KB698096	-	-790.447732019	0	1.0	8
KB700421	-	KB702162	+	-2262.51879034	0	1.0	6
KB700421	-	KB700839	+	-1481.51879034	0	1.0	6
KB700421	-	KB684734	-	1913	0	1.0	8
KB700421	-	KB698469	+	-993.481288323	0	1.0	6
KB700421	-	KB700061	-	-1693.51879034	0	1.0	8
KB700421	-	KB699343	-	-130	0	1.0	8
KB700421	-	KB701905	-	-1944.51879034	0	1.0	8
KB700421	-	KB702175	+	129	0	1.0	6
KB700421	-	KB701735	+	-888.619083031	0	1.0	6
KB700421	-	KB696676	-	-2316.51879034	0	1.0	8
KB700421	-	KB677341	-	-2491.51879034	0	1.0	8
KB700421	-	KB673819	-	-2235.51879034	0	1.0	8
KB700421	-	KB700880	-	-1073.53503073	0	1.0	8
KB700421	-	KB698545	-	667	0	1.0	8
KB700421	-	KB698413	-	-890.363558786	0	1.0	8
KB700421	-	KB675449	+	50	0	1.0	6
KB700421	-	KB701784	-	-2256.51879034	0	1.0	8
KB700421	-	KB689002	-	-1918.51879034	0	1.0	8
KB700421	-	KB701780	+	-1901.51879034	0	1.0	6
KB700421	-	KB702573	-	-939.449039637	0	1.0	8
KB700421	-	KB702063	+	-882.097221461	0	1.0	4
KB700421	-	KB699119	+	-1420.51879034	0	1.0	6
KB700421	-	KB697809	-	-931.454301362	0	1.0	8
KB700421	-	KB701417	+	-882.804700577	0	1.0	6
KB700421	-	KB698971	+	-1031.80669052	0	1.0	6
KB700421	-	KB690068	-	-88	0	1.0	8
KB700421	-	KB696713	+	-1798.51879034	0	1.0	6
KB700421	-	KB698513	-	-2030.51879034	0	1.0	8
KB700421	-	KB699574	+	-909.583450109	0	1.0	6
KB700421	-	KB702602	+	-782.771820396	0	1.0	6
KB700421	-	KB698748	-	-1765.51879034	0	1.0	7
KB700421	-	KB701972	-	-133	0.000642642478464	0.285714285714	7
KB700421	-	KB696792	-	-1397.51879034	0	1.0	8
KB700421	-	KB702297	+	-2462.51879034	0	1.0	6
KB700421	-	KB690046	-	774	0	1.0	8
KB700421	-	KB675857	+	-1771.51879034	0	1.0	6
KB700421	-	KB701192	+	-2142.51879034	0	1.0	3
KB700421	-	KB701668	+	-930.76709842	0	1.0	6
KB700421	-	KB686425	+	-756.341115642	0	1.0	6
KB700421	-	KB699893	+	-2240.51879034	0	1.0	6
KB700421	-	KB694756	+	-1798.51879034	0	1.0	6
KB700421	-	KB703950	+	-1835.51879034	0	1.0	6
KB700421	-	KB683535	+	1895	0	1.0	6
KB700421	-	KB700406	-	-1349.51879034	0	1.0	8
KB700421	-	KB699956	-	-68	0	1.0	8
KB700421	-	KB702076	-	-2437.51879034	0	1.0	8
KB700421	-	KB697984	+	427	0	1.0	6
KB700421	-	KB702224	+	-1738.51879034	0	1.0	6
KB700421	-	KB686413	+	-68	0	1.0	6
KB700421	-	KB696857	+	1719	0	1.0	6
KB700421	-	KB696563	+	-1043.9087559	0	1.0	6
KB700421	-	KB677535	+	-897.993911015	0	1.0	6
KB700421	-	KB696690	-	1072	0	1.0	8
KB700421	-	KB697677	-	-1003.30373595	0	1.0	8
KB700421	-	KB697720	-	671	0	1.0	4
KB700421	-	KB673799	-	-1445.51879034	0	1.0	8
KB700421	-	KB697318	+	-768.873344798	0	1.0	6
KB700421	-	KB700228	+	-1365.51879034	0	1.0	4
KB700421	-	KB701266	-	-785.885328481	0	1.0	8
KB700421	-	KB700785	-	-1777.51879034	0	1.0	8
KB700421	-	KB681146	+	-2496.51879034	0	1.0	6
KB700421	-	KB699797	+	-1015.87383256	0	1.0	6
KB700421	-	KB697400	-	-55	0	1.0	8
KB700421	-	KB700001	-	-1664.51879034	0	1.0	6
KB689113	+	KB697807	-	-605.545734195	0.710336615617	0.333333333333	3
KB700313	-	KB698170	+	-912.854310012	0.00367704175336	0.4	10
KB700313	-	KB700994	-	-2319.51879034	0.0130855546131	0.509090909091	55
KB701578	-	KB677580	+	-1890.51879034	0	1.0	5
KB701578	-	KB699706	-	-36	0	1.0	5
KB701578	-	KB698883	-	1004.27036876	0.333698653759	0.2	5
KB697755	-	KB700279	+	-1073.51879034	0.413931876576	0.333333333333	3
KB695979	-	KB687769	+	-41	0.00223851233806	0.6	10
KB695979	-	KB680647	-	514.277966386	0.00244146328569	0.333333333333	3
KB701510	-	KB691624	-	1537.0402337	0.00048224290932	0.333333333333	3
KB696530	-	KB690613	-	-2231.51879034	0.0895984244204	0.333333333333	3
KB674069	-	KB700109	+	11.1841376808	0.615465364844	0.333333333333	3
KB702017	-	KB699204	+	-1160.51879034	0.979733555231	0.555555555556	9
KB698718	+	KB685447	-	181.464801889	0.613090128235	0.333333333333	3
KB699143	+	KB682735	+	-39.8041154114	0.840000144808	0.333333333333	3
KB679902	-	KB684646	-	1193.73561153	0.000471030469499	0.333333333333	3
KB697976	-	KB699417	+	-1187.51879034	0.664741574515	0.333333333333	6
KB701943	-	KB700633	+	134	0.0114986661299	0.5	6
KB701943	-	KB697984	-	-1426.51879034	0	1.0	14
KB701943	-	KB673881	-	235.023072015	0	1.0	4
KB701943	-	KB696530	-	503.79013711	0	1.0	5
KB701943	-	KB692157	-	-1920.51879034	0	1.0	3
KB701943	-	KB684646	-	821.195436279	0.000207214168443	0.0666666666667	15
KB697160	-	KB698496	+	-779.515846037	0.837327180924	0.5	4
KB699463	-	KB699960	+	283.811103723	0.0852435440759	0.666666666667	6
KB701026	-	KB702178	+	1458.67044142	0	1.0	20
KB701026	-	KB700020	-	872.222574624	0	1.0	28
KB701026	-	KB674199	+	-1977.51879034	0	1.0	4
KB701026	-	KB698883	-	810.246770479	0.330551935132	0.2	5
