scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_008821881.1	+	NW_008820063.1;NW_008822870.1	+;+	-12.0305175781	0.699463426661	0.714285714286	7
NW_008823499.1	-	NW_008814089.1	+	35.971572876	0.517243145445	0.571428571429	7
NW_008820317.1;NW_008822135.1;NW_008821815.1	-;-;-	NW_008822011.1	+	35.967590332	0.517624824803	0.5	6
NW_008820883.1	-	NW_008821793.1	+	35.9727478027	0.959894548405	0.571428571429	7
NW_008821534.1	-	NW_008818560.1	+	35.9551391602	0.531989360139	0.2	5
NW_008823665.1	+	NW_008821511.1	-	-12.0400543213	0.620362675302	0.666666666667	9
NW_008813125.1	+	NW_008822180.1	+	35.9527587891	0.985522442022	0.571428571429	7
NW_008823607.1	-	NW_008812638.1;NW_008814494.1	+;+	-25.5195007324	0.593221631559	0.6	5
NW_008823723.1	-	NW_008823515.1	+	35.966255188	0.32367925771	0.571428571429	7
NW_008822236.1	-	NW_008820681.1	-	7.29483032227	0.421091721893	0.833333333333	6
NW_008823095.1	-	NW_008822559.1	+	-16.9439544678	0.264888094486	0.8	5
NW_008820468.1;NW_008821981.1	+;+	NW_008822800.1;NW_008821551.1;NW_008822263.1	-;-;-	-0.338226318359	0.949323969932	0.6	5
NW_008822119.1;NW_008821980.1	-;-	NW_008820232.1	-	35.9528198242	0.768397141104	0.666666666667	6
NW_008819056.1	-	NW_008825457.1	+	-19.6663513184	0.447239502543	0.833333333333	6
NW_008822816.1;NW_008820030.1	+;+	NW_008822735.1	+	27.1450195312	0.498215601873	0.75	8
NW_008816360.1;NW_008821952.1;NW_008819926.1	-;-;-	NW_008822584.1	+	-18.6165924072	0.500191859443	0.333333333333	6
NW_008823367.1	-	NW_008822429.1;NW_008820434.1	+;+	35.9619903564	0.776559549047	0.5	6
NW_008823124.1;NW_008823687.1	-;-	NW_008823825.1	-	-18.9590034485	0.416029078692	0.6	5
NW_008821404.1	-	NW_008821318.1	+	35.973236084	0.635773061583	0.75	8
NW_008823192.1;NW_008822967.1	-;-	NW_008819387.1	-	35.9621429443	0.881083557154	0.583333333333	12
NW_008819781.1	-	NW_008822082.1	-	-24.8558654785	0.545585133805	0.571428571429	7
NW_008822406.1	+	NW_008823540.1	+	35.9623260498	0.468513525502	0.666666666667	6
NW_008818436.1	-	NW_008818241.1	+	35.9674682617	0.611037013407	0.583333333333	12
NW_008820325.1	-	NW_008816795.1;NW_008818227.1	-;-	19.5782165527	0.597860307106	0.6	5
NW_008818307.1	-	NW_008821972.1	-	8.20050048828	0.497094802219	0.666666666667	6
NW_008822875.1	+	NW_008822838.1	+	21.7587127686	0.983237538714	0.428571428571	7
NW_008821221.1	+	NW_008819552.1	+	29.4862060547	0.594855607768	0.6	5
NW_008818825.1	+	NW_008823662.1	-	35.9609222412	0.756009204443	0.4	5
NW_008822965.1	+	NW_008815703.1	+	35.9642028809	0.866570275687	0.4	5
NW_008823222.1	+	NW_008823033.1;NW_008821662.1	-;-	35.9592895508	0.968938793531	0.454545454545	11
NW_008814514.1	+	NW_008822582.1	-	35.9713439941	0.656343527916	0.666666666667	6
NW_008822719.1	+	NW_008823277.1	+	27.7242736816	0.399192474292	0.6	10
NW_008823510.1	+	NW_008822038.1	-	35.9652862549	0.756321475402	0.6	5
NW_008819862.1;NW_008817884.1;NW_008820598.1	+;+;+	NW_008821676.1;NW_008823693.1	+;+	35.9682846069	0.509742303747	0.625	8
NW_008815903.1	+	NW_008823043.1	-	35.963104248	0.800221721497	0.714285714286	7
NW_008822563.1	+	NW_008822919.1	-	7.92663574219	0.669924937126	0.6	5
NW_008823296.1	+	NW_008823416.1	+	35.9573974609	0.688234825187	0.6	5
NW_008812255.1	-	NW_008823502.1	-	27.7110900879	0.79566735317	0.6	5
NW_008824473.1	+	NW_008822579.1	+	-17.6154048219	0.280849586148	0.714285714286	7
NW_008822849.1	+	NW_008823256.1	-	35.967666626	0.525127478182	0.8	5
NW_008821561.1	+	NW_008822910.1	-	35.9579772949	0.357188820411	0.8	5
NW_008821698.1	+	NW_008823325.1	-	35.9725952148	0.938670202589	0.666666666667	6
NW_008822968.1;NW_008822976.1	-;-	NW_008822555.1	+	35.9583435059	0.853029876173	0.571428571429	7
NW_008820485.1	+	NW_008823456.1	-	35.9699707031	0.544856270328	0.714285714286	7
NW_008821149.1	-	NW_008822020.1	-	-16.0754699707	0.406458755869	0.777777777778	9
NW_008815475.1	-	NW_008817155.1	+	35.9724731445	0.730978645333	0.666666666667	12
NW_008818807.1	+	NW_008812155.1	+	-13.1196899414	0.217866754573	0.833333333333	6
NW_008821327.1	-	NW_008822140.1	-	35.9688110352	0.647174889822	0.75	8
NW_008825109.1	+	NW_008822764.1	-	3.3922249116	0.768269854216	0.714285714286	7
NW_008820181.1	+	NW_008823736.1	+	35.9539794922	0.648346535511	0.666666666667	6
NW_008823011.1	-	NW_008822737.1;NW_008823646.1	-;-	35.9691314697	0.805807720392	0.666666666667	6
NW_008821031.1	-	NW_008822530.1;NW_008816912.1	+;+	35.9560241699	0.727682150234	0.571428571429	14
NW_008816267.1;NW_008822231.1	-;-	NW_008815312.1;NW_008813097.1	-;-	35.9566650391	0.812039459742	0.5	6
NW_008822679.1	+	NW_008818571.1	+	-0.780395507812	0.574372759516	0.666666666667	6
NW_008825575.1	-	NW_008825153.1	-	-12.8176336884	0.366175983634	0.666666666667	6
NW_008822196.1;NW_008823834.1;NW_008823311.1;NW_008821399.1	+;+;+;+	NW_008822848.1	+	17.7520103455	0.910521899668	0.666666666667	6
NW_008822868.1	-	NW_008814453.1	+	35.9664611816	0.86736141295	0.636363636364	11
NW_008815312.1;NW_008813097.1	-;-	NW_008821959.1;NW_008823054.1;NW_008822778.1;NW_008822708.1;NW_008817347.1	+;+;+;+;+	35.9675445557	0.6147723685	0.666666666667	6
NW_008823745.1	-	NW_008823734.1	+	9.10164642334	0.706904599123	0.2	5
NW_008822826.1	+	NW_008823166.1;NW_008823714.1	-;-	35.9646835327	0.798675590045	0.818181818182	11
NW_008823325.1	-	NW_008818841.1	+	35.9513244629	0.393706328586	0.571428571429	7
NW_008825341.1;NW_008823139.1	-;-	NW_008824887.1	+	1.25039672852	0.451985894329	0.714285714286	7
NW_008823721.1	-	NW_008823663.1	+	-15.41040802	0.517960304687	0.714285714286	7
NW_008822735.1	+	NW_008821130.1;NW_008821340.1	-;-	21.7353515625	0.748655991643	0.714285714286	7
NW_008823389.1	+	NW_008823044.1;NW_008823335.1;NW_008821689.1	+;+;+	35.9659881592	0.444984066024	0.8	5
NW_008819706.1	-	NW_008823295.1	-	-7.32229614258	0.545161010363	0.75	8
NW_008822112.1	+	NW_008820025.1;NW_008820212.1;NW_008823156.1	-;-;-	28.4730224609	0.944639543201	0.666666666667	6
