#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_albimanus	KB672286	AALB004081	-	731	1704	2	731-1342:1687-1704
Anopheles_albimanus	KB672286	AALB004082	+	6465	8373	4	6465-6671:6760-7256:7323-7500:7573-8373
Anopheles_albimanus	KB672286	AALB004083	-	8504	11145	6	8504-8790:8856-8961:8969-9673:9752-9928:9939-10103:10177-11145
Anopheles_albimanus	KB672286	AALB004084	+	12480	13818	3	12480-12736:12940-13075:13306-13818
Anopheles_albimanus	KB672286	AALB004085	+	38506	39540	3	38506-38626:38876-39095:39192-39540
Anopheles_albimanus	KB672286	AALB004086	-	41222	42299	2	41222-41479:41553-42299
Anopheles_albimanus	KB672286	AALB004087	+	131676	133069	2	131676-132487:133048-133069
Anopheles_albimanus	KB672286	AALB004088	+	136179	137246	1	136179-137246
Anopheles_albimanus	KB672286	AALB004089	+	145760	145966	1	145760-145966
Anopheles_albimanus	KB672286	AALB004090	+	162027	164469	3	162027-163874:163952-164301:164370-164469
Anopheles_albimanus	KB672286	AALB004091	-	167402	168501	2	167402-167659:167758-168501
Anopheles_albimanus	KB672286	AALB014403	+	170840	171460	1	170840-171460
Anopheles_albimanus	KB672286	AALB004092	-	196056	203510	4	196056-197284:197757-198296:199098-202633:202705-203510
Anopheles_albimanus	KB672286	AALB004093	+	254602	260769	5	254602-254831:258877-258982:259995-260096:260178-260381:260464-260769
Anopheles_albimanus	KB672286	AALB004094	-	265873	269257	2	265873-267380:267466-269257
Anopheles_albimanus	KB672286	AALB004095	+	292270	306761	15	292270-292672:292749-292991:293080-293191:293271-293487:293577-293804:296230-296612:297398-297608:299945-300979:303308-303436:304744-305487:305564-305719:305795-305965:306056-306205:306291-306500:306588-306761
Anopheles_albimanus	KB672286	AALB004096	-	311878	313341	5	311878-312033:312123-312327:312395-312696:312758-313139:313253-313341
Anopheles_albimanus	KB672286	AALB004097	+	314165	315936	3	314165-314195:314264-314322:315823-315936
Anopheles_albimanus	KB672286	AALB004098	-	333847	334413	1	333847-334413
