scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
7285__len__10813	-	44882__len__2677	-	-56.7207202911	0.699724790605	0.823529411765	17
84232__len__9956	-	144365__len__3408	-	-64.3758182526	0.931277959983	0.8	10
43393__len__6348	+	80509__len__9265	+	-57.3471012115	0.258780677766	0.75	12
138942__len__13292	-	23807__len__4723	-	-56.3519287109	0.856814371672	0.5	12
136884__len__1525	+	1021__len__9207	+	-19.5869102478	0.640819621127	0.695652173913	23
172842__len__5313	-	70312__len__19876	-	-44.1118507385	0.363650489002	0.7	10
195587__len__5647	+	39296__len__6480	-	-80.9250488281	0.323612535449	0.333333333333	6
63624__len__14189	+	114767__len__8104	+	-52.2814254761	0.617766930704	0.714285714286	7
135135__len__6762	-	51347__len__1984	-	-59.1412239075	0.842805064611	0.75	8
91242__len__7571	+	54264__len__4331	+	-66.9714927673	0.828475252231	0.636363636364	11
112150__len__3139	+	87601__len__5904	+	-10.0728912354	0.472273772043	0.727272727273	11
82203__len__8433	+	63419__len__8707	+	12.8056507111	0.485306745784	0.642857142857	14
172587__len__12769	-	59097__len__10459	-	-76.6536159515	0.904809432496	0.6	10
109993__len__28787	+	108608__len__15515	+	25.8440179825	0.649646418941	0.6	5
109993__len__28787	+	140754__len__17029	+	-82.2119026184	0.256194931299	0.428571428571	7
11967__len__5251	+	8839__len__6506	+	-68.4438018799	0.8133677024	0.833333333333	6
43403__len__20212	-	4887__len__17151	-	-105.108063698	0.536168288322	0.444444444444	9
94563__len__3496	-	8573__len__3783	-	-48.5233383179	0.504476802696	0.666666666667	9
83936__len__10806	-	4788__len__9864	-	36.9608783722	0.323672957448	0.666666666667	15
49697__len__10518	-	25771__len__16481	-	10.8146591187	0.413334762271	0.769230769231	13
84__len__8332	-	34970__len__13996	+	-94.8838329315	0.489235396397	0.2	5
84__len__8332	-	89689__len__12774	+	-91.0501079559	0.129650086115	0.5	6
84__len__8332	-	116634__len__7964	+	-96.8241901398	0.314518092785	0.4	5
156875__len__2510	+	66015__len__7856	+	-55.9416999817	0.877327799664	0.625	8
170643__len__4304	-	233072__len__2518	-	-53.5619392395	0.454120914796	0.818181818182	11
31510__len__16273	-	282414__len__1499	-	-47.7144088745	0.905805147326	0.6	5
54956__len__2842	-	213146__len__3320	-	-52.451713562	0.61483672732	0.727272727273	11
70793__len__5039	-	41103__len__9093	-	-81.838514328	0.967689353055	0.727272727273	11
5253__len__7825	-	1241__len__8890	-	-63.7024459839	0.695416909817	0.777777777778	9
91874__len__2285	+	4555__len__4570	+	-23.4096984863	0.615345906621	0.642857142857	14
25039__len__1690	+	235920__len__2078	+	-58.7652053833	0.389889768072	0.857142857143	14
135751__len__7890	+	52143__len__18664	+	-35.9211978912	0.559856186962	0.5	10
87481__len__8237	+	45617__len__11983	+	-59.0026721954	0.89907369792	0.833333333333	18
127908__len__3110	+	40518__len__22018	+	-45.3242473602	0.370264197827	0.777777777778	9
