scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB668879	+	KB669119	+	110.904659842	0.383612675959	0.529411764706	17
KB668767	-	KB669347	-	-5007.10776135	0.0969944365901	0.857142857143	7
KB668876	+	KB669172	+	1127.19389769	0.428634241031	0.666666666667	3
KB669011	-	KB668709	-	-2073.10776135	0.727500711015	0.769230769231	26
KB669250	+	KB668925	-	-84.8152043892	0.797514587767	0.333333333333	3
KB668922	-	KB669055	+	-2866.10776135	0.597321362134	0.8125	16
KB669034	-	KB669208	+	136.364834338	0.247182669063	0.666666666667	6
KB668935	+	KB668750	-	-4957.10776135	0.165323064184	0.666666666667	3
KB668820	-	KB668699	-	-2692	0.71402661865	0.866666666667	30
KB668858	-	KB669380	-	-3354.10776135	0.681597547306	0.866666666667	15
KB668947	+	KB668742	-	-2559	0.715484422953	0.851063829787	47
KB668817	+	KB668811	-	-3746.10776135	0.402553643497	0.912280701754	57
KB668845	+	KB669425	-	-4977.10776135	0.107891678639	0.75	4
KB668830	-	KB668823	+	-2650.10776135	0.572374547262	0.4	5
KB668772	-	KB669292	-	-784.795256841	0.651855206513	0.333333333333	3
KB668772	-	KB668680	+	587.277138191	0.81767104015	0.4	5
KB668772	-	KB668992	+	522.236336218	0.907089769574	0.4	5
KB668772	-	KB668752	-	-3398.10776135	0.560060390258	0.428571428571	7
KB668772	-	KB668679	+	527.640824359	0.968946382281	0.333333333333	3
KB668772	-	KB668766	-	1102.59268039	0.403499407026	0.333333333333	3
KB668772	-	KB668555	+	7.34842276561	0.772337588632	0.5	4
KB668772	-	KB668905	+	-4539.10776135	0.121835073863	0.333333333333	3
KB668772	-	KB668411	+	121.130189825	0.936517139861	0.333333333333	3
KB668772	-	KB668611	-	-136.660470355	0.948242865784	0.333333333333	3
KB668772	-	KB669527	+	-1990.10776135	0.508926343871	0.333333333333	3
KB668772	-	KB668912	+	657.514499619	0.943896040746	0.5	4
KB668772	-	KB668881	+	484.978715545	0.700657942055	0.25	4
KB668772	-	KB668367	+	613.979951175	0.81767104015	0.4	5
KB668708	-	KB669214	-	-601.537174517	0.151230426171	0.333333333333	3
KB668708	-	KB668992	+	1489.63369152	0.0521555646421	0.333333333333	3
KB668708	-	KB668752	-	-3373.10776135	0.0612350715499	0.5	4
KB668992	-	KB669214	-	-39.1451667206	0.382691362405	0.538461538462	13
KB668992	-	KB668445	-	2301.01810533	0.366305919084	0.333333333333	3
KB668992	-	KB668974	+	-1924.10776135	0.525697392086	0.5	4
KB668992	-	KB669173	+	36.666599633	0.162041755846	0.5	4
KB668992	-	KB668755	+	1194.55740844	0.837302262692	0.2	5
KB668992	-	KB668895	+	424.7285518	0.85820116443	0.333333333333	3
KB668992	-	KB668782	+	825.133113312	0.260560131466	0.666666666667	6
KB668992	-	KB668500	+	-209.130734547	0.649554619566	0.333333333333	3
KB668992	-	KB668500	-	-583.133321567	0.391862921732	0.333333333333	3
KB668992	-	KB668633	+	-473.50684748	0.307616280354	0.5	4
KB668992	-	KB668789	-	620.887664376	0.462167739519	0.5	4
KB668992	-	KB669458	+	1483.00836881	0.405121933981	0.5	4
KB668992	-	KB668892	-	457.601541317	0.0622992252831	0.666666666667	3
KB668992	-	KB669052	+	1279.76667965	0.292263146208	0.5	4
KB668992	-	KB669280	-	-264.334278365	0.219165813179	0.333333333333	3
KB668992	-	KB668775	+	-142.220949743	0.242725919565	0.6	5
KB668992	-	KB668687	-	136.028291495	0.758488286991	0.333333333333	3
KB668992	-	KB669204	+	1043.4682473	0.184740492544	0.333333333333	3
KB668992	-	KB668784	-	1396.31100866	0.472837705548	0.5	4
KB668992	-	KB668828	+	465.574678268	0.345378672669	0.5	4
KB668992	-	KB669292	+	75.9780937969	0.833208491982	0.5	4
KB668992	-	KB668856	+	1108.35172843	0.502495195817	0.375	8
KB668992	-	KB668730	+	266.708418894	0.222019141455	0.333333333333	3
KB668992	-	KB668826	-	22.006333542	0.23284416673	0.333333333333	3
KB668992	-	KB668556	-	924.303795514	0.676891547242	0.5	4
