scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_004930098.1	+	NW_004929964.1;NW_004929486.1;NW_004929873.1;NW_004930216.1;NW_004929958.1;NW_004929740.1	-;-;-;-;-;-	-963.932012796	0.379844679804	0.6	70
NW_004930098.1	+	NW_004930011.1;NW_004930157.1;NW_004933218.1;NW_004930279.1;NW_004930273.1;NW_004931357.1;NW_004930044.1;NW_004930193.1;NW_004929505.1;NW_004935542.1;NW_004933643.1;NW_004930165.1;NW_004930339.1;NW_004929491.1;NW_004933130.1;NW_004930069.1;NW_004929629.1;NW_004929756.1;NW_004929628.1;NW_004929755.1;NW_004929866.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-417.609494921	0.468850003249	0.50233281493	643
NW_004930098.1	+	NW_004935942.1	+	360.462462425	0.817999646665	0.428571428571	7
NW_004930098.1	+	NW_004929969.1	+	1435.14490378	0.365103595183	0.428571428571	7
NW_004930098.1	+	NW_004930438.1	-	-499.27557528	0.0129390401539	0.4	5
NW_004930098.1	+	NW_004929980.1;NW_004930016.1;NW_004930017.1	-;-;-	-774.199717045	0.897936240307	0.3	10
NW_004930098.1	+	NW_004929792.1	-	-793.914802074	0.356436856609	0.325	120
NW_004930098.1	+	NW_004929480.1	+	1393.48939228	0.240498340839	0.2	5
NW_004930098.1	+	NW_004930025.1;NW_004930451.1	+;+	-1271.33752026	0.272316395556	0.285714285714	14
NW_004930098.1	+	NW_004929734.1	+	1935.79220027	0.977319415168	0.230769230769	13
NW_004930098.1	+	NW_004929578.1	-	-652.568694472	0.388778088027	0.5	14
NW_004930098.1	+	NW_004935964.1;NW_004929878.1;NW_004929768.1;NW_004936108.1;NW_004935638.1;NW_004935965.1;NW_004930699.1;NW_004936036.1	+;+;+;+;+;+;+;+	-1256.07605439	0.292228010492	0.2	15
NW_004930098.1	+	NW_004930169.1;NW_004929715.1;NW_004929933.1;NW_004934820.1;NW_004930129.1;NW_004934774.1;NW_004931709.1;NW_004931013.1;NW_004933600.1;NW_004930040.1;NW_004930341.1;NW_004930297.1;NW_004929495.1	+;+;+;+;+;+;+;+;+;+;+;+;+	1423.62080683	0.462012602108	0.521739130435	23
NW_004930098.1	+	NW_004929860.1;NW_004929760.1;NW_004929502.1;NW_004929952.1;NW_004930057.1;NW_004929953.1	-;-;-;-;-;-	1955.55694892	0.364075562618	0.428571428571	7
NW_004930098.1	+	NW_004930142.1	-	-237.7399939	0.224120443836	0.333333333333	6
NW_004930098.1	+	NW_004930316.1;NW_004930127.1;NW_004930346.1;NW_004930063.1;NW_004930248.1	+;+;+;+;+	-1265.70857568	0.560167672349	0.333333333333	9
NW_004930098.1	+	NW_004930033.1;NW_004930549.1	+;+	1744.41655946	0.276178290165	0.481481481481	54
NW_004930098.1	+	NW_004929795.1;NW_004929794.1;NW_004935494.1;NW_004929588.1;NW_004930036.1	-;-;-;-;-	1090.00154953	0.711871123995	0.428571428571	7
NW_004930098.1	+	NW_004930530.1;NW_004933040.1;NW_004931341.1;NW_004933641.1;NW_004936433.1;NW_004934385.1;NW_004930866.1;NW_004930474.1;NW_004929723.1;NW_004931804.1;NW_004930178.1;NW_004930177.1	+;+;+;+;+;+;+;+;+;+;+;+	1313.82001653	0.380666082368	0.420955882353	544
NW_004930098.1	+	NW_004929572.1;NW_004930053.1;NW_004929456.1	-;-;-	-969.628421307	0.34761442443	0.595744680851	47
NW_004930098.1	+	NW_004930116.1;NW_004930190.1;NW_004930261.1	-;-;-	1044.67996231	0.340852791079	0.324324324324	37
NW_004930098.1	+	NW_004929837.1;NW_004929674.1;NW_004929555.1;NW_004929785.1;NW_004930058.1;NW_004929696.1	-;-;-;-;-;-	-1289.4378705	0.349259107835	0.692307692308	13
NW_004930098.1	+	NW_004929960.1;NW_004930176.1;NW_004930228.1;NW_004930281.1;NW_004930405.1;NW_004930263.1;NW_004929592.1;NW_004930223.1;NW_004930110.1	+;+;+;+;+;+;+;+;+	949.431152655	0.363267518361	0.2	40
NW_004930098.1	+	NW_004935952.1	+	-1863.16200256	0.64174583521	0.363636363636	33
NW_004930098.1	+	NC_000878.1;NW_004929489.1;NW_004930010.1	-;-;-	943.698572248	0.265771539111	0.466165413534	133
NW_004930098.1	+	NW_004929908.1	+	3068.28523493	0.398202913312	0.285714285714	7
NW_004930098.1	+	NW_004930403.1;NW_004930094.1;NW_004929802.1;NW_004929838.1;NW_004929797.1;NW_004929906.1;NW_004929750.1	+;+;+;+;+;+;+	-662.438811123	0.653534499934	0.181818181818	22
NW_004930098.1	+	NW_004930162.1;NW_004930442.1;NW_004932881.1;NW_004930120.1;NW_004931978.1;NW_004930362.1	+;+;+;+;+;+	805.42720747	0.363920561414	0.5	8
NW_004930098.1	+	NW_004929518.1;NW_004929818.1;NW_004930104.1;NW_004930514.1;NW_004930265.1;NW_004930431.1;NW_004930433.1;NW_004930432.1;NW_004929805.1;NW_004930027.1;NW_004929917.1;NW_004930276.1;NW_004930091.1	+;+;+;+;+;+;+;+;+;+;+;+;+	-72.381318056	0.551918455938	0.257575757576	66
NW_004930098.1	+	NW_004936172.1;NW_004931772.1;NW_004934235.1;NW_004935877.1;NW_004933810.1;NW_004935230.1;NW_004936037.1;NW_004931963.1;NW_004930854.1;NW_004936289.1;NW_004931678.1;NW_004932554.1;NW_004935172.1;NW_004936221.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-	-1045.28160334	0.303347098483	0.25	12
NW_004930098.1	+	NW_004929664.1	-	1476.3169198	0.178900631998	0.375	16
NW_004930098.1	+	NW_004929702.1	-	-1517.67272604	0.517004322756	0.423076923077	26
NW_004930098.1	+	NW_004929570.1;NW_004929793.1	-;-	-1069.41352737	0.304390246082	0.653846153846	26
NW_004930098.1	+	NW_004930220.1	-	588.622587204	0.171441528598	0.551020408163	49
NW_004930098.1	+	NW_004929919.1;NW_004929920.1;NW_004930221.1;NW_004929688.1;NW_004930103.1;NW_004930219.1;NW_004929918.1;NW_004930135.1;NW_004930557.1	+;+;+;+;+;+;+;+;+	794.619837523	0.37494290853	0.334283677833	1403
NW_004930098.1	+	NW_004930220.1	+	-898.581773758	0.284598351016	0.641025641026	39
NW_004930098.1	+	NW_004930262.1	-	-1322.12247312	0.444940186025	0.285714285714	14
NW_004930098.1	+	NW_004929450.1;NW_004930020.1;NW_004932707.1;NW_004930536.1;NW_004929550.1;NW_004929457.1;NW_004930583.1;NW_004930342.1;NW_004930609.1;NW_004930349.1;NW_004934991.1;NW_004931715.1;NW_004936255.1;NW_004936229.1;NW_004936404.1;NW_004930529.1;NW_004930348.1;NW_004930610.1;NW_004929493.1;NW_004929986.1;NW_004929979.1;NW_004930224.1;NW_004930002.1;NW_004929519.1;NW_004930314.1;NW_004930045.1;NW_004929962.1;NW_004930078.1;NW_004929879.1	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	-153.913423548	0.365397006631	0.461538461538	26
NW_004930098.1	+	NW_004929456.1;NW_004930053.1;NW_004929572.1	+;+;+	863.933312893	0.303468274083	0.605042016807	119
NW_004930098.1	+	NW_004930372.1;NW_004929752.1	+;+	-874.266019106	0.356628682778	0.428571428571	7
NW_004930098.1	+	NW_004930423.1;NW_004932869.1;NW_004930424.1;NW_004929983.1;NW_004929620.1;NW_004930388.1;NW_004930397.1;NW_004930253.1;NW_004929708.1;NW_004929948.1;NW_004929600.1;NW_004929799.1;NW_004930387.1;NW_004930073.1;NW_004930084.1;NW_004930264.1;NW_004930208.1;NW_004929745.1;NW_004930143.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-473.925494918	0.546175564956	0.472222222222	36
NW_004930098.1	+	NW_004930410.1;NW_004930688.1;NW_004929971.1;NW_004929554.1;NW_004930556.1;NW_004929814.1;NW_004929911.1;NW_004930571.1	+;+;+;+;+;+;+;+	-1605.31072082	0.599822063158	0.757575757576	132
NW_004930098.1	+	NW_004930597.1	+	-1413.12252831	0.429791403395	0.5	6
NW_004930098.1	+	NW_004929863.1;NW_004930124.1;NW_004929811.1;NW_004930291.1;NW_004930523.1;NW_004930038.1	+;+;+;+;+;+	923.043024849	0.192175742522	0.454545454545	11
NW_004930098.1	+	NW_004930198.1;NW_004929627.1;NW_004930351.1;NW_004929559.1;NW_004930202.1	+;+;+;+;+	2083.3258945	0.369099821268	0.5	6
NW_004930098.1	+	NW_004930075.1;NW_004930257.1;NW_004929776.1;NW_004933503.1;NW_004929833.1;NW_004930101.1;NW_004930241.1;NW_004930023.1	+;+;+;+;+;+;+;+	976.656820003	0.44404950968	0.714285714286	56
NW_004930098.1	+	NW_004929916.1	-	-1802.95035461	0.594368413307	0.473684210526	19
NW_004930098.1	+	NW_004929784.1	-	-40.6842014194	0.407299693418	0.4	5
NW_004930098.1	+	NW_004929749.1;NW_004935490.1;NW_004930062.1;NW_004930072.1	+;+;+;+	573.642649174	0.35631333796	0.5	32
NW_004930098.1	+	NW_004929704.1;NW_004929898.1	+;+	2151.77758664	0.318036864474	0.384615384615	13
NW_004930098.1	+	NW_004929988.1;NW_004930836.1;NW_004930356.1;NW_004929831.1;NW_004929830.1	-;-;-;-;-	389.84558481	0.256912407004	0.5	102
