#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
ASTEI	scaffold_00001	ASTEI00001	-	455	1419	3	455-743:996-1292:1352-1419
ASTEI	scaffold_00001	ASTEI00002	+	3059	7255	2	3059-3256:3329-7255
ASTEI	scaffold_00001	ASTEI000020	-	13248	15699	3	13248-13325:13397-15600:15672-15699
ASTEI	scaffold_00001	ASTEI00003	-	7743	8263	2	7743-8150:8219-8263
ASTEI	scaffold_00001	ASTEI00004	+	9050	9668	2	9050-9208:9258-9668
ASTEI	scaffold_00001	ASTEI00005	-	10127	11518	1	10127-11518
ASTEI	scaffold_00001	ASTEI00006	+	11837	13072	2	11837-11915:11988-13072
ASTEI	scaffold_00001	ASTEI00008	+	16369	17623	2	16369-16556:17287-17623
ASTEI	scaffold_00001	ASTEI00009	-	19048	19590	3	19048-19224:19287-19404:19487-19590
ASTEI	scaffold_00001	ASTEI00010	-	42318	43286	4	42318-42451:42632-42788:42917-42993:43100-43286
ASTEI	scaffold_00001	ASTEI00011	+	45991	46468	3	45991-46296:46360-46391:46456-46468
ASTEI	scaffold_00001	ASTEI00012	-	47865	60887	8	47865-47996:48069-48218:58205-58502:58640-58829:59050-59407:59573-59695:59967-60186:60508-60887
ASTEI	scaffold_00001	ASTEI00013	+	65374	69722	4	65374-66005:67493-67941:69137-69353:69425-69722
ASTEI	scaffold_00001	ASTEI00014	-	165089	166562	3	165089-165388:165463-165737:165821-166562
ASTEI	scaffold_00001	ASTEI00015	+	174539	180508	4	174539-175826:175913-176227:177923-178060:180234-180508
ASTEI	scaffold_00001	ASTEI00016	-	183069	189772	11	183069-183587:185217-185754:185814-186408:186489-186754:186831-187029:187101-187220:187880-188089:188157-188806:188879-189257:189356-189495:189570-189772
ASTEI	scaffold_00001	ASTEI00017	+	190337	190853	3	190337-190366:190437-190555:190622-190853
ASTEI	scaffold_00001	ASTEI00018	-	190981	192842	3	190981-191191:191265-192751:192828-192842
ASTEI	scaffold_00001	ASTEI00019	+	193748	200365	3	193748-193938:196933-199975:200051-200365
ASTEI	scaffold_00001	ASTEI00020	-	194894	196670	2	194894-196528:196596-196670
ASTEI	scaffold_00001	ASTEI00021	-	200729	200956	1	200729-200956
ASTEI	scaffold_00001	ASTEI00022	+	201337	202701	2	201337-201410:201495-202701
ASTEI	scaffold_00001	ASTEI00023	+	203169	205288	2	203169-203373:203445-205288
ASTEI	scaffold_00001	ASTEI00024	-	226839	227225	1	226839-227225
ASTEI	scaffold_00001	ASTEI00025	-	227250	233052	2	227250-228946:232338-233052
ASTEI	scaffold_00001	ASTEI00026	-	339796	340326	2	339796-340215:340276-340326
ASTEI	scaffold_00001	ASTEI00027	-	374181	374595	2	374181-374398:374565-374595
ASTEI	scaffold_00001	ASTEI00028	-	380096	381198	2	380096-380101:380848-381198
ASTEI	scaffold_00001	ASTEI00029	-	381315	382810	3	381315-381394:381460-382678:382718-382810
ASTEI	scaffold_00001	ASTEI00030	+	385454	386608	4	385454-385550:385659-385852:385947-386398:386467-386608
ASTEI	scaffold_00001	ASTEI00031	+	392038	407468	12	392038-392188:392356-392992:393008-393108:397942-398040:398196-398832:400750-400876:404739-404769:404885-405521:405798-405875:406365-406510:406600-407236:407321-407468
ASTEI	scaffold_00001	ASTEI00032	+	409925	411557	4	409925-410089:410167-410314:410507-410639:410702-411557
ASTEI	scaffold_00001	ASTEI00033	-	411674	414799	1	411674-414799
ASTEI	scaffold_00001	ASTEI00034	-	416167	417241	3	416167-416383:416459-416774:416989-417241
ASTEI	scaffold_00001	ASTEI00035	+	419783	423403	4	419783-419861:422009-422404:422526-422629:423248-423403
ASTEI	scaffold_00001	ASTEI00036	-	426611	438001	11	426611-426835:426911-427273:427345-427548:428962-429138:429586-429762:429840-431164:431237-431827:431914-433128:433202-433731:434357-434602:437895-438001
ASTEI	scaffold_00001	ASTEI00037	+	455656	456678	4	455656-455734:455947-456145:456221-456348:456416-456678
ASTEI	scaffold_00001	ASTEI00038	+	514799	536833	12	514799-515658:520021-520092:525837-525943:526933-527226:529087-530017:530449-531025:531090-531235:532696-532835:535912-536074:536151-536292:536374-536430:536756-536833
ASTEI	scaffold_00001	ASTEI00039	+	546365	555246	5	546365-546619:554020-554141:554216-554375:554474-554643:555111-555246
ASTEI	scaffold_00001	ASTEI00040	-	567206	572728	9	567206-567694:567772-569769:569853-569976:571228-571365:571450-571659:571738-571879:571955-572130:572219-572437:572508-572728
ASTEI	scaffold_00001	ASTEI00041	+	595479	596453	4	595479-595571:595640-595760:595838-596267:596339-596453
ASTEI	scaffold_00001	ASTEI00042	+	597574	608340	7	597574-597739:598050-603915:603992-604145:604224-605224:607087-607493:607586-607927:608231-608340
ASTEI	scaffold_00001	ASTEI00043	-	610539	610921	2	610539-610550:610739-610921
ASTEI	scaffold_00001	ASTEI00044	-	610953	613713	7	610953-610997:611070-611450:611517-611885:611974-612651:612795-612914:613440-613556:613648-613713
ASTEI	scaffold_00001	ASTEI00045	-	619669	627968	5	619669-622688:622776-624198:624292-624520:624975-625176:627851-627968
ASTEI	scaffold_00001	ASTEI00046	+	630571	633930	2	630571-632805:633841-633930
ASTEI	scaffold_00001	ASTEI00047	-	634700	635901	2	634700-635202:635823-635901
ASTEI	scaffold_00001	ASTEI00048	+	636332	645261	16	636332-636521:636944-638545:638742-638835:638906-639045:639121-639321:639399-639617:639692-640650:640745-640781:641940-642338:642733-642990:643366-643587:643659-643934:644002-644352:644424-644800:644889-645076:645144-645261
ASTEI	scaffold_00001	ASTEI00049	-	647009	647899	3	647009-647095:647172-647560:647833-647899
ASTEI	scaffold_00001	ASTEI00050	+	649464	652261	2	649464-649565:649676-652261
ASTEI	scaffold_00001	ASTEI00051	-	708711	709412	1	708711-709412
ASTEI	scaffold_00001	ASTEI00052	+	742054	757954	8	742054-743374:748636-748961:752068-752219:754775-754882:755851-755977:756047-756261:756411-756663:757274-757954
ASTEI	scaffold_00001	ASTEI00053	+	758026	759353	3	758026-758213:758240-759014:759054-759353
ASTEI	scaffold_00001	ASTEI00054	-	764828	768796	8	764828-764900:764970-765098:765169-765425:765499-765675:766058-766431:767244-767830:768350-768588:768650-768796
ASTEI	scaffold_00001	ASTEI00055	+	771212	772921	3	771212-772107:772175-772607:772688-772921
