contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
KB671084	1533	234645.3	13130.0	151.0	No
KB671202	1405	226458.7	12671.0	151.0	No
KB671322	1201	196990.5	11023.0	151.0	No
KB671337	1123	151998.8	8505.0	151.0	No
KB671216	1340	127867.4	7155.0	151.0	No
KB670834	2070	57452.9	3215.0	151.0	No
KB671069	1617	54475.9	3048.0	151.0	No
KB671115	1560	48012.5	2687.0	151.0	No
KB671268	1257	37732.5	2111.0	151.0	No
KB670182	4681	22719.3	1271.0	151.0	No
KB670743	7028	21580.3	1208.0	151.0	No
KB671551	215368	10713.1	599.0	151.0	No
KB671067	1598	10696.1	598.0	151.0	No
