scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI397852	+	KI398240	-	-58800.9688784	0	1.0	4
KI397852	+	KI398361	+	-67492.7261947	3.44499959025e-05	0.25	4
KI397852	+	KI398100	-	-52897.2149466	0.17324465463	0.25	4
KI397852	+	KI398166	+	-48757.3664461	0.316792685833	0.25	4
KI397852	+	KI398194	-	-71268.1732301	0.142604546653	0.166666666667	6
KI397934	+	KI398227	+	-77721.7958202	0.511805785484	0.25	4
KI397934	+	KI398100	-	-83673.8101345	0.173578691948	0.25	4
KI397934	+	KI398166	+	-80683.0641919	0.369387112727	0.333333333333	3
KI398349	+	KI398252	-	-62745.5974511	0	1.0	3
KI398349	+	KI398368	+	-50826.8564504	0.276525284912	0.5	10
KI398349	+	KI398227	+	-41099.8421253	0.67824387241	0.333333333333	3
KI398349	+	KI398043	-	-52126.0266049	0.0455665355221	0.333333333333	3
KI398349	+	KI397919	+	-69600.4299514	0.0919934318976	0.333333333333	3
AXCK01004694	+	AXCK01001710	-	8780.08034742	0.367678027999	0.934782608696	138
KI397931	+	KI397874	-	21742.8910477	0.61264701626	0.811111111111	90
KI398100	-	KI397957	-	23982.7076895	0.827982070919	0.644444444444	45
KI398100	-	KI397885	-	-14680.115594	0.239252097432	0.333333333333	3
KI398100	-	KI398000	-	-22113.0561634	0.221542621164	0.25	4
KI397915	+	KI397831	+	-83168.4720086	0.209523544155	0.333333333333	3
KI397915	+	KI397937	+	-51833.2504867	0.131862242516	0.333333333333	3
KI397915	+	KI397804	-	-11731.7247116	0.362994720544	0.5	4
KI397915	+	KI397812	+	-52297.8055345	0.188724942611	0.25	4
KI397843	+	KI398233	-	-60372.6375408	0.15345698687	0.666666666667	3
KI397843	+	KI398361	-	-56874.6210012	0.322541026635	0.333333333333	3
KI397843	+	KI398041	-	-46246.6437007	0.692238496617	0.666666666667	3
KI397843	+	KI398164	+	-4094.2888115	0.611336982375	0.904761904762	63
KI397900	-	KI398095	-	6477.97761178	0.511546062078	0.2	5
KI397900	-	KI398218	+	-10394.2713106	0.289373142263	0.333333333333	3
KI397900	-	KI398368	+	20111.608464	0.43080146182	0.5	6
KI397900	-	KI398154	-	15147.6896634	0.00847351200898	0.333333333333	3
KI397900	-	KI397893	-	-22355.9497572	0.0957363806089	0.4	5
KI397900	-	KI398227	+	23527.0984929	0.359501721047	0.4	5
KI397932	-	KI397895	+	-65732.0596031	0.274404565852	0.666666666667	3
KI397950	+	KI397859	+	-85805.8602923	0.107307737311	0.333333333333	3
KI397950	+	KI398111	+	-81231.5546018	0	1.0	3
KI397950	+	KI398156	-	-61722.2851403	0	1.0	3
KI397930	-	KI398324	+	-26262.5081189	0.369384240086	0.333333333333	3
KI397930	-	KI397960	+	-6801.39591527	0.577233259871	0.285714285714	7
KI397930	-	KI397875	+	-57476.0032423	0.0688249796541	0.333333333333	3
KI397930	-	KI398302	-	-54834.1282884	0.597026390488	0.5	4
KI397930	-	KI397925	-	-48920.9989011	0.620197596587	0.5	4
KI397930	-	KI398107	+	-85466.4904931	0.0594182521819	0.333333333333	3
KI397930	-	KI398144	-	9592.08972192	0.282917045334	0.898305084746	59
KI397930	-	KI398182	+	-83960.6367929	0.475739268929	0.333333333333	3
KI397930	-	KI397953	+	-52718.0875997	0.41390668827	0.666666666667	3
KI397930	-	KI397974	+	-44510.2361811	0.653692655579	0.428571428571	7
KI397930	-	KI397827	-	-67708.3295823	0.740914213476	0.333333333333	3
KI397930	-	KI397942	-	-52712.5928639	0.788326392749	0.666666666667	3
KI397930	-	KI398325	+	-73421.4701554	0.93801116696	0.666666666667	3
KI397930	-	KI397910	-	-67334.1245176	0.65863384605	0.666666666667	3
KI397930	-	KI397855	+	22457.6928589	0.291447137644	0.5	4
KI397930	-	KI397976	-	-46454.5968375	0.628233901036	0.333333333333	3
KI397930	-	KI398362	-	-17864.5855497	0.418396244618	0.666666666667	3
KI397930	-	KI397840	+	-30383.809037	0.185110040916	0.6	5
KI398252	+	KI397811	+	15037.927511	0.0147425215607	0.25	4
KI398252	+	KI398357	+	745.770801902	0.0134836389136	0.666666666667	3
KI398252	+	KI398023	+	-33377.7888452	0.488995687157	0.5	4
KI398252	+	KI397934	+	-87223.5619242	0.0127828140602	0.333333333333	3
KI398252	+	KI398060	-	12683.2998729	0	1.0	3
KI398030	+	KI397912	+	-4915.83394301	0.0576977794067	0.666666666667	3
KI398030	+	KI398262	+	-6526.91421199	0.586424130499	0.805084745763	118
KI398030	+	KI397974	+	-33895.2967001	7.87575363384e-05	0.333333333333	3
KI398030	+	KI397840	+	-38071.6811589	0.203799287737	0.333333333333	3
KI398318	-	KI398381	+	-69098.8546176	0.835573744289	0.333333333333	3
KI398318	-	KI398241	+	-73421.8645508	0.844007367538	0.333333333333	3
KI398318	-	KI397903	-	-78547.0629585	0.000311301821729	0.333333333333	3
KI398318	-	KI398009	-	-76444.4393107	0.875652367647	0.333333333333	3
KI398318	-	KI398166	+	67812.965457	0	1.0	3
KI398318	-	KI397853	-	-68930.6075847	0.867223914369	0.333333333333	3
KI398318	-	KI398241	-	-71445.15997	0.845616215887	0.4	5
KI398318	-	KI398194	-	24319.6996878	0	1.0	5
KI398012	+	KI397961	-	-57172.8242351	0	1.0	3
KI398012	+	KI397968	-	-48009.598434	0.453004771312	0.333333333333	3
KI398012	+	KI397990	-	-3373.63017464	0.321466566357	0.939393939394	165
KI398012	+	KI398112	-	-45470.2893419	0.803886723531	0.333333333333	3
KI398381	-	KI397955	+	9684.04707265	0.635556957163	0.666666666667	3
KI398381	-	KI397855	+	67812.9735013	0.203300862899	0.333333333333	3
KI398381	-	KI397897	+	-61443.4502132	0.000105670301996	0.333333333333	3
KI398381	-	KI397937	+	3922.01321483	0.432401567185	0.868421052632	38
KI398381	-	KI397840	+	-32664.5761196	0.205763173383	0.333333333333	3
KI397876	+	KI398188	+	6825.6247763	0.739303832404	0.2	5
KI397876	+	KI398228	+	-56783.1739014	0	1.0	3
KI397876	+	KI398296	-	-24743.9283962	0	1.0	3
KI397876	+	KI398366	+	-11922.1300365	0.583541988608	0.333333333333	3
KI397876	+	KI397990	+	-66446.595645	0.169182260673	0.666666666667	3
KI397876	+	KI398183	-	44138.9192985	0.54797914605	0.842105263158	38
KI397876	+	KI398154	-	-19313.0981631	0.252408696437	0.333333333333	3
KI397876	+	KI397919	+	1291.19854063	0.109143687884	0.333333333333	3
KI397964	+	AXCK01002234	+	67746.4835875	0.982402264676	0.6	5
KI397964	+	KI398099	+	-20664.613883	0.518618293374	0.333333333333	3
KI397964	+	KI397915	+	-9459.66011697	0	1.0	3
KI398191	-	KI398081	-	-52999.6855836	0	1.0	3
