#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_epiroticus	KB669613	AEPI006331	+	9369	13274	5	9369-9462:10010-10107:10551-11165:11812-11944:12985-13274
Anopheles_epiroticus	KB669613	AEPI006332	-	14122	14652	3	14122-14346:14420-14570:14645-14652
Anopheles_epiroticus	KB669613	AEPI006333	+	15517	17168	6	15517-15560:15695-15875:15937-16705:16768-16850:16919-17002:17073-17168
Anopheles_epiroticus	KB669613	AEPI006334	+	25261	29424	7	25261-25418:25495-25840:25914-26025:26131-26285:26365-26486:26565-26694:27286-29424
Anopheles_epiroticus	KB669613	AEPI006335	+	29636	33954	2	29636-29678:32717-33954
Anopheles_epiroticus	KB669613	AEPI006336	-	36672	37595	1	36672-37595
Anopheles_epiroticus	KB669613	AEPI006337	-	40229	43380	6	40229-40841:40928-41088:41152-41821:41910-42113:42180-43255:43327-43380
Anopheles_epiroticus	KB669613	AEPI006338	+	45337	46248	2	45337-45351:45421-46248
Anopheles_epiroticus	KB669613	AEPI006339	-	49358	50643	3	49358-49400:49474-50015:50563-50643
Anopheles_epiroticus	KB669613	AEPI006340	+	51347	51897	2	51347-51454:51538-51897
Anopheles_epiroticus	KB669613	AEPI006341	-	52092	55083	4	52092-52630:52705-54202:54431-54716:54863-55083
Anopheles_epiroticus	KB669613	AEPI006342	-	56514	57812	1	56514-57812
Anopheles_epiroticus	KB669613	AEPI006343	+	58663	59308	2	58663-59098:59172-59308
Anopheles_epiroticus	KB669613	AEPI006344	-	60307	61610	3	60307-61234:61299-61441:61509-61610
Anopheles_epiroticus	KB669613	AEPI006345	-	62344	62902	2	62344-62629:62703-62902
Anopheles_epiroticus	KB669613	AEPI006346	-	64378	68876	6	64378-64579:64662-64797:66578-66693:67014-67211:67285-67679:68409-68876
Anopheles_epiroticus	KB669613	AEPI006347	-	87994	90851	4	87994-88161:88230-88382:88446-90561:90652-90851
Anopheles_epiroticus	KB669613	AEPI006348	-	107010	108412	4	107010-107796:107863-107991:108079-108279:108345-108412
Anopheles_epiroticus	KB669613	AEPI006349	-	126929	129148	1	126929-129148
Anopheles_epiroticus	KB669613	AEPI006350	+	130978	132428	2	130978-131296:131371-132428
Anopheles_epiroticus	KB669613	AEPI006351	-	132891	133816	2	132891-133709:133799-133816
Anopheles_epiroticus	KB669613	AEPI006352	+	134409	136153	3	134409-134484:134551-135618:135684-136153
Anopheles_epiroticus	KB669613	AEPI006353	-	136420	136812	1	136420-136812
Anopheles_epiroticus	KB669613	AEPI006354	+	137946	138638	4	137946-138008:138082-138199:138295-138443:138522-138638
Anopheles_epiroticus	KB669613	AEPI006355	-	141629	147142	7	141629-144093:145217-145297:145378-145465:145532-145711:145787-145907:145998-146076:147022-147142
Anopheles_epiroticus	KB669613	AEPI006356	+	149146	151699	4	149146-149211:149957-150193:150268-150608:150688-151699
Anopheles_epiroticus	KB669613	AEPI006357	-	158745	165148	13	158745-159112:159281-159836:160829-161004:161099-161275:161353-161476:161564-161958:162046-162580:162673-162821:163099-163275:163354-163504:163567-163657:163743-164803:165098-165148
Anopheles_epiroticus	KB669613	AEPI006358	+	166037	167455	1	166037-167455
Anopheles_epiroticus	KB669613	AEPI006359	-	169626	171321	3	169626-169718:169783-171157:171227-171321
Anopheles_epiroticus	KB669613	AEPI006360	+	171605	173098	4	171605-171641:171704-172091:172166-172607:172676-173098
Anopheles_epiroticus	KB669613	AEPI006361	-	173303	173741	2	173303-173484:173729-173741
