scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB705221	-	KB705025	+	-7.96822357178	0.613191228232	0.666666666667	3
KB705221	-	KB704375	-	-72.4386520386	0.423202224673	0.571428571429	7
KB704634	-	KB704790	-	-45.1610984802	0.362140360068	0.8	5
KB705265	+	KB705135	+	-47.4087295532	0.44426106395	0.75	4
KB704685	+	KB704871	-	-11.4819403291	0.4083239857	0.321428571429	84
KB704889	+	KB705025	+	-70.4608268738	0.398152712487	0.666666666667	3
KB704126	+	KB704282	-	-70.1423493549	0.612451956673	0.666666666667	6
KB704126	+	KB704505	+	2.80723401904	0.170682357262	0.666666666667	3
KB704666	-	KB704965	-	-95.2635669708	0.4253575821	0.5	4
KB705286	-	KB704914	-	8.09865951538	0.36374794095	0.666666666667	3
KB705016	-	KB704625	-	59.9706497192	0.77511453624	0.666666666667	3
KB704419	-	KB704307	+	-52.2760033607	0.475021158033	0.727272727273	11
KB704419	-	KB704144	+	-80.6656975746	0.332175885231	0.666666666667	9
KB704419	-	KB704676	-	-36.9450316429	0.58203250383	0.833333333333	12
KB704432	-	KB704965	-	-98.4083280563	0.220698709489	0.8	5
KB704142	+	KB704677	-	-69.1356868744	0.556589902587	0.846153846154	13
KB705327	+	KB704128	-	-97.7305755615	0.663114353915	0.4	5
KB705214	+	KB704726	+	-73.6285943985	0.457509044251	0.727272727273	11
KB705302	+	KB704588	+	-72.3584890366	0.174358586474	0.75	4
KB705228	-	KB704451	+	57.5504699498	0.867682899472	0.721649484536	291
KB704638	+	KB704355	+	45.3766803741	0.977012615608	0.5	4
KB704790	+	KB705214	+	-28.0273704529	0.39983337995	0.75	8
KB704807	-	KB704268	-	-74.339050591	0.332951736978	0.8	5
KB705175	+	KB705152	-	-56.4187660217	0.573410951609	0.5	4
KB705073	+	KB704911	-	-100.272691727	0.0850541722513	0.666666666667	3
KB705266	-	KB704966	-	2.34529876709	0.392396352091	0.75	8
KB705266	-	KB704914	-	3.29891967773	0.363182030687	0.818181818182	11
KB705196	-	KB704582	+	-47.9601812363	0.811712884839	0.75	4
KB704627	+	KB704192	-	-81.7492523193	0.438132253585	0.625	8
KB705076	-	KB704824	-	-93.206489563	0.222522344006	0.75	8
KB704472	+	KB704484	-	-7.09825515747	0.327482863272	0.511111111111	45
KB704965	+	KB704775	-	-13.0736732483	0.769501543756	0.666666666667	3
KB704787	+	KB704293	+	-60.0299010277	0.227934341039	0.666666666667	3
KB704473	-	KB704482	+	-8.40975379944	0.535654953872	0.666666666667	3
KB704473	-	KB704896	+	-88.0019162893	0.924533639376	0.333333333333	3
KB704473	-	KB704763	+	3.80269527435	0.65921965173	0.666666666667	3
KB704135	+	KB704705	+	-80.2589683533	0.55222783102	0.714285714286	7
KB704588	-	KB704686	-	22.666182518	0.745408760044	0.333333333333	3
KB704934	-	KB705154	-	-15.5638599396	0.223453803903	0.333333333333	3
KB704662	+	KB704484	+	-85.1822116077	0.607217063147	0.8125	32
KB704512	+	KB705160	-	-74.0984973907	0.515789381113	0.8	5
KB704947	-	KB704872	-	-92.3644065857	0.449004453928	0.842105263158	19
KB704133	+	KB704625	-	-10.955329895	0.410897604859	0.75	8
KB704911	+	KB704242	+	-58.6118240356	0.344888693647	0.333333333333	3
KB705039	+	KB704872	-	-90.7004976273	0.454330366311	0.833333333333	18
KB704583	+	KB705004	-	-37.9996061325	0.606239016136	0.666666666667	3
KB704571	-	KB704269	+	-84.7394189835	0.438690796368	0.5	4
KB704475	+	KB704816	-	-94.4816198349	0.187651473409	0.5	4
KB704954	-	KB705321	-	-52.6801757812	0.680537713638	0.666666666667	3
KB704794	+	KB705247	+	14.7425842285	0.322776620551	0.777777777778	9
KB704452	+	KB704629	+	-12.6218735799	0.390036604856	0.6	5
KB704503	-	KB704437	-	-85.6360502243	0.666326812925	0.666666666667	3
KB704503	-	KB704877	-	-20.2001600266	0.404492572179	0.833333333333	24
KB704981	-	KB704776	-	-23.4511203766	0.393187714074	0.75	4
KB704282	+	KB704552	-	-5.75542902946	0.315411661878	0.666666666667	3
KB705190	+	KB704257	+	-95.7880249023	0.54291682298	0.5	4
KB705263	+	KB704441	-	-36.5763173103	0.603303903446	0.882352941176	17
KB705226	+	KB704433	+	-82.1492271423	0.684668332302	0.75	4
KB704197	+	KB704816	-	-30.5656509399	0.309718531469	0.5	4
