scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB671952	-	KB670601	+	-13.4407453537	0.359128218023	0.666666666667	3
KB671952	-	KB669923	-	-87.4958212376	0.116109118667	0.666666666667	3
KB670404	+	KB670930	-	70.9621067047	0.556349407874	0.411764705882	34
KB670878	+	KB670153	+	-72.5957698822	0.265704521807	0.75	4
KB669969	-	KB670601	+	-20.9467430115	0.345450284091	0.666666666667	3
KB669969	-	KB669923	-	-92.1642904282	0.115294387999	0.666666666667	3
KB670595	-	KB670636	+	-163.374269247	0.155967886638	0.75	4
KB672017	-	KB671060	-	-159.551659107	0.494768593775	0.333333333333	3
KB671099	+	KB671476	-	-97.5057739615	0.28578721389	0.666666666667	3
KB670111	-	KB670478	+	-66.3776597977	0.442423853715	0.5	6
KB672216	-	KB670438	+	-117.548029423	0.299886386718	0.666666666667	3
KB672216	-	KB670610	+	39.8053779602	0.551160052346	0.666666666667	3
KB671387	-	KB670935	-	56.1439208984	0.383427865628	0.666666666667	3
KB671609	+	KB670518	-	-171.045856833	0.163395419684	0.666666666667	6
KB671940	+	KB670044	-	18.3400473595	0.423090947626	0.666666666667	12
KB670662	+	KB671341	+	-202.297031403	0.0686879517951	0.8	5
KB670662	+	KB671471	+	-26.1049537659	0.206159978574	0.75	8
KB670662	+	KB671296	-	-144.86151123	0.115228356571	0.75	4
KB671670	+	KB672032	-	-63.389138937	0.768620283804	0.666666666667	3
KB671138	+	KB670610	+	-62.9231872559	0.0813370250489	0.666666666667	3
KB671086	-	KB670431	+	-94.4463653564	0.3217476414	0.666666666667	3
KB670261	-	KB671262	-	70.970790863	0.464703575766	0.6	5
KB671502	-	KB672032	-	-90.2005912066	0.727227999594	0.666666666667	3
KB671950	+	KB670601	+	70.9502849579	0.576905408379	0.666666666667	3
KB670700	+	KB671451	-	-192.103485107	0.218145053495	0.785714285714	14
KB671921	-	KB669923	-	-134.150294781	0.111060367469	0.666666666667	3
KB672115	-	KB670461	-	-119.375041962	0.239044334399	0.666666666667	6
KB669750	+	KB670478	+	-99.9284257889	0.239292716155	0.75	4
KB670218	+	KB671298	-	-173.937534332	0.313520992754	0.866666666667	30
KB670401	-	KB671072	+	-82.1473464966	0.345290769213	0.714285714286	7
KB670221	-	KB670548	-	-114.997428894	0.362183374005	0.75	4
KB669790	+	KB671341	+	-36.5469169617	0.750222679688	0.666666666667	9
KB669790	+	KB671296	-	-85.2462005615	0.244160861169	0.75	4
KB669951	+	KB671852	-	-131.667360306	0.529002540493	0.666666666667	3
KB669951	+	KB671371	-	-105.409702301	0.539675923972	0.666666666667	3
KB669951	+	KB670283	-	-145.544944763	0.525537145165	0.666666666667	3
KB669951	+	KB670118	+	-121.915870667	0.532190255892	0.666666666667	3
KB669881	-	KB671014	-	-62.5515061021	0.215417555648	0.666666666667	3
KB671870	-	KB670821	-	-72.594517231	0.671015137222	0.5	4
KB671328	-	KB670154	-	-143.69228363	0.582044885745	0.809090909091	110
KB671155	+	KB670298	-	-26.3221359253	0.297262544155	0.75	4
KB671155	+	KB671138	+	-186.780185699	0.231216324041	0.75	4
KB671155	+	KB670593	+	-49.3971786499	0.330860321119	0.666666666667	3
KB671155	+	KB669820	+	16.4807243347	0.462148970399	0.666666666667	3
KB671155	+	KB670478	+	-105.760257721	0.294015093855	0.666666666667	3
KB670346	+	KB671021	-	-110.881885529	0.366041661087	0.75	8
KB669677	+	KB670154	-	-68.4674100876	0.26939046903	0.8	5
KB670600	+	KB670821	+	-201.834407806	0.0879005707123	0.333333333333	3
KB672081	+	KB670431	-	-49.4138684273	0.344304436866	0.666666666667	3
KB671236	-	KB672032	-	-58.1384255886	0.780236047964	0.666666666667	3
KB670484	+	KB670663	-	-94.5411720276	0.151513244455	0.75	4
KB670110	-	KB669923	-	-44.6069993973	0.110262178534	0.666666666667	3
KB669629	+	KB670121	+	-201.913722992	0.0662378236034	0.8	5
KB671800	-	KB672027	+	-108.37459445	0.288138677062	0.666666666667	3
KB671871	-	KB670658	+	-0.142644643784	0.578700858946	0.666666666667	3
KB670770	-	KB671828	+	-96.3585158587	0.114641368861	0.666666666667	3
KB671613	+	KB671700	-	-110.215555668	0.806070954003	0.666666666667	3
KB670211	+	KB670757	-	-147.256998062	0.267270000915	0.666666666667	3
KB671394	-	KB671309	+	-200.131729126	0.175846831211	0.333333333333	3
KB669967	-	KB670298	-	-134.141811371	0.830612680656	0.333333333333	3
KB669967	-	KB670593	+	-150.054496765	0.836447808819	0.333333333333	3
KB669967	-	KB669820	+	-112.415723801	0.818508731729	0.333333333333	3
KB669967	-	KB671338	-	-96.7489719391	0.805072928919	0.333333333333	3
KB669967	-	KB670819	-	-86.9388961792	0.967871893462	0.4	5
KB669967	-	KB670478	+	-106.949390411	0.462172487451	0.5	4
KB670154	+	KB670451	+	-192.366317749	0.290780479671	0.714285714286	14
KB671889	-	KB671269	+	-13.5699896812	0.244612295927	0.75	4
KB671751	-	KB670386	-	63.6414310932	0.622743108011	0.5	4
KB671751	-	KB671628	-	-56.9915064573	0.232890935514	0.666666666667	6
KB670364	-	KB670478	+	-60.7731761932	0.428505164121	0.5	4
KB670121	-	KB669948	+	-130.939206421	0.0944620663962	0.666666666667	3
