scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI421593	+	KI421715	+	-13280	0.482600162308	0.5	4
KI421781	-	AXCN01001869	-	-23850	0.224863710248	0.333333333333	3
KI421781	-	AXCN01002251	+	-23825	0.171918043865	0.666666666667	3
KI421629	-	KI421554	-	-13606	0.370270945191	0.777777777778	9
KI421766	-	KI421739	+	-9124	0.211027935715	0.769230769231	13
KI421766	-	AXCN01002273	-	-16013	0.000162414506463	0.666666666667	3
KI421802	-	KI421543	+	-14240	0.655799908012	0.5	4
KI421714	+	AXCN01001832	-	-2598	0.949251116528	0.555555555556	9
KI421735	+	KI421751	+	-18687	0.439367406493	0.6	5
KI421560	+	KI421572	+	-2252	0.821460175241	0.8	15
KI421560	+	AXCN01002273	-	-2272	0.489832806895	0.4	40
KI421565	+	KI421541	+	-14343	0.304407941332	0.714285714286	7
KI421576	-	KI421621	-	-7616	0.724436796196	0.4	5
KI421556	+	AXCN01002273	-	-22740	0.000617429871547	0.461538461538	13
KI421565	-	AXCN01002383	-	-18223	0.337532675356	0.777777777778	9
KI421794	+	KI421687	-	-14262	0.252188875089	0.75	8
KI421745	-	KI421803	+	-14204	0.398166267564	0.714285714286	7
KI421670	-	KI421586	-	-13945	0.300371283014	0.8	10
KI421667	+	KI421611	+	-17377	0.415973438538	0.333333333333	3
KI421644	-	KI421704	+	-13627	0.227746332719	0.727272727273	11
KI421588	+	KI421767	-	-26233	0.206692656598	0.333333333333	3
KI421588	+	KI421758	-	-27467	0.492882210449	0.333333333333	3
KI421588	+	KI421570	+	-11932	0.381515120059	0.933333333333	30
KI421756	+	KI421683	+	-11665	0.47523711781	0.7	10
KI421637	-	KI421692	-	-11857	0.279416785681	0.777777777778	9
KI421751	+	KI421752	-	-10106	0.310202165699	0.833333333333	12
AXCN01002129	+	KI421782	+	-17285	0.504529418404	0.75	8
KI421805	-	KI421555	+	-14048	0.286334505286	0.818181818182	22
KI421626	-	KI421780	+	-21723	0.503871933251	0.333333333333	3
KI421675	+	KI421657	+	-32247	0.00104635389106	0.5	44
KI421675	+	KI421715	-	-32733	0.00123067620795	0.5	52
KI421643	-	KI421587	-	-17635	0.474954340266	0.727272727273	11
KI421682	-	KI421720	+	-1907	0.975273939985	0.6	5
KI421688	-	KI421678	+	-9710	0.412422445922	0.833333333333	12
KI421697	-	KI421690	-	-13498	0.521469703366	0.727272727273	11
KI421697	-	AXCN01002273	-	-24785	0.000382130454667	0.428571428571	7
KI421662	-	KI421748	+	-2059	0.601436543274	0.75	12
AXCN01001997	+	KI421663	+	-8965	0.303184356601	0.785714285714	14
KI421704	+	KI421581	+	-9625	0.236603710252	0.714285714286	7
AXCN01002413	-	KI421688	-	-14812	0.305971117732	0.833333333333	12
KI421592	-	KI421646	-	-14876	0.259968152064	0.8	5
KI421796	-	KI421693	+	-30500	0.145582893808	0.666666666667	3
AXCN01002359	-	KI421589	-	-15579	0.348484941805	0.85	20
KI421746	-	KI421773	+	-6975	0.0469104108866	0.666666666667	3
