scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_005082560.1	+	NW_005084173.1	+	-155.967412949	0.231750679435	0.714285714286	7
NW_005084219.1	+	NW_005085697.1	+	-24.4600372314	0.241882872697	0.833333333333	6
NW_005085676.1	-	NW_005086332.1	+	-244.626434326	0.927716145171	0.428571428571	7
NW_005085676.1	-	NW_005087120.1	+	-301.608444214	0.463175939756	0.5	6
NW_005085240.1	-	NW_005085940.1	+	-83.2791137695	0.96581097181	0.555555555556	9
NW_005085240.1	-	NW_005084818.1	+	-78.9555969238	0.489688320349	0.333333333333	9
NW_005085372.1	-	NW_005087120.1	+	-241.953613281	0.528574500247	0.375	8
NW_005083648.1	-	NW_005084629.1	-	-91.6128158569	0.187095048618	0.890410958904	73
NW_005083992.1	+	NW_005087028.1	-	36.7469787598	0.210629896557	0.6	5
NW_005085743.1	-	NW_005085138.1	+	-206.708435059	0.181398959667	0.666666666667	9
NW_005083269.1	-	NW_005086913.1	-	-353.849859238	0.178881982729	0.727272727273	11
NW_005083269.1	-	NW_005086633.1	+	-407.633434296	0.270543084697	0.625	16
NW_005083269.1	-	NW_005086586.1	-	-374.489925385	0.198827277111	0.727272727273	22
NW_005085267.1	+	NW_005085741.1	-	-338.816390991	0.166718017488	0.636363636364	11
NW_005085138.1	-	NW_005082707.1	-	-82.1886482239	0.172654750908	0.75	8
NW_005086176.1	-	NW_005085778.1	-	-420.069671631	0.213531754251	0.666666666667	6
NW_005086176.1	-	NW_005084201.1	+	-381.949546814	0.350891027461	0.636363636364	11
NW_005086176.1	-	NW_005084516.1	+	-406.247177124	0.306973508826	0.666666666667	9
NW_005086176.1	-	NW_005085183.1	-	-379.736633301	0.466006625851	0.5	8
NW_005084028.1	-	NW_005084750.1	+	-37.138381958	0.242192567118	0.846153846154	26
NW_005085373.1	-	NW_005086412.1	+	-252.322113037	0.296547545216	0.666666666667	6
NW_005085373.1	-	NW_005086368.1	-	-306.598587036	0.195976200423	0.5	8
NW_005087479.1	-	NW_005087528.1	+	-403.379356384	0.17881439708	0.875	8
NW_005083344.1	+	NW_005086377.1	+	-166.552597046	0.462220931825	0.444444444444	9
NW_005087124.1	-	NW_005085748.1	-	40.8043670654	0.939585186974	0.428571428571	7
NW_005084925.1	+	NW_005086345.1	-	164.958480835	0.418459208965	0.727272727273	11
NW_005087350.1	-	NW_005082702.1	+	164.972467422	0.538647085449	0.75	8
NW_005086731.1	-	NW_005082444.1	+	-405.925432205	0.155311946143	0.818181818182	11
NW_005086731.1	-	NW_005086285.1	+	-173.70300293	0.160668774202	0.666666666667	6
NW_005086731.1	-	NW_005085252.1	-	-275.89932251	0.16547944084	0.785714285714	14
NW_005086731.1	-	NW_005087173.1	+	164.969177246	0.264349907252	0.666666666667	9
NW_005086731.1	-	NW_005082286.1	-	-378.032996178	0.158794811704	0.571428571429	7
NW_005087185.1	+	NW_005083810.1	-	-370.682807922	0.206255267359	0.4	5
NW_005082457.1	-	NW_005085683.1	-	-217.094804764	0.691928894691	0.4	5
NW_005081761.1	-	NW_005085599.1	+	-188.592456132	0.242899601062	0.8	15
NW_005081761.1	-	NW_005084784.1	-	-242.132047504	0.444699805169	0.384615384615	13
NW_005085001.1	+	NW_005086333.1	-	28.4580535889	0.302785687762	0.833333333333	6
NW_005085001.1	+	NW_005086439.1	+	-336.468139648	0.211694071535	0.666666666667	9
NW_005085125.1	-	NW_005085632.1	-	-426.519378662	0.183200581581	0.869565217391	23
NW_005086799.1	-	NW_005085179.1	+	-227.017364502	0.219807124433	0.5	8
NW_005083713.1	-	NW_005087232.1	+	-118.934898376	0.469221745327	0.454545454545	11
NW_005086677.1	-	NW_005085196.1	-	-57.6183319092	0.295060479699	0.571428571429	7
NW_005084037.1	-	NW_005085448.1	-	-206.274375916	0.580259653863	0.428571428571	7
NW_005087033.1	-	NW_005085372.1	-	-261.577926636	0.473758591921	0.6	5
NW_005087033.1	-	NW_005081726.1	-	-183.017324179	0.632181898685	0.4	5
NW_005087033.1	-	NW_005085175.1	+	-175.439033508	0.790291672505	0.4	5
NW_005087033.1	-	NW_005086332.1	+	-225.679244995	0.700626792486	0.461538461538	13
NW_005087033.1	-	NW_005087120.1	+	-259.88394165	0.484038712527	0.666666666667	6
NW_005086433.1	-	NW_005086680.1	-	-220.062034607	0.0869986074655	0.666666666667	6
NW_005084074.1	+	NW_005081989.1	+	-235.563516378	0.22665016475	0.813953488372	43
