#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_sinensis	AXCK01000973	ASIS001542	-	4638	10837	6	4638-4724:4795-5033:5425-5659:6457-6623:8936-9028:10744-10837
Anopheles_sinensis	AXCK01000973	ASIS008184	-	29839	31314	2	29839-29875:30854-31314
Anopheles_sinensis	AXCK01000973	ASIS000417	+	129918	131278	4	129918-129952:130003-130096:130112-130503:130777-131278
Anopheles_sinensis	AXCK01000973	ASIS009572	-	129991	140208	4	129991-131263:134915-135408:138693-138947:140185-140208
Anopheles_sinensis	AXCK01000973	ASIS020746	-	203243	206568	3	203243-203302:203808-203912:206122-206568
Anopheles_sinensis	AXCK01000973	ASIS005573	+	208109	213845	7	208109-208423:208634-208696:210792-211489:211577-211845:211933-212144:212226-213120:213196-213845
Anopheles_sinensis	AXCK01000973	ASIS014706	-	214560	215105	1	214560-215105
Anopheles_sinensis	AXCK01000973	ASIS008538	+	216571	218053	2	216571-217244:217318-218053
Anopheles_sinensis	AXCK01000973	ASIS006333	-	223683	226771	4	223683-224850:224930-225313:226404-226544:226665-226771
Anopheles_sinensis	AXCK01000973	ASIS010459	-	231517	234015	4	231517-231614:231681-231873:231952-232170:233917-234015
Anopheles_sinensis	AXCK01000973	ASIS004965	+	243854	245709	4	243854-243943:244020-244160:244239-244442:245548-245709
Anopheles_sinensis	AXCK01001532	ASIS016884	-	76345	79789	2	76345-76517:79651-79789
Anopheles_sinensis	AXCK01001532	ASIS016890	-	118615	122119	3	118615-118722:119082-119254:121639-122119
Anopheles_sinensis	AXCK01001532	ASIS004093	+	163300	163790	2	163300-163549:163666-163790
Anopheles_sinensis	AXCK01001710	ASIS023095	-	4381	5664	1	4381-5664
Anopheles_sinensis	AXCK01001710	ASIS017804	+	43233	47726	4	43233-43627:44226-44362:44421-44790:47375-47726
Anopheles_sinensis	AXCK01001710	ASIS001702	-	49008	51368	5	49008-49221:49293-49362:49821-50868:50927-51111:51182-51368
Anopheles_sinensis	AXCK01001710	ASIS011134	+	52506	53507	3	52506-52519:52603-52763:53035-53507
Anopheles_sinensis	AXCK01001710	ASIS004990	-	55338	56437	4	55338-55536:55621-55716:55838-56164:56226-56437
Anopheles_sinensis	AXCK01001710	ASIS014098	+	57258	57956	2	57258-57305:57366-57956
Anopheles_sinensis	AXCK01001710	ASIS010754	-	58661	60333	2	58661-60202:60289-60333
Anopheles_sinensis	AXCK01001710	ASIS020118	+	60794	62036	2	60794-61583:61660-62036
Anopheles_sinensis	AXCK01001710	ASIS016513	-	62289	63458	1	62289-63458
Anopheles_sinensis	AXCK01001710	ASIS004983	+	75275	82355	10	75275-75384:78758-79054:79121-79340:79415-79797:80814-81048:81121-81485:81571-81659:81735-81911:81980-82066:82144-82355
Anopheles_sinensis	AXCK01001710	ASIS003855	-	83421	86287	3	83421-85027:85091-85989:86055-86287
