scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCL01008509	-	AXCL01004409	+	7.20554638582	0.309411525021	0.333333333333	3
AXCL01008509	-	KI434930	+	777.318781823	0.309280168319	0.333333333333	3
AXCL01008509	-	KI433969	+	910.084370175	0.0276084612285	0.333333333333	3
AXCL01008509	-	KI435421	+	1105.70742981	0.737293487952	0.333333333333	3
AXCL01008509	-	AXCL01006659	+	680.263614971	0.491619943069	0.333333333333	3
AXCL01008509	-	AXCL01001338	+	991.595927782	0.0435915108238	0.666666666667	3
AXCL01005405	-	AXCL01006032	-	-326.758504606	0.499088730418	0.666666666667	3
AXCL01007724	+	AXCL01004956	-	-375.394418061	0.462270857176	0.5	4
AXCL01004490	+	AXCL01002373	+	-202.248706831	0.682069401518	0.666666666667	6
KI433853	-	AXCL01008784	+	-1199.4190471	0.29372088796	0.8	5
KI433853	-	AXCL01004200	-	-995.419047101	0.410670914045	0.4	5
AXCL01007120	+	AXCL01008635	+	-1307.4190471	0.117988049124	0.333333333333	3
AXCL01007120	+	AXCL01002564	+	1961	0.107457255245	0.666666666667	3
AXCL01007120	+	AXCL01005807	-	-1193.4190471	0.265134309803	0.75	4
AXCL01007120	+	KI435208	-	638	0.261881018503	0.333333333333	3
AXCL01007120	+	AXCL01005589	-	-1167.4190471	0.186387260673	0.5	6
AXCL01007120	+	KI433707	-	-1325.4190471	0.214990057464	0.5	4
AXCL01007120	+	AXCL01003543	-	1913	0.392906880368	0.6	5
AXCL01007120	+	KI435600	-	-1185.4190471	0.240390482557	0.5	6
AXCL01007120	+	AXCL01008342	-	1033	0.136007330729	0.25	4
AXCL01007120	+	KI435129	+	1852	0.134954178969	0.5	4
AXCL01007120	+	KI434177	-	-1232.4190471	0.232914189084	0.444444444444	9
AXCL01007120	+	AXCL01007850	+	1904	0.28749552256	0.333333333333	3
AXCL01007120	+	AXCL01004070	+	781	0.495973347308	0.25	4
AXCL01007120	+	AXCL01007877	-	-1324.4190471	0.448498124368	0.666666666667	3
AXCL01007120	+	AXCL01000533	-	2064	0.121198955782	0.75	4
AXCL01007120	+	KI436233	-	2119	0.534418304453	0.666666666667	3
AXCL01007120	+	KI436293	-	2122	0.0850554697912	0.666666666667	3
AXCL01007120	+	AXCL01007577	+	2066	0.276276053323	0.5	4
AXCL01007120	+	KI433877	+	-1264.4190471	0.110526694353	0.5	6
AXCL01009622	+	KI435691	+	-192	0.24378454938	0.5	4
AXCL01009622	+	AXCL01008015	-	-36	0.236514070653	0.666666666667	3
AXCL01004762	-	KI435691	-	-1111.4190471	0.0933537564859	0.4	5
AXCL01004762	-	AXCL01005086	-	952.611749032	0.0169209684058	0.333333333333	3
AXCL01004762	-	KI435449	-	-1263.4190471	0.970551929416	0.5	6
AXCL01004762	-	AXCL01008772	-	947.886638202	0.736533375565	0.4	5
AXCL01004762	-	AXCL01003939	+	623.970869613	0.833629051101	0.333333333333	3
AXCL01004762	-	AXCL01005205	-	807.458567604	0.0741514031194	0.25	4
AXCL01004762	-	KI435705	-	682	0.0164674964829	0.333333333333	3
AXCL01004762	-	AXCL01005530	-	962.664132648	0.0169209684058	0.333333333333	3
AXCL01004762	-	AXCL01006485	+	1349	0.0181410500383	0.333333333333	3
AXCL01004762	-	AXCL01001689	+	-120.329887792	0.0161602756457	0.333333333333	3
AXCL01004762	-	KI434971	-	1023.35480231	0.0289950522749	0.5	4
AXCL01004762	-	AXCL01003092	+	-1490.4190471	0.0168938621895	0.333333333333	3
AXCL01004762	-	KI435956	+	239.724992849	0.340103890336	0.5	6
AXCL01004762	-	KI434177	+	698.719091474	0.3329705232	0.25	8
AXCL01004762	-	AXCL01000210	+	925.50897025	0.0138369782	0.5	4
AXCL01004762	-	KI433459	-	1034.76552769	0.0169209684058	0.333333333333	3
AXCL01004762	-	AXCL01004083	+	-1015.4190471	0.01496017733	0.5	4
AXCL01004762	-	KI435652	-	-1113.4190471	0.881846919137	0.333333333333	3
AXCL01004762	-	KI435404	+	-1550.4190471	0.0168938621895	0.333333333333	3
AXCL01004762	-	AXCL01001783	-	968.012839733	0.0169209684058	0.333333333333	3
KI434211	+	AXCL01004929	-	-51	0	1.0	3
KI434211	+	AXCL01005984	-	1374	0.967619938829	0.666666666667	3
KI434211	+	AXCL01005086	-	-1303.4190471	0.886534897781	0.333333333333	3
KI434211	+	AXCL01007582	-	-1300.4190471	0.104390696157	0.666666666667	3
KI434211	+	AXCL01001689	+	1755	0.0526444322698	0.75	4
KI434211	+	KI433586	+	-1157.4190471	0.234773618437	0.5	4
KI434211	+	AXCL01003939	+	1505	0.909119764019	0.333333333333	3
AXCL01008619	+	KI436090	+	496.13582432	0.446419754414	0.666666666667	6
AXCL01008619	+	AXCL01002593	+	-1201.4190471	0.381828206791	0.666666666667	3
AXCL01008619	+	KI433440	-	-1224.4190471	0.331767685347	0.666666666667	3
AXCL01008619	+	KI434923	+	-1193.4190471	0.302778316425	0.666666666667	3
AXCL01008619	+	AXCL01008228	-	-866.419047101	0.304758209894	0.75	4
AXCL01004094	-	AXCL01001689	+	-347.274586977	0.216805778894	0.333333333333	3
AXCL01004094	-	KI434177	+	746.316180793	0.0277889003149	0.333333333333	3
AXCL01004094	-	KI433586	+	898.748044672	0.207330339198	0.333333333333	3
AXCL01004094	-	KI435691	-	-1163.4190471	0.171745317722	0.5	4
AXCL01004094	-	KI435039	+	924.074891672	0.297174507627	0.333333333333	3
AXCL01004094	-	AXCL01000210	+	852.000601264	0.259516757224	0.333333333333	3
AXCL01004094	-	AXCL01001783	-	73.2974239262	0.4040327679	0.666666666667	3
KI435480	-	AXCL01012792	-	-865.419047101	0.919134418866	0.666666666667	3
KI435480	-	KI433934	-	-454.43817223	0.153634908867	0.666666666667	3
KI435480	-	KI433933	+	256	0	1.0	3
KI434981	+	AXCL01007007	+	1988	0.409094228771	0.5	4
AXCL01007303	-	AXCL01006323	-	769.021684572	0.779813001705	0.5	4
KI436362	+	KI436586	-	-617.419047101	0.725531392648	0.333333333333	3
KI436362	+	KI436263	-	-968.419047101	0.660114890331	0.333333333333	3
KI436362	+	KI435433	+	-1095.4190471	0.742787845526	0.333333333333	3
KI436362	+	AXCL01007056	-	42	0.147661823914	0.333333333333	3
KI436362	+	AXCL01007935	+	-556.419047101	0.876352403689	0.25	4
