scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
1012__len__14283	+	2629__len__25613	-	5123	0.0025644773353	0.5	6
1012__len__14283	+	485__len__20245	+	-3744.6347966	0.00504175914398	0.5	10
1012__len__14283	+	46024__len__29718	+	-618.604736623	0.40965038668	0.5	12
1012__len__14283	+	3122__len__23731	+	-4936.6347966	0.00446051892147	0.333333333333	6
1012__len__14283	+	1045__len__18634	-	1676.09958094	0.00224194856864	0.6	5
1012__len__14283	+	3093__len__24404	-	-1685.87976355	0.335842725556	0.125	8
1012__len__14283	+	7665__len__14434	-	4861	0.0025627051561	0.5	6
1012__len__14283	+	3003__len__10489	-	-955.558528553	0.00312810336843	0.6	5
1012__len__14283	+	44913__len__18192	-	-3574.6347966	0.00324077145112	0.5	6
1012__len__14283	+	2694__len__67034	-	958.004893259	0.29908946885	0.142857142857	7
1012__len__14283	+	90929__len__7857	+	-1396.42918978	0.00362104144085	0.4	5
1012__len__14283	+	9629__len__12513	-	-3261.6347966	0.00438147216084	0.428571428571	7
1012__len__14283	+	123338__len__7788	+	-2791.6347966	0.00317981105994	0.5	6
1012__len__14283	+	48767__len__7122	-	323.516580457	0.00361819732269	0.4	5
2583__len__16446	+	51651__len__9553	-	-4867.6347966	0.128835840185	0.285714285714	7
68813__len__9167	+	4227__len__33608	+	-4484.6347966	0.00221190310407	0.6	5
68813__len__9167	+	3799__len__23867	-	-4463.6347966	0.00221190310407	0.6	5
38510__len__8527	+	3327__len__13903	+	-4316.6347966	0.454185905479	0.2	5
38510__len__8527	+	10711__len__15155	-	-2035.6347966	0.732046140396	0.571428571429	7
38510__len__8527	+	28248__len__13445	-	-4936.6347966	0.0797819682614	0.2	5
4806__len__46169;35195__len__8595	-;-	5009__len__61454	+	-448.226682306	0.563904080062	0.4	5
91390__len__9170	-	111210__len__11082	+	-112.530555124	0.812318667025	0.4	5
36117__len__55823	+	78026__len__27329	+	-4027.6347966	0.00221190310407	0.6	5
36117__len__55823	+	25033__len__8941	-	-2107.45341523	0.00221190310407	0.6	5
95835__len__11327	-	101024__len__16061	-	-4390.6347966	0.0585331584962	0.333333333333	6
95835__len__11327	-	18197__len__44496	-	-609.056768744	0.00221190310407	0.6	5
95835__len__11327	-	3129__len__47194	-	300.673461943	0.00405388371287	0.5	8
65660__len__30594	+	7015__len__69998	+	-424	0.543153261446	0.444444444444	18
67545__len__34355	-	5289__len__17097	-	-1699.48560881	0.441324281843	0.444444444444	9
20922__len__12763	-	94327__len__7924	-	1014.05507311	0.71115935365	0.25	8
20922__len__12763	-	44236__len__10000	-	638.045137343	0.925718018081	0.25	8
20922__len__12763	-	52269__len__11008	-	1159.37172903	0.00223136922064	0.6	5
20922__len__12763	-	44733__len__9481	-	-122.072843442	0.00302203496086	0.571428571429	7
20922__len__12763	-	35540__len__20438	+	5219	0.00279170948407	0.5	8
20922__len__12763	-	1566__len__45071	-	556.048437787	0.00567670429733	0.333333333333	6
20922__len__12763	-	1494__len__28183	+	850.337226051	0.967683541107	0.375	8
20922__len__12763	-	2013__len__38430	+	3077.97385857	0.251007381277	0.111111111111	9
20922__len__12763	-	1182__len__27921	-	1566.04656341	0.110031035151	0.2	5
20922__len__12763	-	1518__len__27404;925__len__9746	-;-	113.900332227	0.00261451067724	0.5	6
20922__len__12763	-	20121__len__21424	+	652.202255116	0.743976850019	0.422222222222	45
20922__len__12763	-	3544__len__26897	-	177.360727728	0.632279333948	0.125	8
5899__len__8488	-	1364__len__9660;73827__len__11176	-;-	296.073355666	0.00221016578239	0.6	5
44733__len__9481	+	5786__len__167107	-	-98.9182148656	0.00261715904723	0.5	6
44733__len__9481	+	86125__len__9357	-	-2090.86918625	0.0034739321392	0.5	6
44733__len__9481	+	3026__len__41958	-	-3145.6347966	0.443069539851	0.428571428571	7
44733__len__9481	+	36632__len__21474	-	-3084.6347966	0.14457589168	0.375	8
44733__len__9481	+	5685__len__16981	+	-122.370921018	0.00337183536762	0.428571428571	7
44733__len__9481	+	5456__len__19934	-	-3160.6347966	0.00221190310407	0.6	5
118200__len__8226	-	25033__len__8941	-	-4319.6347966	0.338265028658	0.428571428571	21
118200__len__8226	-	147483__len__6457	-	-4060.6347966	0.659040789214	0.4	5
118200__len__8226	-	116058__len__9695	+	-4389.6347966	0.209579540769	0.5	6
118200__len__8226	-	25033__len__8941	+	-3903.6347966	0.449506766997	0.2	5
118200__len__8226	-	35540__len__20438	+	-1749.42518775	0.0404169796362	0.125	8
118200__len__8226	-	94840__len__16873	+	-2108.6347966	0.251882547972	0.4	5
118200__len__8226	-	116058__len__9695	-	-4333.6347966	0.136706426074	0.666666666667	33
118200__len__8226	-	53847__len__16461	+	-5008.6347966	0.0352966966312	0.636363636364	11
118200__len__8226	-	40895__len__14840	-	-3593.6347966	0.233939275281	0.285714285714	35
62144__len__42317	-	148796__len__9126	+	1169.46026227	0.699900877339	0.5	6
6914__len__13818	+	81642__len__7856;5069__len__35759	-;-	-1311	0.866265070728	0.693181818182	88
2741__len__27279	+	40680__len__9656	+	-2025.6347966	0.614529049823	0.5	6
249__len__49479	+	3972__len__28484	+	93.4683222305	0.707129274195	0.428571428571	7
4126__len__35041	+	41855__len__14149	-	-3090.6347966	0.00261715904723	0.5	6
44913__len__18192	+	45240__len__29153	+	-3481.6347966	0.746438871792	0.433333333333	30
44913__len__18192	+	44248__len__20270	-	-3569.6347966	0.00290088372558	0.4	5
44913__len__18192	+	3408__len__16076	+	-4888.6347966	0.0301968949411	0.486486486486	37
24572__len__28541	-	116058__len__9695	-	-2639.6347966	0.638642153995	0.5	8
24572__len__28541	-	3896__len__16712	+	-101	0.54960856935	0.285714285714	7
24572__len__28541	-	7148__len__31482	-	-410	0.593905188541	0.5	6
24572__len__28541	-	4001__len__17119	-	-134	0.593714649109	0.333333333333	9
24572__len__28541	-	33103__len__16569	-	-875	0.434750102628	0.333333333333	6
79634__len__15504	+	5014__len__91025	+	1064.20834785	0.945840748821	0.4	5
20247__len__17005	-	6099__len__20637	+	-1458.89127717	0.00193070731515	0.428571428571	7
3724__len__34085	+	15210__len__21666	+	447	0.546800171292	0.5	8
3319__len__30298	+	91249__len__12147	+	1133.15517559	0.612199762279	0.4	5
6333__len__10982	+	4761__len__13062	+	-151	0.862688407719	0.67816091954	87
2361__len__50821	-	116058__len__9695	-	-2482.6347966	0.737669864124	0.260869565217	23
2361__len__50821	-	25033__len__8941	-	-2317.6347966	0.498891913427	0.555555555556	9
2361__len__50821	-	53847__len__16461	+	-3040.6347966	0.126761678293	0.25	8
2361__len__50821	-	40895__len__14840	-	-922.130148381	0.414726380162	0.266666666667	15
113717__len__58599	-	71518__len__26833	+	-4264.6347966	0.0425284031154	0.4	5
113717__len__58599	-	58940__len__9119	+	-4551.6347966	0.00221190310407	0.6	5
46408__len__44415	-	6762__len__33035	-	-1907.25769768	0.90606230587	0.4	10
91390__len__9170	+	31500__len__48472	+	-4412.6347966	0.00448240222108	0.5	10
3143__len__62007	+	4296__len__30209;19860__len__42079	-;-	119	0.921877829072	0.733333333333	30
78628__len__10798	+	5786__len__167107	-	-2579.6347966	0.00261715904723	0.5	6
78628__len__10798	+	604__len__17125	+	74.1482817213	0.684363197063	0.2	5
78628__len__10798	+	74626__len__11125	-	-1570.6347966	0.534567518788	0.142857142857	7
78628__len__10798	+	63374__len__8012	+	-1102.35783484	0.00221190310407	0.6	5
