#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
ACOLU	scf_1925488381	ACOM035361	-	1168	4088	2	1168-1367:3932-4088
ACOLU	scf_1925488381	ACOM035360	+	1181	4079	2	1181-1402:3909-4079
ACOLU	scf_1925488382	ACOM026032	+	389	2667	3	389-648:669-863:2250-2667
ACOLU	scf_1925488389	ACOM035881	+	20	616	2	20-237:325-616
ACOLU	scf_1925488390	ACOM022746	+	410	5059	4	410-2308:2379-2677:2752-2884:4475-5059
ACOLU	scf_1925488390	ACOM022747	-	5462	6589	1	5462-6589
ACOLU	scf_1925488392	ACOM027761	-	8720	9914	5	8720-8935:8992-9204:9331-9489:9563-9718:9798-9914
ACOLU	scf_1925488408	ACOM036081	+	17	1718	5	17-733:840-949:1010-1181:1268-1404:1490-1718
ACOLU	scf_1925488409	ACOM024340	-	968	7022	6	968-1037:1120-1217:1274-2160:6169-6645:6783-6871:6964-7022
ACOLU	scf_1925488416	ACOM029525	+	4141	20298	13	4141-4401:4736-4751:6813-6866:6937-7369:8043-8445:8482-9186:11887-12536:12887-13080:17227-17419:17557-17813:17942-18315:19686-19823:19903-20298
ACOLU	scf_1925488416	ACOM029526	-	4350	7354	2	4350-4461:6957-7354
ACOLU	scf_1925488417	ACOM022753	+	746	3399	5	746-904:992-1113:2296-2853:2934-3132:3229-3399
ACOLU	scf_1925488417	ACOM022755	-	10272	16119	5	10272-10420:10505-10694:10703-11590:15549-15638:15790-16119
ACOLU	scf_1925488417	ACOM022754	+	26793	28380	2	26793-27608:27694-28380
ACOLU	scf_1925488417	ACOM022759	-	43764	47156	3	43764-43978:44785-44978:47140-47156
ACOLU	scf_1925488417	ACOM022756	+	79444	82809	1	79444-82809
ACOLU	scf_1925488417	ACOM022752	+	88631	89079	2	88631-88881:88956-89079
ACOLU	scf_1925488423	ACOM036076	-	1154	1564	1	1154-1564
ACOLU	scf_1925488423	ACOM036075	+	1241	1585	1	1241-1585
ACOLU	scf_1925488427	ACOM037775	+	76767	96826	8	76767-77066:77436-77658:80419-80595:81890-82009:88942-89202:89263-89389:96028-96463:96533-96826
ACOLU	scf_1925488427	ACOM037776	-	108581	110634	5	108581-108722:108795-109135:109206-109407:109493-109996:110582-110634
ACOLU	scf_1925488428	ACOM031144	+	3887	11869	7	3887-4096:4617-4653:4799-5096:5251-5354:11005-11149:11436-11736:11825-11869
ACOLU	scf_1925488434	ACOM024115	-	10037	10816	1	10037-10816
ACOLU	scf_1925488444	ACOM029263	-	898	8118	2	898-1286:4413-8118
ACOLU	scf_1925488444	ACOM029262	+	10155	12901	2	10155-11412:11586-12901
ACOLU	scf_1925488447	ACOM040047	+	1454	5963	3	1454-1654:2120-2350:5793-5963
ACOLU	scf_1925488453	ACOM033596	+	2094	10538	8	2094-2901:3018-3281:3373-4664:5408-5552:5616-5771:6031-7626:8724-10241:10351-10538
ACOLU	scf_1925488453	ACOM033599	-	24117	27631	5	24117-24311:24421-24551:25946-26173:26255-26386:27613-27631
ACOLU	scf_1925488453	ACOM033600	-	28483	37749	3	28483-28492:31156-31527:37685-37749
ACOLU	scf_1925488453	ACOM033597	+	43318	44243	2	43318-43408:43519-44243
ACOLU	scf_1925488453	ACOM033598	-	47166	48775	2	47166-47277:47739-48775
ACOLU	scf_1925488454	ACOM040063	+	94	914	2	94-171:384-914
ACOLU	scf_1925488455	ACOM029053	+	12864	14698	7	12864-12995:13075-13287:13383-13556:13592-13843:13912-14054:14130-14550:14636-14698
ACOLU	scf_1925488455	ACOM029059	-	15316	17788	7	15316-15477:15799-16014:16093-16226:16297-16506:16964-17148:17233-17439:17610-17788
ACOLU	scf_1925488455	ACOM029058	-	18578	21303	6	18578-18655:18745-18897:18987-19352:20053-20128:20210-20485:21209-21303
ACOLU	scf_1925488455	ACOM029061	+	23418	24925	3	23418-23567:23651-24629:24699-24925
ACOLU	scf_1925488455	ACOM029057	-	28048	29186	3	28048-28816:28885-29092:29183-29186
ACOLU	scf_1925488455	ACOM029063	+	30652	35254	3	30652-30942:31594-31659:35165-35254
ACOLU	scf_1925488455	ACOM029054	-	33494	42513	3	33494-34082:35111-35728:42194-42513
ACOLU	scf_1925488455	ACOM029055	-	52575	53405	3	52575-52835:52935-53084:53172-53405
ACOLU	scf_1925488457	ACOM029025	-	53349	60496	5	53349-53453:53532-54323:56502-56899:56994-57167:60376-60496
ACOLU	scf_1925488460	ACOM027751	+	578	1036	2	578-829:923-1036
ACOLU	scf_1925488460	ACOM027752	-	1383	6102	6	1383-1820:2050-2327:2415-3024:3102-3747:4660-5438:5734-6102
ACOLU	scf_1925488460	ACOM027753	-	11589	13922	3	11589-12113:12379-12874:13018-13922
ACOLU	scf_1925488462	ACOM029222	+	4554	5387	1	4554-5387
ACOLU	scf_1925488464	ACOM033581	-	10852	15890	8	10852-11008:11097-11266:14173-14416:14508-14896:14966-15251:15342-15487:15588-15698:15789-15890
ACOLU	scf_1925488464	ACOM033579	-	20144	23608	4	20144-22222:22243-23212:23296-23404:23488-23608
ACOLU	scf_1925488464	ACOM033578	-	27332	28477	2	27332-28319:28434-28477
ACOLU	scf_1925488464	ACOM033580	-	31949	35589	7	31949-32096:32218-32416:32494-32760:33027-33420:34613-34704:35224-35299:35548-35589
ACOLU	scf_1925488478	ACOM027006	+	575	1365	2	575-951:1017-1365
ACOLU	scf_1925488480	ACOM027755	+	3	485	1	3-485
ACOLU	scf_1925488486	ACOM028846	-	4559	5793	5	4559-4681:4740-5175:5288-5400:5432-5577:5655-5793
ACOLU	scf_1925488492	ACOM029806	-	1	1386	1	1-1386
ACOLU	scf_1925488492	ACOM029805	-	2800	7842	5	2800-3172:6707-6955:7023-7352:7453-7747:7818-7842
ACOLU	scf_1925488500	ACOM035979	+	6658	13993	3	6658-7359:7571-7897:13868-13993
ACOLU	scf_1925488500	ACOM035978	-	13777	18301	4	13777-13989:14710-15414:17632-17905:17982-18301
ACOLU	scf_1925488506	ACOM022360	+	502	1386	1	502-1386
ACOLU	scf_1925488509	ACOM038718	-	2075	4474	3	2075-2266:4136-4259:4413-4474
ACOLU	scf_1925488509	ACOM038717	+	2094	6944	2	2094-2317:4220-6944
ACOLU	scf_1925488516	ACOM038251	+	3	5248	4	3-1811:2591-2835:2930-3783:4572-5248
ACOLU	scf_1925488516	ACOM038252	-	12	2622	2	12-1792:2529-2622
ACOLU	scf_1925488516	ACOM038253	-	4729	6504	3	4729-5073:5084-5274:6495-6504
ACOLU	scf_1925488521	ACOM041816	+	1526	3391	2	1526-3107:3204-3391
ACOLU	scf_1925488521	ACOM041820	-	4184	5191	2	4184-4897:5141-5191
ACOLU	scf_1925488521	ACOM041817	+	6071	8110	3	6071-6373:7046-7351:7424-8110
ACOLU	scf_1925488521	ACOM041821	-	8303	10200	3	8303-9603:9781-9991:10060-10200
ACOLU	scf_1925488521	ACOM041819	-	14137	15090	2	14137-14526:14599-15090
ACOLU	scf_1925488521	ACOM041818	+	21091	22086	3	21091-21183:21454-21618:21688-22086
ACOLU	scf_1925488523	ACOM024153	+	5314	8827	5	5314-5565:5638-5805:7168-7828:8480-8619:8717-8827
ACOLU	scf_1925488534	ACOM022743	+	871	4321	6	871-1068:1136-1609:2180-2233:2310-2789:2800-4138:4233-4321
ACOLU	scf_1925488534	ACOM022744	-	7787	10913	4	7787-8567:8981-9496:9595-9661:10898-10913
ACOLU	scf_1925488538	ACOM029489	+	8932	10209	2	8932-8947:9782-10209
ACOLU	scf_1925488538	ACOM029488	-	20291	21893	3	20291-20506:20573-20866:21645-21893
ACOLU	scf_1925488538	ACOM029487	-	31256	32147	3	31256-31417:31481-31855:31929-32147
ACOLU	scf_1925488539	ACOM035971	+	1115	1522	1	1115-1522
ACOLU	scf_1925488550	ACOM029023	+	4906	5305	2	4906-4980:5045-5305
ACOLU	scf_1925488551	ACOM031146	+	2292	4971	2	2292-2307:4361-4971
ACOLU	scf_1925488554	ACOM028951	+	9987	12566	6	9987-10112:10205-10337:10417-11116:11189-11329:11416-11520:11600-12566
ACOLU	scf_1925488554	ACOM028957	-	14695	21033	2	14695-14734:20795-21033
ACOLU	scf_1925488554	ACOM028955	-	23402	26142	5	23402-23905:24469-24911:24995-25296:25370-25790:25863-26142
ACOLU	scf_1925488554	ACOM028953	+	27534	29874	4	27534-27741:27827-28002:29552-29628:29784-29874
ACOLU	scf_1925488554	ACOM028954	-	29335	30484	3	29335-29715:29796-30289:30370-30484
ACOLU	scf_1925488554	ACOM028964	-	31551	34888	5	31551-31602:31831-32822:33311-33655:33737-33862:34799-34888
ACOLU	scf_1925488554	ACOM028952	+	37549	39023	5	37549-37578:38009-38290:38364-38557:38631-38913:38994-39023
ACOLU	scf_1925488554	ACOM028965	-	38174	48308	5	38174-38527:38605-38865:45128-45193:45948-46155:48280-48308
ACOLU	scf_1925488554	ACOM028967	-	78412	79073	2	78412-78702:79032-79073
ACOLU	scf_1925488554	ACOM028956	-	79186	85504	8	79186-79485:81539-81607:81679-81837:81904-82066:82136-82311:82371-82475:82548-82782:84690-85504
ACOLU	scf_1925488557	ACOM042371	+	114	444	2	114-127:222-444
ACOLU	scf_1925488566	ACOM022702	+	1865	12641	8	1865-1915:1989-2501:2582-2829:9001-10705:10805-10887:11037-11254:12320-12522:12600-12641
ACOLU	scf_1925488573	ACOM026701	-	312	1436	1	312-1436
ACOLU	scf_1925488579	ACOM032729	-	470	1883	2	470-1699:1758-1883
ACOLU	scf_1925488579	ACOM032728	+	3585	7461	3	3585-3806:3866-4657:7312-7461
ACOLU	scf_1925488583	ACOM029250	-	1263	4156	2	1263-1583:4082-4156
ACOLU	scf_1925488593	ACOM040937	-	5358	10024	7	5358-5607:7553-7652:7741-7865:8334-8429:9450-9558:9631-9822:9904-10024
ACOLU	scf_1925488604	ACOM027745	-	6661	14519	2	6661-7919:14141-14519
ACOLU	scf_1925488604	ACOM027746	+	12081	14414	3	12081-12087:12332-12415:14143-14414
ACOLU	scf_1925488606	ACOM023388	-	2	509	2	2-63:143-509
ACOLU	scf_1925488611	ACOM036065	-	16601	18514	7	16601-16680:16932-17079:17150-17347:17413-17568:17633-17827:17958-18357:18429-18514
ACOLU	scf_1925488618	ACOM024123	+	13434	17647	4	13434-13470:13978-14109:15439-15560:17483-17647
ACOLU	scf_1925488618	ACOM024122	+	38904	51170	16	38904-39002:39804-40079:40159-40766:40849-40924:43994-44131:44214-44362:44435-44723:44848-44950:45441-45485:46018-46059:48387-48470:50196-50342:50425-50707:50796-50887:50968-51050:51081-51170
ACOLU	scf_1925488623	ACOM031177	+	6120	8645	2	6120-6122:7884-8645
ACOLU	scf_1925488627	ACOM023258	+	51	888	3	51-149:233-562:679-888
ACOLU	scf_1925488645	ACOM029258	+	22	3551	2	22-2259:3228-3551
ACOLU	scf_1925488648	ACOM023414	+	1323	4178	2	1323-1680:4147-4178
ACOLU	scf_1925488648	ACOM023419	-	4635	9851	2	4635-5176:9560-9851
ACOLU	scf_1925488648	ACOM023413	+	5841	14942	3	5841-5975:9579-9890:14928-14942
ACOLU	scf_1925488648	ACOM023411	+	22082	27106	3	22082-22423:25648-25832:25894-27106
ACOLU	scf_1925488648	ACOM023418	-	26039	31410	2	26039-27160:31390-31410
ACOLU	scf_1925488648	ACOM023410	-	32220	39863	5	32220-32762:33479-33798:38872-39006:39135-39285:39813-39863
ACOLU	scf_1925488648	ACOM023412	+	32400	36024	3	32400-32716:33476-33809:36016-36024
ACOLU	scf_1925488648	ACOM023415	+	59712	60795	2	59712-60059:60760-60795
ACOLU	scf_1925488657	ACOM024158	-	6043	10505	3	6043-9570:9660-9883:10004-10505
ACOLU	scf_1925488658	ACOM022367	+	6963	7736	4	6963-7048:7145-7424:7492-7650:7728-7736
ACOLU	scf_1925488658	ACOM022369	+	37960	40101	3	37960-38328:38610-38815:38874-40101
ACOLU	scf_1925488658	ACOM022373	-	49814	51861	3	49814-50576:50791-51707:51775-51861
ACOLU	scf_1925488658	ACOM022372	-	55326	57175	3	55326-55479:55557-57076:57140-57175
ACOLU	scf_1925488658	ACOM022371	+	58668	64869	11	58668-58797:59742-59884:61250-61298:61411-61604:61675-61811:61911-62079:62174-62453:62522-62644:62718-62835:62905-63007:64642-64869
ACOLU	scf_1925488658	ACOM022368	+	75901	86585	17	75901-76112:76206-76381:76499-80815:81152-81639:82077-82505:82580-82716:82822-83137:83212-83365:83455-83602:83675-84049:84125-84248:84317-84423:84503-84854:84933-85111:85273-85502:85584-85933:86019-86585
ACOLU	scf_1925488658	ACOM022374	-	130715	132028	3	130715-130949:131031-131711:131784-132028
ACOLU	scf_1925488658	ACOM022375	-	142543	148102	6	142543-142611:142745-143161:143325-143457:143542-146378:147529-147810:147911-148102
ACOLU	scf_1925488658	ACOM022379	-	168695	180749	5	168695-169014:173988-174124:176647-176797:179126-179315:180651-180749
ACOLU	scf_1925488658	ACOM022381	-	187340	214342	8	187340-187488:187650-188036:189373-189476:191445-191571:194515-194697:207637-207795:208047-208178:214336-214342
ACOLU	scf_1925488658	ACOM022380	+	265644	272717	2	265644-265942:272705-272717
