scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_009903077.1;NW_009907222.1;NW_009908230.1;NW_009907595.1;NW_009902120.1;NW_009903782.1;NW_009907948.1;NW_009905101.1;NW_009908651.1;NW_009905143.1;NW_009907899.1;NW_009907850.1;NW_009905809.1;NW_009906827.1;NW_009909021.1	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	NW_009899824.1	-	-171.883668572	0.52911874747	0.4	5
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009903004.1	-	-626.726119921	0.455571185828	0.564705882353	85
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009899570.1	+	-437.736997679	0.429864282251	0.730769230769	52
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009908182.1;NW_009904615.1;NW_009904917.1;NW_009900712.1	-;-;-;-	-1787.3893999	0.494988417494	0.740740740741	54
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009900403.1	-	-1526.22426157	0.533826506398	0.636363636364	11
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009901247.1	-	-2015.87084062	0.239647511184	0.333333333333	9
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009900183.1	+	-1402.60462062	0.497417150761	0.333333333333	9
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009899951.1	+	-1972.82990226	0.989614390501	0.547445255474	137
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009900547.1	+	-2041.57648016	0.145406590931	0.666666666667	36
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009902422.1	-	-1291.235489	0.778125236622	0.784946236559	93
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009901784.1	-	-988.033296607	0.124067721406	0.65	20
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009902619.1	+	-587.866705254	0.336356406293	0.4	5
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009901518.1	+	-144.049041748	0.324550339945	0.333333333333	6
NW_009900160.1;NW_009909049.1;NW_009902995.1;NW_009905966.1;NW_009907839.1;NW_009900645.1;NW_009907392.1;NW_009908650.1;NW_009900201.1;NW_009907878.1;NW_009903571.1;NW_009899591.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009902303.1	+	-753.711577654	0.522754130577	0.5	22
NW_009899362.1	+	NW_009902738.1	+	-302.511222303	0.373647073479	0.4	5
NW_009899362.1	+	NW_009899687.1	-	-944.711464882	0.228599339824	0.62962962963	27
NW_009899362.1	+	NW_009899748.1	-	340.55843401	0.427413872203	0.4	5
NW_009899362.1	+	NW_009901833.1	-	-2257.72642684	0.153955587508	0.8	5
NW_009899362.1	+	NW_009902918.1	-	-1100.62159574	0.1252283828	0.333333333333	6
NW_009902003.1	+	NW_009900330.1	-	-1964.41499025	0.648726185104	0.918604651163	86
NW_009901800.1	+	NW_009899979.1	-	1264.99909782	0.568739128918	0.222222222222	18
NW_009901800.1	+	NW_009902986.1	-	-1946.98703098	0.756443231334	0.461538461538	13
NW_009901800.1	+	NW_009902637.1	+	1821.84675312	0.579555170644	0.333333333333	6
NW_009901800.1	+	NW_009899824.1	-	-932.739113808	0.232351243486	0.483870967742	31
NW_009903471.1	-	NW_009901873.1	+	1044.97155772	0.242125411661	0.666666666667	6
