contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
AXCO01027687	1403	165635.9	18846.0	100.0	No
AXCO01029296	1028	151791.3	17271.0	100.0	No
AXCO01028977	1037	128216.2	14589.0	100.0	No
AXCO01019068	4973	99569.7	11329.0	100.0	No
AXCO01027836	1371	97406.6	11083.0	100.0	No
AXCO01028479	1179	82134.2	9345.0	100.0	No
AXCO01026926	1652	73126.0	8320.0	100.0	No
AXCO01026844	1691	66608.6	7579.0	100.0	No
AXCO01028546	1146	64733.5	7365.0	100.0	No
AXCO01026609	1824	63151.7	7185.0	100.0	No
AXCO01028982	1146	60825.2	6921.0	100.0	No
AXCO01028813	1079	58840.2	6695.0	100.0	No
AXCO01029353	1025	53155.1	6048.0	100.0	No
AXCO01027106	1562	47382.4	5391.0	100.0	No
AXCO01027974	1387	47232.7	5374.0	100.0	No
AXCO01028332	1210	44504.6	5064.0	100.0	No
KI433385	10865	43037.8	4897.0	100.0	No
AXCO01028733	1109	42115.3	4792.0	100.0	No
AXCO01024258	2698	38693.7	4403.0	100.0	No
AXCO01028752	1163	38331.1	4361.0	100.0	No
AXCO01027139	1630	37837.5	4305.0	100.0	No
AXCO01019537	6359	31852.4	3624.0	100.0	No
AXCO01013303	8647	28759.8	3272.0	100.0	No
AXCO01028936	1064	26602.0	3027.0	100.0	No
AXCO01016028	6742	26139.5	2974.0	100.0	No
AXCO01023014	3222	25951.8	2953.0	100.0	No
AXCO01025121	2290	23802.3	2708.0	100.0	No
KI428268	40338	23084.5	2627.0	100.0	No
AXCO01026797	1646	22706.5	2584.0	100.0	No
AXCO01026563	1777	21266.2	2420.0	100.0	No
AXCO01028886	1069	20737.5	2360.0	100.0	No
AXCO01026557	1754	19955.6	2271.0	100.0	No
AXCO01024763	2496	19481.8	2217.0	100.0	No
KI433220	4297	18934.6	2154.0	100.0	No
AXCO01029077	1030	18629.7	2120.0	100.0	No
AXCO01019815	4547	17273.7	1965.0	100.0	No
AXCO01025905	2049	16833.0	1915.0	100.0	No
AXCO01027813	1386	16694.5	1900.0	100.0	No
KI431269	9623	16529.2	1881.0	100.0	No
AXCO01025882	2059	16358.9	1861.0	100.0	No
AXCO01020065	4390	16291.6	1854.0	100.0	No
AXCO01026301	1813	15512.5	1765.0	100.0	No
AXCO01021151	3985	14959.0	1702.0	100.0	No
AXCO01025842	2013	14628.9	1664.0	100.0	No
KI432483	7093	14208.9	1617.0	100.0	No
AXCO01022291	3522	13360.5	1520.0	100.0	No
AXCO01022784	3308	12821.9	1459.0	100.0	No
KI430685	12583	12048.6	1371.0	100.0	No
AXCO01028532	1258	12026.6	1368.0	100.0	No
AXCO01010992	10659	11716.6	1333.0	100.0	No
AXCO01021387	3885	11189.7	1273.0	100.0	No
AXCO01028437	1177	11154.4	1269.0	100.0	No
KI433248	5204	10161.5	1156.0	100.0	No
