scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI422029	+	KI421948	+	-17823.0655538	0.0191665643696	0.346153846154	78
KI422029	+	KI421970;KI422186	+;+	-61298.3460488	0	1.0	5
KI422029	+	KI422001;KI422020	+;+	-48443.1642634	0	1.0	62
KI422029	+	KI422185;AXCP01009582;KI422092;KI421986	+;+;+;+	-52538.3628609	0	1.0	96
KI422029	+	KI421909	-	-49988.7375414	0.00552103045707	0.020618556701	97
KI422029	+	KI421928;KI422122	+;+	-24581.1617801	0.0342194800773	0.166666666667	6
KI422029	+	KI422020;KI422001	-;-	-67779.1865505	0.00767583671707	0.040404040404	99
KI421922;KI422432;KI421961;KI422246	+;+;+;+	KI422381;KI422116;KI422155;AXCP01009375;AXCP01009853;KI422172	-;-;-;-;-;-	25148.1123096	0	1.0	15
KI421922;KI422432;KI421961;KI422246	+;+;+;+	KI422185;AXCP01009582;KI422092;KI421986	+;+;+;+	-36970.4469422	0.946072890013	0.133333333333	15
KI421922;KI422432;KI421961;KI422246	+;+;+;+	KI422029	+	-17718.1971912	0	1.0	21
KI421922;KI422432;KI421961;KI422246	+;+;+;+	KI421973	+	-19727.2741343	0	1.0	14
KI422156;KI422015	-;-	KI421985	-	-56983.7718165	0	1.0	12
KI422122;KI421928	-;-	KI422145;KI422220;AXCP01009796;KI422097;KI422241;KI422453;KI421891	-;-;-;-;-;-;-	-19741.6293763	0.0343514417828	0.166666666667	6
KI422122;KI421928	-;-	KI421998	-	-32639.1394398	0.263082106383	0.447368421053	38
KI422122;KI421928	-;-	KI421974;KI422302	-;-	-29309.4065548	0.0341196677696	0.166666666667	6
KI422122;KI421928	-;-	KI421982;KI422004;KI421908	-;-;-	-29801.0423434	0	1.0	20
KI422122;KI421928	-;-	KI422023	-	57155.965094	0	1.0	17
KI421931;KI421936;KI422062	+;+;+	KI421959	+	-33437.7405519	0.192490872897	0.0769230769231	13
KI421931;KI421936;KI422062	+;+;+	KI422381;KI422116;KI422155;AXCP01009375;AXCP01009853;KI422172	-;-;-;-;-;-	5613.87255377	0.00710880613908	0.333333333333	18
KI421931;KI421936;KI422062	+;+;+	KI421985	-	-45761.1763638	0.184615543126	0.142857142857	7
