#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_minimus	KB663610	AMIN002150	+	4629	11168	6	4629-4822:8081-8327:8393-8478:8550-9113:9191-9311:9387-11168
Anopheles_minimus	KB663610	AMIN002151	+	12394	20689	7	12394-12496:12736-14775:14850-16404:19511-19674:19744-19880:19954-20154:20228-20689
Anopheles_minimus	KB663610	AMIN002152	+	28833	34585	4	28833-28868:31532-31968:32208-33527:33613-34585
Anopheles_minimus	KB663610	AMIN002153	-	36694	38844	2	36694-38578:38687-38844
Anopheles_minimus	KB663610	AMIN002154	+	38986	40994	2	38986-39121:39199-40994
Anopheles_minimus	KB663610	AMIN002155	+	41888	43019	4	41888-42168:42238-42620:42686-42820:42880-43019
Anopheles_minimus	KB663610	AMIN002156	-	44755	48363	5	44755-44810:44877-45012:45092-45994:46986-47208:47912-48363
Anopheles_minimus	KB663610	AMIN002157	+	53359	55907	6	53359-53620:53688-54589:54870-55097:55174-55415:55558-55658:55735-55907
Anopheles_minimus	KB663610	AMIN002158	+	67283	68361	3	67283-67519:67589-68155:68233-68361
Anopheles_minimus	KB663610	AMIN002159	+	76860	78413	2	76860-77168:78228-78413
Anopheles_minimus	KB663610	AMIN002160	-	78215	78784	1	78215-78784
Anopheles_minimus	KB663610	AMIN002161	-	87179	95904	10	87179-87343:87417-87592:89761-91308:91962-92080:92212-92385:92520-92706:92883-93088:93182-93663:95481-95609:95683-95904
Anopheles_minimus	KB663610	AMIN002162	-	155735	163614	11	155735-155890:155958-156081:156148-156304:156418-156852:157246-157395:157482-157722:157811-158319:158890-159345:159422-159674:159755-160069:163114-163614
Anopheles_minimus	KB663610	AMIN014225	+	182145	182249	1	182145-182249
Anopheles_minimus	KB663610	AMIN002163	-	182326	188000	4	182326-182915:184023-184437:187318-187534:187981-188000
Anopheles_minimus	KB663610	AMIN002164	+	188585	194411	6	188585-190103:190173-191607:191686-192018:192083-192674:194088-194162:194247-194411
Anopheles_minimus	KB663610	AMIN002165	-	194855	199257	5	194855-195028:195488-197942:198017-198105:198598-199109:199185-199257
Anopheles_minimus	KB663610	AMIN002166	+	199492	200027	2	199492-199783:199846-200027
Anopheles_minimus	KB663610	AMIN002167	-	200656	204403	5	200656-200823:200895-201001:201075-201822:202002-202851:202920-204403
Anopheles_minimus	KB663610	AMIN002168	+	205101	209201	4	205101-205237:205310-205427:206785-207917:209183-209201
Anopheles_minimus	KB663610	AMIN002169	-	209655	211644	4	209655-209773:209844-210006:210070-210920:211590-211644
Anopheles_minimus	KB663610	AMIN002170	+	257768	259662	2	257768-258401:259652-259662
Anopheles_minimus	KB663610	AMIN002171	+	275869	289592	10	275869-276079:277751-278144:278230-278360:279642-279812:282712-283188:284462-284638:285346-286616:286688-287352:288626-289284:289579-289592
Anopheles_minimus	KB663610	AMIN002172	-	297249	298435	2	297249-297761:298418-298435
Anopheles_minimus	KB663610	AMIN002173	-	314255	317016	5	314255-314470:314537-314821:315322-315767:316557-316848:316930-317016
Anopheles_minimus	KB663610	AMIN002174	+	317396	318579	4	317396-317593:317783-317975:318074-318150:318397-318579
Anopheles_minimus	KB663610	AMIN002175	-	319267	320887	3	319267-319492:319569-319740:319822-320887
Anopheles_minimus	KB663610	AMIN002176	+	339425	339730	2	339425-339655:339722-339730
Anopheles_minimus	KB663610	AMIN002177	+	347368	348961	3	347368-348115:348187-348470:348545-348961
Anopheles_minimus	KB663610	AMIN002178	+	350602	351569	2	350602-350604:350661-351569
Anopheles_minimus	KB663610	AMIN002179	-	352046	352552	1	352046-352552
Anopheles_minimus	KB663610	AMIN002180	+	413388	416704	7	413388-413558:413630-413837:413920-414090:414949-415077:415162-415539:415668-415808:416226-416704
Anopheles_minimus	KB663610	AMIN002181	-	429163	435063	4	429163-429199:429990-430116:434230-434470:435055-435063
Anopheles_minimus	KB663610	AMIN014226	+	449239	449498	2	449239-449277:449349-449498
Anopheles_minimus	KB663610	AMIN002182	+	488596	493054	5	488596-488663:488750-489997:490719-491670:492521-492820:492911-493054
Anopheles_minimus	KB663610	AMIN002183	-	493155	494479	4	493155-493685:493753-494112:494170-494274:494342-494479
Anopheles_minimus	KB663610	AMIN002184	+	495223	496305	1	495223-496305
Anopheles_minimus	KB663610	AMIN002185	-	497448	502638	8	497448-498342:498432-498569:499598-500840:501507-501544:501610-501703:501777-501951:502013-502384:502513-502638
Anopheles_minimus	KB663610	AMIN002186	+	503151	504449	2	503151-503280:503371-504449
Anopheles_minimus	KB663610	AMIN002187	-	506447	516183	8	506447-506907:506978-507179:507270-507458:507517-508254:508343-508639:508709-509070:509156-509495:509584-516183
Anopheles_minimus	KB663610	AMIN002188	-	523060	525143	3	523060-523676:523766-523963:524027-525143
Anopheles_minimus	KB663610	AMIN002189	+	525904	528926	3	525904-526279:526349-528697:528766-528926
Anopheles_minimus	KB663610	AMIN002190	-	529986	532310	4	529986-530889:530965-531339:531403-531799:531869-532310
Anopheles_minimus	KB663610	AMIN002191	+	577867	579174	2	577867-578899:579173-579174
Anopheles_minimus	KB663610	AMIN002192	+	607644	608830	2	607644-607649:608117-608830
Anopheles_minimus	KB663610	AMIN002193	+	638677	641819	2	638677-638685:638751-641819
Anopheles_minimus	KB663610	AMIN002194	+	647890	665201	9	647890-648090:648232-648562:648665-648788:648862-649105:649190-649350:649430-649504:650941-651053:651820-652146:652747-665201
Anopheles_minimus	KB663610	AMIN002195	+	667694	670142	8	667694-667699:667864-667879:667944-668374:668442-668636:668707-669406:669471-669628:669701-669960:670034-670142
