#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_christyi	KB697215	ACHR000001	+	779	2272	3	779-909:992-1379:1442-2272
Anopheles_christyi	KB697215	ACHR000002	-	2786	4743	4	2786-3249:3546-3594:3726-3851:3928-4743
Anopheles_christyi	KB697215	ACHR000003	+	5942	21167	13	5942-6048:7390-8761:8841-9067:9141-9314:9596-9719:12091-13203:13278-16726:17133-17492:17656-17845:17934-18768:18841-18899:19434-19723:21155-21167
Anopheles_christyi	KB697215	ACHR000004	-	21737	29229	11	21737-21931:22011-23681:23749-23939:24054-24283:24412-24596:24693-25931:26487-27355:27432-27576:27658-27978:28873-28961:29127-29229
Anopheles_christyi	KB673869	ACHR000005	-	437	3972	7	437-1512:1599-1858:1936-2147:2216-2340:2404-2647:2728-3488:3558-3972
Anopheles_christyi	KB673869	ACHR000006	+	7564	9497	4	7564-7798:7866-8025:8506-8747:9334-9497
Anopheles_christyi	KB673869	ACHR000007	-	13148	19295	4	13148-14519:14596-16661:16728-17966:18030-19295
Anopheles_christyi	KB673869	ACHR000008	+	25265	30059	3	25265-25321:27147-29879:29952-30059
Anopheles_christyi	KB673869	ACHR000009	-	32309	33473	2	32309-32536:32604-33473
Anopheles_christyi	KB673869	ACHR000010	+	35258	44045	8	35258-35366:36502-37028:37097-38199:38291-39234:39699-40878:40950-41154:41237-41392:42825-44045
Anopheles_christyi	KB676202	ACHR000011	+	37238	42092	4	37238-37267:37361-37852:41496-41742:41806-42092
Anopheles_christyi	KB687424	ACHR000012	-	3	4154	1	3-4154
Anopheles_christyi	KB687424	ACHR000013	-	6048	7334	5	6048-6204:6301-6440:6504-6855:6923-7093:7162-7334
Anopheles_christyi	KB687424	ACHR000014	+	8714	9395	2	8714-8887:9063-9395
Anopheles_christyi	KB687424	ACHR000015	+	10873	12987	3	10873-10986:12644-12837:12909-12987
Anopheles_christyi	KB687424	ACHR000016	-	17449	18873	2	17449-18795:18856-18873
Anopheles_christyi	KB687424	ACHR000017	+	20112	23893	7	20112-20262:20977-22226:22302-22499:22578-22720:22791-22896:22971-23561:23633-23893
Anopheles_christyi	KB687424	ACHR000018	+	25245	28484	3	25245-25323:25999-26243:27903-28484
Anopheles_christyi	KB687424	ACHR000019	+	29415	30874	2	29415-30429:30513-30874
Anopheles_christyi	KB687424	ACHR000020	-	30952	33948	4	30952-31071:31136-33558:33607-33766:33844-33948
Anopheles_christyi	KB696449	ACHR000021	-	7105	19378	5	7105-7308:7396-7961:8032-8419:8486-17838:18022-19378
Anopheles_christyi	KB698138	ACHR000022	-	1295	5244	8	1295-1868:1940-2126:2254-2745:2944-2999:3507-4038:4106-4326:4647-4992:5166-5244
Anopheles_christyi	KB698138	ACHR000023	+	11382	15380	6	11382-11568:12776-13273:13343-13687:13752-14853:14931-15136:15202-15380
Anopheles_christyi	KB698138	ACHR000024	-	16615	19664	7	16615-16755:16829-16979:17059-17821:17871-18335:18675-18852:18922-19079:19334-19664
Anopheles_christyi	KB698138	ACHR000025	-	20523	22521	3	20523-20882:21072-22305:22484-22521
Anopheles_christyi	KB698138	ACHR000026	+	23492	23917	1	23492-23917
Anopheles_christyi	KB698138	ACHR000027	+	25768	27602	4	25768-25942:26055-26312:26382-27458:27523-27602
Anopheles_christyi	KB697871	ACHR000028	+	21531	23789	5	21531-21710:21780-21919:22995-23303:23413-23579:23656-23789
Anopheles_christyi	KB697871	ACHR000029	-	26278	30881	6	26278-26380:26453-26624:26692-26950:27033-28412:28500-28626:30658-30881
Anopheles_christyi	KB697893	ACHR000030	+	10471	25986	12	10471-10590:10676-10869:10959-11086:11199-11440:14793-14864:17022-17157:20681-20814:20889-21017:21132-21272:21350-21456:21554-21696:25592-25986
Anopheles_christyi	KB697649	ACHR000031	+	3330	21919	26	3330-3341:4182-4323:4396-4479:4545-4804:4879-5068:5145-5269:5340-5448:5515-5736:7976-8045:9283-9471:10565-10606:11674-12000:12835-12953:13025-13180:13253-14035:14961-14968:15962-15994:16487-16695:17837-17955:18027-18182:18294-19079:19419-19482:20552-20667:20734-20889:20954-21724:21786-21919
Anopheles_christyi	KB697649	ACHR000032	-	23054	25025	2	23054-24319:24717-25025
