scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
6501__len__11929	+	44536__len__14390	-	-4505.48483986	0.0308327500794	0.714285714286	7
6501__len__11929	+	51218__len__8329	+	-4469.48483986	0.019681300823	0.647058823529	17
6501__len__11929	+	28220__len__33261	-	-4218.48483986	0.223664637832	0.307692307692	13
11024__len__8381	+	18927__len__8504	-	-4344.48483986	0.00174384908273	0.466666666667	15
11024__len__8381	+	57724__len__28305	+	-4566.48483986	0.00126512108896	0.5	6
11024__len__8381	+	23439__len__6752;11015__len__9853	+;+	-409.992085868	0.441158604689	0.2	5
11024__len__8381	+	121498__len__16737	+	-4243.48483986	0.00186731677235	0.428571428571	7
50030__len__18619	+	10246__len__28291	+	-4419.48483986	0.0502725569983	0.363636363636	11
50030__len__18619	+	2051__len__9956	+	267.20057153	0.054064757608	0.1	10
50030__len__18619	+	23022__len__9410	+	-885.59865391	0.740959630428	0.166666666667	6
50030__len__18619	+	26548__len__11786	+	529.535650674	0.0612184260324	0.238095238095	21
50030__len__18619	+	45419__len__8534	+	-1850.48483986	0.465805982605	0.25	12
50030__len__18619	+	29737__len__14101	-	-3027.48483986	0.0040847937068	0.4	5
50030__len__18619	+	5225__len__7241	-	947.887673211	0.772505962017	0.416666666667	48
50030__len__18619	+	672__len__23144	+	-4095.48483986	0.0356865398467	0.279069767442	43
50030__len__18619	+	24661__len__8297	+	-2740.48483986	0.0800072821577	0.5	6
50030__len__18619	+	4362__len__12810	+	-1787.28033336	0.00992132449955	0.285714285714	7
50030__len__18619	+	86491__len__29192	+	-3255.48483986	0.10845960307	0.6	5
50030__len__18619	+	33210__len__74839	-	3857.80735326	0.10622935988	0.4	5
50030__len__18619	+	90538__len__10140	+	-930.002378746	0.619497842568	0.2	20
50030__len__18619	+	18189__len__39030	+	-4095.48483986	0.0551579492706	0.375	8
50030__len__18619	+	73971__len__22254	-	3891.12041144	0.0291973234845	0.333333333333	6
50030__len__18619	+	50138__len__9923	+	-2088.48483986	0.0615418504664	0.41935483871	31
50030__len__18619	+	142497__len__8677	-	-2971.48483986	0.0448719119469	0.2	5
50030__len__18619	+	41990__len__10853	-	-1054.17252967	0.77412780598	0.5	6
50030__len__18619	+	25342__len__15062	+	3854.3870217	0.666123665599	0.2	10
50030__len__18619	+	925__len__10571	-	3988.4446207	0.0126014367393	0.444444444444	9
50030__len__18619	+	20422__len__15617	+	-2378.48483986	0.0320685568304	0.454545454545	11
50030__len__18619	+	6489__len__11288	+	1173.36503305	0.0419809494713	0.2	5
4821__len__16604	-	11184__len__12627	+	-192.624946092	0.88193645743	0.2	5
4821__len__16604	-	4670__len__28399	-	-555.805760551	0.483478580647	0.666666666667	6
4821__len__16604	-	10005__len__30307	-	-2404.48483986	0.757774110535	0.333333333333	6
4821__len__16604	-	4362__len__12810	+	-1665.48483986	0.755325476611	0.333333333333	6
4821__len__16604	-	24976__len__11758	-	-987.484839863	0.75447461078	0.375	8
4821__len__16604	-	7684__len__8711	-	-342.04569598	0.655511137393	0.444444444444	9
4821__len__16604	-	19568__len__7839	+	1011.94010262	0.943959022326	0.428571428571	7
4821__len__16604	-	39571__len__12841;10136__len__12531	+;+	-333.767401412	0.869130053824	0.583333333333	12
4821__len__16604	-	44252__len__7894	-	-2233.48483986	0.869998985299	0.285714285714	7
4821__len__16604	-	17778__len__19902	-	706.363869153	0.0208216634384	0.333333333333	6
4821__len__16604	-	5915__len__50974	-	-1518.48483986	0.908197964592	0.333333333333	6
4821__len__16604	-	36844__len__9863	+	-2008.48483986	0.766690055298	0.142857142857	7
28060__len__10929	+	28689__len__6041;1187__len__4295	+;+	-2971.48483986	0.806457587708	0.384615384615	13
28060__len__10929	+	3668__len__8473	+	-2773.48483986	0.308672509982	0.125	8
28060__len__10929	+	70481__len__7656	+	-3930.48483986	0.00289875658536	0.5	6
28060__len__10929	+	63384__len__18443	-	-2612.48483986	0.00334719578975	0.571428571429	7
28060__len__10929	+	10523__len__8250	+	-3975.48483986	0.00424334514468	0.555555555556	9
28060__len__10929	+	86478__len__11316	+	-2389.48483986	0.00334719578975	0.571428571429	7
28060__len__10929	+	25340__len__31456	-	-3098.48483986	0.00476734156428	0.333333333333	6
28060__len__10929	+	5132__len__15255	+	-3063.48483986	0.37099875734	0.407407407407	27
28060__len__10929	+	45__len__7044	+	-2450.48483986	0.00513894617193	0.545454545455	11
28060__len__10929	+	8170__len__16190	-	-3659.48483986	0.198139986396	0.2	5
28060__len__10929	+	45896__len__16215	-	-4440.48483986	0.00687718708955	0.4	5
28060__len__10929	+	103500__len__13491	-	-2846.48483986	0.402004094263	0.3	20
28060__len__10929	+	20864__len__12909	-	-2641.48483986	0.00497274670696	0.4	5
28060__len__10929	+	49695__len__4384;106798__len__9515	+;+	-2921.48483986	0.00401065335879	0.4	5
28060__len__10929	+	7629__len__10086	+	-2640.48483986	0.00358946759294	0.5	6
28060__len__10929	+	21547__len__14765	+	-3266.48483986	0.00566486135393	0.5	6
30569__len__10711	+	147240__len__28030	+	166.348576185	0.968189085473	0.4	5
30569__len__10711	+	151857__len__2728;78185__len__12639	-;-	-2308.48483986	0.0947782799288	0.333333333333	6
12457__len__23074	-	12112__len__7016	-	-2102.48483986	0.23971340734	0.166666666667	6
12457__len__23074	-	6038__len__10894;52047__len__6607	-;-	-3593.48483986	0.306552704174	0.375	8
12457__len__23074	-	28192__len__40102	+	-2668.48483986	0.92250775509	0.5	8
12457__len__23074	-	8352__len__5364;69087__len__4657	-;-	4319.64487406	0	1.0	5
12457__len__23074	-	99385__len__16437	+	-433.101619049	0.69714421856	0.578947368421	19
12457__len__23074	-	84659__len__8516	-	4271.26550489	0.0148047023058	0.538461538462	13
12457__len__23074	-	102699__len__9299	-	-2087.48483986	0.736681033442	0.166666666667	6
12457__len__23074	-	63045__len__20138	+	-2179.48483986	0.639501959626	0.6	5
12457__len__23074	-	48447__len__9173	-	307.811097485	0.929166440558	0.6	10
12457__len__23074	-	4461__len__12622	+	107.887354937	0.0908800743446	0.230769230769	13
12457__len__23074	-	58502__len__18799	-	-3655.48483986	0.143454087243	0.25	8
12457__len__23074	-	48843__len__15856	+	4333.95088158	0.0117909421095	0.2	10
12457__len__23074	-	35979__len__11241	-	-571.343174264	0.947591930675	0.481481481481	27
12457__len__23074	-	46017__len__18466	+	387.817656283	0.168140715998	0.166666666667	6
12457__len__23074	-	10349__len__8118	-	400.890561832	0.0193541813741	0.4	5
12457__len__23074	-	22265__len__19788	+	-2453.48483986	0.00103940303876	0.2	5
12457__len__23074	-	12543__len__12063	+	-2272.48483986	0.933208528183	0.625	8
12457__len__23074	-	1187__len__4295;28689__len__6041	-;-	-2210.48483986	0.403430231804	0.222222222222	9
12457__len__23074	-	4191__len__13025	-	-2660.48483986	0.760410817653	0.5	16
12457__len__23074	-	66914__len__9268	-	-3698.48483986	0.364607372157	0.5	6
12457__len__23074	-	15254__len__78030	-	-3026.48483986	0.14465392694	0.578947368421	38
12457__len__23074	-	23379__len__10081	+	882.739321035	0.159356819653	0.444444444444	9
12457__len__23074	-	206634__len__2623;79859__len__4752	-;-	-956.398545585	0.329385823223	0.4	5
12457__len__23074	-	118858__len__6432;108521__len__9231	+;+	4272.4325179	0.0107429959936	0.6	10
12457__len__23074	-	4915__len__23833	-	163	0.289605742508	0.333333333333	6
12457__len__23074	-	120853__len__2994;53618__len__18862	-;-	-2397.48483986	0.878198833292	0.5	6
12457__len__23074	-	14343__len__11797	+	-43.4216826915	0.0124897817292	0.571428571429	7
12457__len__23074	-	49695__len__4384;106798__len__9515	+;+	902.983739318	0.839746632343	0.5	6
12457__len__23074	-	40475__len__11681	+	-2294.48483986	0.948495597393	0.2	5
12457__len__23074	-	30172__len__8469	+	-1433.4036851	0.0841952381213	0.153846153846	13
12457__len__23074	-	30951__len__19585	+	3713	0.914339270397	0.375	8
12457__len__23074	-	29746__len__21254	+	1635.07039695	0.115079456964	0.2	5
12457__len__23074	-	60270__len__7981	+	-1910.48483986	0.914406575621	0.652173913043	23
12457__len__23074	-	27358__len__46868	+	-1129.52458208	0.93138146068	0.111111111111	9
12457__len__23074	-	20814__len__35448	+	2249	0.694936790581	0.416666666667	12
12457__len__23074	-	9000__len__9603	-	3448.25609305	0.0158446070549	0.714285714286	14
12457__len__23074	-	58499__len__10298	-	-2043.48483986	0	1.0	6
12457__len__23074	-	66487__len__10140	-	-877.015044551	0.896264928052	0.411764705882	17
12457__len__23074	-	1011__len__11774	-	688.620196262	0.425558408688	0.285714285714	7
12457__len__23074	-	101747__len__10178	-	-2559.48483986	0.727902689992	0.625	16
12457__len__23074	-	3455__len__14421	+	3999.93197561	0.091286973849	0.333333333333	24
12457__len__23074	-	14166__len__10083	+	-203	0.693754774601	0.611111111111	18
12457__len__23074	-	30980__len__13509	-	-3126.48483986	0.000316280280724	0.166666666667	6
12457__len__23074	-	3875__len__10994	+	-987.635148888	0.290355921857	0.285714285714	7
12457__len__23074	-	249__len__17143	+	-2663.48483986	0.659631972191	0.4	5
13152__len__38214	-	51594__len__8665	-	-2880.48483986	0.602290920231	0.5	16
2722__len__11488	-	34218__len__21211	+	-4544.48483986	0.000346467669907	0.2	5
2722__len__11488	-	45957__len__24406	+	-2857.48483986	0.819717970483	0.444444444444	9
2722__len__11488	-	53510__len__9097	+	-2229.48483986	0.627520367211	0.125	8
2722__len__11488	-	85065__len__14505	-	-1353.064486	0.812603817942	0.2	5
2722__len__11488	-	1865__len__10064	+	-4001.48483986	0.337519421089	0.363636363636	11
2722__len__11488	-	68016__len__8707	-	-3483.48483986	0.538273927714	0.555555555556	18
2722__len__11488	-	41714__len__7992	+	-2070.48483986	0.612667925973	0.222222222222	9
2722__len__11488	-	29320__len__11771	+	-1813.48483986	0.58748047304	0.4	5
2722__len__11488	-	66376__len__11212	-	-1946.48483986	0.621861625437	0.5	18
2722__len__11488	-	137109__len__730;100968__len__6185	+;+	-925.459352336	0.645533975992	0.4	5
2722__len__11488	-	50954__len__30388	+	-2604.48483986	0.822653650124	0.428571428571	7
2722__len__11488	-	61446__len__23588	-	-3921.48483986	0.379674446883	0.4	10
2722__len__11488	-	74326__len__2605;9741__len__14687	+;+	-2904.48483986	0.700341610814	0.25	8
2722__len__11488	-	8408__len__17996	-	-2445.48483986	0.741270078164	0.5	6
2722__len__11488	-	82288__len__8699	-	-2033.48483986	0.741160154542	0.5	6
29510__len__77887	+	520__len__7692	+	-3677.48483986	0.00737686023287	0.5	16
29510__len__77887	+	50138__len__9923	+	-2069.48483986	0.00537253463428	0.454545454545	11
29510__len__77887	+	10005__len__30307	-	-2094.48483986	0.00365339410191	0.428571428571	7
29510__len__77887	+	54006__len__8152	+	-540.53465202	0.31589568584	0.307692307692	13
107908__len__8385	+	23179__len__15279	-	-1939.61213954	0.015610281948	0.375	8
20809__len__37918	-	74464__len__13544	-	-1545.21016431	0.00559735667515	0.4	5
20809__len__37918	-	49401__len__9517	-	-739.849724766	0.0750458798421	0.25	8
20809__len__37918	-	33064__len__13780	+	2157.0626106	0.492809283685	0.375	8
20809__len__37918	-	34928__len__6836	+	-557.059689421	0.227378500909	0.375	8
20809__len__37918	-	53510__len__9097	-	-2123.48483986	0.00434813487805	0.5	6
20809__len__37918	-	3035__len__24843	-	-1079.08112751	0.0362054581469	0.166666666667	6
20809__len__37918	-	44645__len__13489	-	3386.75865464	0.00727496588797	0.5	10
20809__len__37918	-	6638__len__18889	-	-1197.71868253	0.0230616410813	0.5	42
20809__len__37918	-	39377__len__18369	+	-2688.48483986	0.529768592583	0.461538461538	39
20809__len__37918	-	41714__len__7992	+	-202.771166663	0.00328688101551	0.666666666667	6
20809__len__37918	-	53811__len__12227	-	-1751.48483986	0.560586812531	0.423076923077	26
20809__len__37918	-	37364__len__12944	-	-2061.48483986	0.36681921016	0.3	10
13535__len__8572;51603__len__14460	-;-	26174__len__35084	-	-2839.48483986	0.0212054071173	0.4	5
19281__len__13569	-	53883__len__16414	-	-3378.48483986	0.00601598003754	0.4	5
19281__len__13569	-	288__len__31424	+	-3385.48483986	0.00367484469231	0.6	5
19281__len__13569	-	166211__len__8538	+	-3276.48483986	0.00502079368463	0.571428571429	7
29000__len__13442	+	118810__len__8181	-	-2379.48483986	0.88994630883	0.428571428571	7
29000__len__13442	+	118810__len__8181	+	-1751.48483986	0.649858687209	0.5	8
6038__len__10894;52047__len__6607	-;-	2051__len__9956	+	-4421.48483986	0.0464751474009	0.607142857143	28
6038__len__10894;52047__len__6607	-;-	66605__len__9951	+	-3799.48483986	0.0037346335471	0.428571428571	7
6038__len__10894;52047__len__6607	-;-	25303__len__14976	-	-3706.48483986	0.0680731847535	0.4	5
6038__len__10894;52047__len__6607	-;-	4928__len__12717;5621__len__12643	+;+	-2540.48483986	0.985271071291	0.4	5
6038__len__10894;52047__len__6607	-;-	29767__len__19590	+	-3689.48483986	0.294136266914	0.2	5
6038__len__10894;52047__len__6607	-;-	11381__len__24347	+	-3704.48483986	0.059905854961	0.5	6
6038__len__10894;52047__len__6607	-;-	11405__len__30940	+	-3689.48483986	0.0449961352577	0.4	5
6038__len__10894;52047__len__6607	-;-	4748__len__12260	+	-2764.48483986	0.580438241573	0.388888888889	18
6038__len__10894;52047__len__6607	-;-	14209__len__21714	-	-3704.48483986	0.0840164479259	0.4	5
6038__len__10894;52047__len__6607	-;-	2762__len__29315	+	-3729.48483986	0.0578025022026	0.4	5
6038__len__10894;52047__len__6607	-;-	14103__len__15269	+	-3729.48483986	0.0195034942747	0.333333333333	6
6038__len__10894;52047__len__6607	-;-	26548__len__11786	+	-4302.48483986	0.051976723754	0.405405405405	37
6038__len__10894;52047__len__6607	-;-	78538__len__10850	-	-3703.48483986	0.0481844606813	0.375	8
6038__len__10894;52047__len__6607	-;-	147__len__12808	-	-3705.48483986	0.0599887886176	0.5	6
6038__len__10894;52047__len__6607	-;-	6614__len__17858	-	-3227.48483986	0.561289137314	0.4	5
6038__len__10894;52047__len__6607	-;-	22265__len__19788	-	-3782.48483986	0.247774256695	0.166666666667	6
6038__len__10894;52047__len__6607	-;-	5481__len__24510	+	-2695.48483986	0.74537102833	0.434782608696	23
6038__len__10894;52047__len__6607	-;-	1880__len__14936	-	-3766.48483986	0.0297464917768	0.5	6
6038__len__10894;52047__len__6607	-;-	1449__len__16351	+	-3671.48483986	0.456787777701	0.4	5
