scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_018114047.1	-	NW_018114035.1	-	-4175.15610631	0.497049232658	0.4	5
NW_018114047.1	-	NW_018114053.1	-	-5051.80248824	0.420191728669	0.625	32
NW_018114026.1	+	NW_018114027.1;NW_018114014.1	-;-	2035.30581483	0.988906019059	0.333333333333	6
NW_018113970.1	-	NW_018113990.1	+	21.0955858659	0.540296971137	0.827586206897	29
NW_018113990.1	+	NW_018113976.1	-	-1049.60151926	0.764473261722	0.8	5
NW_018113990.1	+	NW_018113979.1	-	-4717.80339681	0.0756824211627	0.142857142857	7
NW_018113990.1	+	NW_018113955.1	-	-3107.81200688	0.00947744074329	0.4	5
NW_018113983.1;NW_018114004.1	-;-	NW_018114028.1	+	1740.01968844	0.813851898334	0.597014925373	67
NW_018113983.1;NW_018114004.1	-;-	NW_018113977.1	+	3488.29623906	0.742815240153	0.53591160221	181
NW_018113983.1;NW_018114004.1	-;-	NW_018113998.1;NW_018113982.1	-;-	4463.96274915	0.862976834135	0.58	100
NW_018113983.1;NW_018114004.1	-;-	NW_018114015.1	-	273.903463353	0.840721559901	0.595541401274	314
NW_018113983.1;NW_018114004.1	-;-	NW_018113977.1	-	2096.08372164	0.831175114097	0.3	10
NW_018113983.1;NW_018114004.1	-;-	NW_018113979.1	-	3283.07279014	0.425708849805	0.275	120
NW_018113983.1;NW_018114004.1	-;-	NW_018114031.1	+	1592.75758811	0.6731764424	0.555555555556	9
NW_018113983.1;NW_018114004.1	-;-	NW_018113974.1	+	-1191.61034397	0.780102294712	0.5	28
NW_018114003.1	-	NW_018114028.1	+	1150.83393951	0.522523523466	0.4	5
NW_018114003.1	-	NW_018113977.1	+	2151.56639133	0.647994662404	0.375	24
NW_018114003.1	-	NW_018113998.1;NW_018113982.1	-;-	3725.80156066	0.795417331428	0.375	24
NW_018114003.1	-	NW_018113979.1	-	2102.84388676	0.699793946869	0.450980392157	51
NW_018114003.1	-	NW_018114031.1	+	503.02266524	0.760175902779	0.6	5
NW_018114003.1	-	NW_018113955.1	-	2680.25388506	0.850665289059	0.516666666667	60
NW_018114003.1	-	NW_018113974.1	+	-2297.85863363	0.537747498209	0.517647058824	170
NW_018114003.1	-	NW_018114037.1	+	-413.016862892	0.43807539283	0.415094339623	53
NW_018113969.1	-	NW_018113967.1;NW_018113991.1	+;+	84.4401134821	0.923783622775	0.333333333333	6
NW_018113988.1	+	NW_018113979.1	+	-489.706222743	0.609109162067	0.583333333333	12
NW_018114011.1;NW_018114040.1	-;-	NW_018114026.1	+	-431.873650286	0.804108362313	0.810810810811	37
NW_018114015.1	-	NW_018113947.1;NW_018113996.1	-;-	1705.32209911	0.567469831998	0.214285714286	14
NW_018114015.1	-	NW_018114008.1	-	4463.96933317	0.0457950196551	0.428571428571	7
NW_018114015.1	-	NW_018113956.1	-	-5096.76351135	0.034617516524	0.5	6
NW_018114015.1	-	NW_018113946.1	+	-1595.65529913	0.85675834163	0.235294117647	17
NW_018114015.1	-	NW_018113979.1	-	375.500274314	0.482152161849	0.142857142857	21
NW_018114015.1	-	NW_018113957.1	-	2376.33318804	0.819443931941	0.409090909091	22
NW_018114015.1	-	NW_018113955.1	-	4463.96777446	0.734100458783	0.308823529412	68
NW_018114015.1	-	NW_018113974.1	+	-1861.39863104	0.681710476763	0.591439688716	257
NW_018114015.1	-	NW_018114037.1	+	-1990.80630929	0.754572088648	0.121052631579	190
NW_018114033.1;NW_018113949.1	+;+	NW_018114018.1	-	-3158.54907292	0.583192509684	0.4	5
NW_018114033.1;NW_018113949.1	+;+	NW_018113967.1;NW_018113991.1	+;+	-3839.66244004	0.688503997031	0.625	8
NW_018114027.1;NW_018114014.1	-;-	NW_018114037.1	-	4463.96421244	0.503743199664	0.0833333333333	12
NW_018114027.1;NW_018114014.1	-;-	NW_018114008.1	+	1775.75161193	0.344820034503	0.690074906367	1068
NW_018114027.1;NW_018114014.1	-;-	NW_018114035.1	-	-5091.67210509	0.0870475833061	0.4	5
NW_018114037.1	-	NW_018113986.1	-	2815.08089349	0.853868588488	0.6	15
NW_018114037.1	-	NW_018114018.1	-	-2515.41464651	0.830863835127	0.434262948207	251
NW_018114037.1	-	NW_018114009.1	+	1317.40190171	0.731136259161	0.684210526316	19
NW_018114037.1	-	NW_018113967.1;NW_018113991.1	+;+	-3133.2548778	0.656927540222	0.385756676558	337
NW_018114037.1	-	NW_018114024.1;NW_018113975.1	-;-	1336.60845923	0.487170174125	0.04	50
NW_018114046.1	-	NW_018114035.1	-	-4832.5043326	0.245280340625	0.333333333333	6
NW_018114046.1	-	NW_018113975.1;NW_018114024.1	+;+	-1281.31559912	0.254047001876	0.470588235294	34
NW_018114006.1	+	NW_018114009.1	-	-5421.99416976	0.151888614512	0.666666666667	6
NW_018113979.1	+	NW_018114027.1;NW_018114014.1	-;-	4463.96976257	0.994074531305	0.0666666666667	15
NW_018113979.1	+	NW_018113986.1	-	3332.16397242	0.914634401005	0.375	16
NW_018113979.1	+	NW_018114018.1	-	2569.41324844	0.553728342604	0.424242424242	33
NW_018113979.1	+	NW_018114007.1	+	2065.83871789	0.210987873687	0.25	76
NW_018113979.1	+	NW_018113967.1;NW_018113991.1	+;+	1194.24592013	0.790055580247	0.521951219512	205
NW_018113979.1	+	NW_018114009.1	+	4463.96829814	0.998717077346	0.46976744186	215
NW_018113979.1	+	NW_018114024.1;NW_018113975.1	-;-	4463.96263967	0.987425741382	0.385135135135	148
NW_018113979.1	+	NW_018113974.1	+	-3354.30358107	0.637217694721	0.4	15
NW_018114043.1	+	NW_018114037.1	-	-1110.94970944	0.712431850315	0.470588235294	17
NW_018114043.1	+	NW_018114008.1	+	-2467.48038467	0.554540526566	0.454545454545	22
NW_018114009.1	-	NW_018114028.1	+	2739.78954994	0.687264016249	0.370967741935	62
NW_018114009.1	-	NW_018113977.1	+	4463.96915556	0.80427983187	0.428846153846	520
NW_018114009.1	-	NW_018113998.1;NW_018113982.1	-;-	4463.96860405	0.40630151838	0.134328358209	134
NW_018114009.1	-	NW_018114031.1	+	2116.3550964	0.717958161054	0.5	10
NW_018114009.1	-	NW_018113977.1	-	4463.96915556	0.660484931039	0.173913043478	23
NW_018114009.1	-	NW_018113974.1	+	-213.201854261	0.805059118619	0.315789473684	57
NW_018113975.1;NW_018114024.1	+;+	NW_018114028.1	+	2717.76505817	0.882059325619	0.0983606557377	122
NW_018113975.1;NW_018114024.1	+;+	NW_018113977.1	+	4463.97241098	0.732925753078	0.467741935484	434
NW_018113975.1;NW_018114024.1	+;+	NW_018113998.1;NW_018113982.1	-;-	4463.95022979	0.951443604002	0.18018018018	111
NW_018113975.1;NW_018114024.1	+;+	NW_018113977.1	-	4463.97241098	0.922755489101	0.0606060606061	33
NW_018113975.1;NW_018114024.1	+;+	NW_018113974.1	+	499.168700572	0.604586153894	0.173913043478	92
NW_018113996.1;NW_018113947.1	+;+	NW_018114018.1	-	747.074178174	0.450351364152	0.5	18
NW_018113996.1;NW_018113947.1	+;+	NW_018113967.1;NW_018113991.1	+;+	-787.894772762	0.545122551295	0.461538461538	13
NW_018113946.1	+	NW_018114029.1;NW_018113959.1	-;-	-3172.59813901	0.620961782246	0.714285714286	42
NW_018114050.1	-	NW_018114008.1	+	1656.27001044	0.4916988404	0.514957264957	936
NW_018114050.1	-	NW_018114035.1	-	-5466.25747213	0.349839634967	0.4	5
NW_018114020.1	-	NW_018113974.1	+	-4860.57252162	0.177284456176	0.222222222222	9
NW_018114031.1	-	NW_018113967.1;NW_018113991.1	+;+	271.382597426	0.921056620739	0.625	24
NW_018113957.1	+	NW_018114018.1	-	2362.84135663	0.557490235142	0.333333333333	33
NW_018113957.1	+	NW_018113967.1;NW_018113991.1	+;+	480.54021672	0.94418843045	0.48275862069	29
NW_018113961.1	-	NW_018114054.1	-	1521.24482046	0.569032669366	0.838709677419	31
NW_018113961.1	-	NW_018114016.1	-	-1746.79191916	0.996876459657	0.775510204082	49
NW_018113961.1	-	NW_018113997.1	-	1610.86208567	0.523484449829	0.875	40
NW_018114014.1;NW_018114027.1	+;+	NW_018113977.1	+	3609.63536419	0.992050105995	0.263157894737	38
NW_018114014.1;NW_018114027.1	+;+	NW_018113974.1	+	362.168087248	0.570513786017	0.272727272727	11
NW_018113956.1	+	NW_018114018.1	-	-5017.91634781	0.0219090237609	0.5	6
