scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCP01009839	+	KI422167	-	13.6766858337	0.100410699271	0.75	8
KI422314	-	KI422063	+	-176.938271989	0.0972937689897	0.4	10
AXCP01009333	-	AXCP01008672	+	-106.488958069	0.0870401407706	0.666666666667	3
KI422393	+	KI422374	+	-120.27906183	0.0520968088899	0.5	4
KI422225	-	KI422375	+	-92.4142583121	0.112744201791	0.75	4
AXCP01009598	-	AXCP01008965	+	-86.9888826338	0.205117890225	0.818181818182	11
AXCP01009679	+	AXCP01009866	+	-28.085173115	0.202370549906	0.75	8
KI422071	-	AXCP01009711	+	-43.9013180825	0.135100797193	0.857142857143	28
KI422317	+	AXCP01009827	+	-74.0869222398	0.315421791052	0.777777777778	18
KI422434	-	KI421909	+	-53.4046170716	0.196425194597	0.5	4
AXCP01008714	+	AXCP01008328	+	-111.865117761	0.174248448009	0.5	4
AXCP01008714	+	KI422373	+	-84.198142327	0.174248448009	0.5	4
KI422318	+	AXCP01009821	+	2.10553237114	0.0681391831508	0.666666666667	3
AXCP01009832	-	KI422428	+	-177.938271989	0.109938307433	0.75	4
KI422246	+	AXCP01009745	+	-87.8419583256	0.442400476098	0.6	5
AXCP01009734	-	KI422055	+	60.2131353827	0.388524460942	0.214285714286	14
AXCP01008783	+	KI421903	-	-59.401406432	0.125294424686	0.333333333333	3
AXCP01008783	+	KI422135	+	-119.938271989	0.645351376878	0.428571428571	7
AXCP01008783	+	AXCP01008917	+	-160.938271989	0.100957589685	0.666666666667	6
AXCP01009052	+	AXCP01009491	-	-206.938271989	0.107513889949	0.666666666667	3
KI421991	+	AXCP01009781	-	6.85523200293	0.231360002017	0.818181818182	11
AXCP01009749	-	AXCP01009030	+	-89.1581874319	0.164586470683	0.777777777778	9
KI422379	+	KI422320	-	-172.938271989	0.130784349022	0.666666666667	3
KI422379	+	KI421945	-	-160.938271989	0.162477065903	0.75	4
KI422379	+	KI422311	-	-111.302697721	0.138047526916	0.333333333333	3
AXCP01009834	+	AXCP01009689	-	-102.891065925	0.179121011212	0.5	12
AXCP01009156	-	KI422376	+	25.0266454543	0.163216854477	0.6875	16
KI421962	+	KI422028	+	-78.4412970474	0.138893587096	0.666666666667	3
KI421962	+	AXCP01008927	-	-221.938271989	0.0775495139544	0.75	4
KI421921	+	AXCP01009199	-	-68.112180504	0.0612286009795	0.666666666667	3
KI422175	-	AXCP01009769	+	-51.6802943635	0.235824864231	0.884297520661	121
KI422374	+	KI422129	-	-28.5097116197	0.149587750311	0.6	5
KI421991	-	AXCP01008989	+	-48.4511850473	0.981091611486	0.333333333333	3
AXCP01008964	+	KI422441	+	-149.648002595	0.0385221500082	0.666666666667	3
KI422375	-	KI422361	+	-27.2580020544	0.0606449676891	0.75	8
KI421918	-	KI422081	-	-101.938271989	0.502954072703	0.642857142857	42
AXCP01009308	-	KI422084	+	-174.938271989	0.15484703907	0.666666666667	3
AXCP01009538	-	AXCP01009760	-	-188.938271989	0.335712013765	0.333333333333	3
KI422149	+	AXCP01009873	-	13.4307417132	0.0930404783134	0.785714285714	14
KI422296	+	AXCP01009364	+	-78.3769851649	0.0931097599552	0.666666666667	3
