contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
scaffold_18850	585	3812845.1	127032.0	172.0	No
scaffold_20632	549	3775846.9	125799.0	172.0	No
scaffold_20129	558	3039397.3	101263.0	172.0	No
scaffold_18475	593	2881213.0	95993.0	172.0	No
scaffold_20584	550	2315385.8	77141.0	172.0	No
scaffold_21654	531	2225140.5	74134.0	172.0	No
scaffold_18677	589	2192189.3	73037.0	172.0	No
scaffold_21518	534	2143049.2	71399.0	172.0	No
scaffold_21403	536	1370703.6	45667.0	172.0	No
scaffold_21836	527	1204163.9	40119.0	172.0	No
scaffold_14659	689	1183756.9	39439.0	172.0	No
scaffold_15036	679	1127687.5	37571.0	172.0	No
scaffold_22527	516	1106770.2	36874.0	172.0	No
scaffold_20959	544	1100077.4	36651.0	172.0	No
scaffold_19844	564	1072566.6	35734.0	172.0	No
scaffold_15381	670	1069550.3	35634.0	172.0	No
scaffold_18943	583	1042036.1	34717.0	172.0	No
scaffold_20231	556	1019957.4	33982.0	172.0	No
scaffold_22783	512	1016113.6	33854.0	172.0	No
scaffold_21848	527	1005270.0	33492.0	172.0	No
scaffold_20921	544	1001523.7	33367.0	172.0	No
scaffold_18029	601	996834.5	33211.0	172.0	No
scaffold_13434	729	978222.1	32591.0	172.0	No
scaffold_21035	542	964090.3	32120.0	172.0	No
scaffold_14407	697	961612.9	32038.0	172.0	No
scaffold_14544	693	918244.4	30593.0	172.0	No
scaffold_21372	536	917206.8	30558.0	172.0	No
scaffold_18292	598	913992.9	30451.0	172.0	No
scaffold_22036	524	907809.7	30245.0	172.0	No
scaffold_22294	520	900073.6	29988.0	172.0	No
scaffold_22516	516	880557.3	29337.0	172.0	No
scaffold_22181	521	872412.1	29066.0	172.0	No
scaffold_23325	503	870826.5	29013.0	172.0	No
scaffold_14548	693	865248.4	28827.0	172.0	No
scaffold_21574	532	859403.3	28633.0	172.0	No
scaffold_15383	670	851746.6	28377.0	172.0	No
scaffold_22983	509	848011.6	28253.0	172.0	No
scaffold_23075	507	846173.7	28192.0	172.0	No
scaffold_11482	801	820998.6	27353.0	172.0	No
scaffold_20173	557	782150.4	26059.0	172.0	No
scaffold_23275	503	771757.9	25712.0	172.0	No
scaffold_20585	550	736851.3	24549.0	172.0	No
scaffold_23070	507	711130.3	23693.0	172.0	No
scaffold_22713	513	702050.7	23390.0	172.0	No
scaffold_22471	516	696570.8	23207.0	172.0	No
scaffold_14835	684	682076.0	22725.0	172.0	No
scaffold_20451	552	668467.8	22271.0	172.0	No
scaffold_09790	881	647194.2	21562.0	172.0	No
scaffold_19581	570	646566.3	21541.0	172.0	No
scaffold_23064	507	640895.0	21353.0	172.0	No
scaffold_18559	591	637790.2	21249.0	172.0	No
scaffold_21340	537	617891.9	20586.0	172.0	No
scaffold_17409	616	592451.5	19739.0	172.0	No
scaffold_19190	578	591733.7	19715.0	172.0	No
scaffold_20915	544	588821.1	19618.0	172.0	No
scaffold_16740	633	569476.3	18973.0	172.0	No
scaffold_21453	535	557322.2	18568.0	172.0	No
scaffold_22190	521	556885.8	18554.0	172.0	No
scaffold_16261	646	553688.9	18447.0	172.0	No
scaffold_21072	542	545818.9	18185.0	172.0	No
scaffold_20348	554	518682.7	17281.0	172.0	No
scaffold_15564	665	505637.0	16846.0	172.0	No
scaffold_16335	644	470868.2	15688.0	172.0	No
scaffold_23351	502	440266.4	14668.0	172.0	No
scaffold_20394	553	422138.8	14064.0	172.0	No
scaffold_23436	501	414557.0	13812.0	172.0	No
scaffold_21391	536	414149.3	13798.0	172.0	No
scaffold_21197	540	403960.0	13459.0	172.0	No
scaffold_17575	612	391054.5	13029.0	172.0	No
scaffold_20288	555	383431.6	12775.0	172.0	No
scaffold_23196	505	374373.7	12473.0	172.0	No
scaffold_15257	673	366868.8	12223.0	172.0	No
scaffold_21226	539	356677.2	11883.0	172.0	No
scaffold_19393	574	355161.2	11833.0	172.0	No
