#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
ASINC	AS2_scf7180000686813	ASIC000004	-	12686	12961	2	12686-12899:12939-12961
ASINC	AS2_scf7180000686813	ASIC000005	+	15133	15348	1	15133-15348
ASINC	AS2_scf7180000686832	ASIC000009	-	16824	17171	1	16824-17171
ASINC	AS2_scf7180000686832	ASIC000010	-	19599	20021	2	19599-19926:20002-20021
ASINC	AS2_scf7180000686850	ASIC000013	-	5539	6554	2	5539-6365:6530-6554
ASINC	AS2_scf7180000686850	ASIC000014	-	8485	9057	2	8485-8923:9002-9057
ASINC	AS2_scf7180000686986	ASIC000043	+	6950	7196	2	6950-6981:7037-7196
ASINC	AS2_scf7180000686986	ASIC000044	+	98600	98884	1	98600-98884
ASINC	AS2_scf7180000686986	ASIC000045	-	111268	111555	1	111268-111555
ASINC	AS2_scf7180000686986	ASIC000046	+	12335	12764	2	12335-12346:12525-12764
ASINC	AS2_scf7180000686986	ASIC000047	-	14490	14814	2	14490-14640:14714-14814
ASINC	AS2_scf7180000686986	ASIC000048	-	18023	18659	2	18023-18473:18505-18659
ASINC	AS2_scf7180000686986	ASIC000049	+	29669	30004	1	29669-30004
ASINC	AS2_scf7180000686986	ASIC000050	+	37244	37471	1	37244-37471
ASINC	AS2_scf7180000686986	ASIC000051	+	49383	50292	2	49383-49487:49969-50292
ASINC	AS2_scf7180000686986	ASIC000052	-	81934	82312	2	81934-81962:82009-82312
ASINC	AS2_scf7180000687039	ASIC000063	+	8428	14037	2	8428-8620:12893-14037
ASINC	AS2_scf7180000687085	ASIC000069	-	9524	9823	1	9524-9823
ASINC	AS2_scf7180000687085	ASIC000070	-	12863	13516	2	12863-12895:12968-13516
ASINC	AS2_scf7180000687130	ASIC000075	+	42	402	2	42-102:158-402
ASINC	AS2_scf7180000687172	ASIC000085	-	47372	48598	1	47372-48598
ASINC	AS2_scf7180000687172	ASIC000086	+	49419	49952	1	49419-49952
ASINC	AS2_scf7180000687172	ASIC000087	-	52488	52829	1	52488-52829
ASINC	AS2_scf7180000687172	ASIC000088	-	54036	54801	2	54036-54272:54646-54801
ASINC	AS2_scf7180000687172	ASIC000089	+	62799	69417	6	62799-62895:63507-63694:63765-63951:65514-66245:68907-69008:69083-69417
ASINC	AS2_scf7180000687172	ASIC000090	+	76105	79741	6	76105-76645:76714-76901:76981-77128:78675-78884:78986-79183:79305-79741
ASINC	AS2_scf7180000687172	ASIC000091	+	82492	85277	5	82492-82741:82828-82964:83884-84054:84131-84533:84607-85277
ASINC	AS2_scf7180000687172	ASIC000092	+	88807	90536	4	88807-88824:88866-89297:89364-90138:90211-90536
ASINC	AS2_scf7180000687172	ASIC000093	-	92029	93039	2	92029-92682:92971-93039
ASINC	AS2_scf7180000687172	ASIC000094	-	118274	118845	3	118274-118290:118370-118519:118716-118845
ASINC	AS2_scf7180000687172	ASIC000095	+	19294	21583	3	19294-19452:19525-19693:21066-21583
ASINC	AS2_scf7180000687172	ASIC000096	+	23186	23656	1	23186-23656
ASINC	AS2_scf7180000687172	ASIC000097	+	27035	27505	1	27035-27505
ASINC	AS2_scf7180000687172	ASIC000098	+	30285	30485	1	30285-30485
ASINC	AS2_scf7180000687172	ASIC000099	+	32646	33847	2	32646-33180:33648-33847
ASINC	AS2_scf7180000687172	ASIC000100	+	36457	37503	2	36457-37059:37402-37503
ASINC	AS2_scf7180000687172	ASIC000101	+	41245	44692	4	41245-41274:42719-44000:44267-44303:44383-44692
ASINC	AS2_scf7180000687438	ASIC000141	-	26675	27780	2	26675-26970:27618-27780
ASINC	AS2_scf7180000687438	ASIC000143	+	124554	124871	1	124554-124871
ASINC	AS2_scf7180000687438	ASIC000144	-	125458	126733	2	125458-125653:125727-126733
ASINC	AS2_scf7180000687438	ASIC000145	-	137135	137284	1	137135-137284
ASINC	AS2_scf7180000687438	ASIC000146	-	30973	41453	4	30973-32576:32648-32805:37718-41233:41314-41453
ASINC	AS2_scf7180000687438	ASIC000147	-	49133	49378	1	49133-49378
ASINC	AS2_scf7180000687438	ASIC000148	-	61139	61420	1	61139-61420
ASINC	AS2_scf7180000687438	ASIC000150	-	88738	89046	1	88738-89046
ASINC	AS2_scf7180000687438	ASIC000151	+	110349	110711	1	110349-110711
ASINC	AS2_scf7180000687438	ASIC000152	-	115607	118661	8	115607-115707:115793-116159:116240-116349:116411-116486:116567-116662:116753-117331:117406-117781:117844-118661
ASINC	AS2_scf7180000687462	ASIC000158	-	5896	6776	2	5896-6567:6675-6776
ASINC	AS2_scf7180000687462	ASIC000159	-	76679	78599	3	76679-76743:76800-78422:78491-78599
ASINC	AS2_scf7180000687462	ASIC000160	-	80473	83721	4	80473-80915:82473-82704:82785-82938:83642-83721
ASINC	AS2_scf7180000687462	ASIC000161	-	88293	89790	2	88293-88814:89707-89790
ASINC	AS2_scf7180000687462	ASIC000162	-	90984	101169	2	90984-91490:100861-101169
ASINC	AS2_scf7180000687462	ASIC000163	+	108792	111320	5	108792-108866:108928-109110:109192-109473:109561-110022:111276-111320
ASINC	AS2_scf7180000687462	ASIC000164	-	112615	114112	5	112615-112632:112884-113345:113419-113724:113793-113975:114038-114112
ASINC	AS2_scf7180000687462	ASIC000165	-	114884	115851	4	114884-114951:115012-115284:115358-115517:115579-115851
ASINC	AS2_scf7180000687462	ASIC000166	+	117358	118537	5	117358-117443:117486-117657:117721-117899:117956-118228:118405-118537
ASINC	AS2_scf7180000687462	ASIC000167	+	119647	121923	3	119647-119746:120463-120525:121760-121923
ASINC	AS2_scf7180000687462	ASIC000168	+	128981	134734	6	128981-129449:130454-130752:130929-131033:131247-131388:133598-134202:134276-134734
ASINC	AS2_scf7180000687462	ASIC000169	-	15785	16789	3	15785-16085:16161-16317:16447-16789
ASINC	AS2_scf7180000687462	ASIC000170	-	22520	24480	4	22520-22879:22954-23281:23344-24076:24135-24480
ASINC	AS2_scf7180000687462	ASIC000171	-	25708	32153	5	25708-26067:30271-30598:30667-31417:31505-31878:31951-32153
ASINC	AS2_scf7180000687462	ASIC000172	-	34894	35420	3	34894-34993:35173-35300:35340-35420
ASINC	AS2_scf7180000687462	ASIC000173	+	41395	41829	1	41395-41829
ASINC	AS2_scf7180000687462	ASIC000174	+	44743	46261	2	44743-45621:45686-46261
ASINC	AS2_scf7180000687462	ASIC000175	+	59438	59659	1	59438-59659
ASINC	AS2_scf7180000687470	ASIC000179	+	5089	5562	1	5089-5562
ASINC	AS2_scf7180000687470	ASIC000180	+	15913	16137	1	15913-16137
ASINC	AS2_scf7180000687470	ASIC000181	+	23972	28338	8	23972-24041:24104-24232:24292-24540:24603-24770:25963-26445:26534-27016:27757-28239:28319-28338
ASINC	AS2_scf7180000687533	ASIC000196	+	5618	5878	1	5618-5878
ASINC	AS2_scf7180000687554	ASIC000200	+	5148	5648	1	5148-5648
ASINC	AS2_scf7180000687555	ASIC000202	+	1453	1623	1	1453-1623
ASINC	AS2_scf7180000687555	ASIC000203	+	48263	48562	1	48263-48562
ASINC	AS2_scf7180000687555	ASIC000204	+	49160	49645	1	49160-49645
ASINC	AS2_scf7180000687555	ASIC000205	+	58956	59465	1	58956-59465
ASINC	AS2_scf7180000687555	ASIC000206	+	3476	3742	1	3476-3742
ASINC	AS2_scf7180000687555	ASIC000207	+	4362	5850	2	4362-4431:5675-5850
ASINC	AS2_scf7180000687555	ASIC000208	+	10689	11303	1	10689-11303
ASINC	AS2_scf7180000687555	ASIC000209	+	12537	12746	1	12537-12746
ASINC	AS2_scf7180000687555	ASIC000210	+	15686	15871	1	15686-15871
ASINC	AS2_scf7180000687555	ASIC000211	+	32027	32563	1	32027-32563
ASINC	AS2_scf7180000687555	ASIC000212	+	33791	34099	1	33791-34099
ASINC	AS2_scf7180000687597	ASIC000218	+	46566	46757	1	46566-46757
ASINC	AS2_scf7180000687597	ASIC000219	+	56842	57039	1	56842-57039
ASINC	AS2_scf7180000687597	ASIC000220	+	9862	10395	2	9862-10032:10309-10395
ASINC	AS2_scf7180000687597	ASIC000221	-	11171	11850	2	11171-11427:11712-11850
ASINC	AS2_scf7180000687597	ASIC000222	-	18509	18817	1	18509-18817
ASINC	AS2_scf7180000687597	ASIC000223	+	27862	28125	1	27862-28125
ASINC	AS2_scf7180000687597	ASIC000224	+	29089	29460	1	29089-29460
ASINC	AS2_scf7180000687597	ASIC000225	+	30442	30855	1	30442-30855
ASINC	AS2_scf7180000687597	ASIC000226	+	35274	35471	1	35274-35471
ASINC	AS2_scf7180000687632	ASIC000234	-	11919	14031	3	11919-12120:12433-13423:13779-14031
ASINC	AS2_scf7180000687745	ASIC000258	-	5247	5603	1	5247-5603
ASINC	AS2_scf7180000687748	ASIC000261	-	11602	13159	2	11602-11967:12797-13159
ASINC	AS2_scf7180000687748	ASIC000263	+	26952	31711	6	26952-27158:28821-29064:30337-30717:30785-30923:30995-31373:31439-31711
ASINC	AS2_scf7180000687748	ASIC000264	-	34912	35566	2	34912-35364:35435-35566
ASINC	AS2_scf7180000687748	ASIC000265	-	37146	54022	10	37146-37237:37318-37511:37583-38031:38103-38636:38719-39232:39302-40119:40190-40397:41240-41580:41719-42043:53940-54022
ASINC	AS2_scf7180000687748	ASIC000266	-	63791	66590	3	63791-64129:65465-66149:66565-66590
ASINC	AS2_scf7180000687748	ASIC000267	-	73217	75091	6	73217-73550:73618-74033:74108-74236:74307-74540:74593-74780:74848-75091
ASINC	AS2_scf7180000687855	ASIC000283	+	4015	4956	1	4015-4956
ASINC	AS2_scf7180000687855	ASIC000284	-	5063	5694	2	5063-5225:5294-5694
ASINC	AS2_scf7180000687855	ASIC000285	-	6281	6511	1	6281-6511
ASINC	AS2_scf7180000687855	ASIC000286	-	7014	8504	1	7014-8504
ASINC	AS2_scf7180000687855	ASIC000287	+	11336	21163	8	11336-11474:11558-13082:15005-15163:15912-16215:16313-20129:20207-20784:20865-20990:21059-21163
ASINC	AS2_scf7180000688036	ASIC000321	-	2130	2435	1	2130-2435
ASINC	AS2_scf7180000688036	ASIC000322	+	3110	3718	2	3110-3587:3645-3718
ASINC	AS2_scf7180000688036	ASIC000323	+	18028	18301	2	18028-18044:18112-18301
ASINC	AS2_scf7180000688040	ASIC000326	-	10378	10707	1	10378-10707
ASINC	AS2_scf7180000688040	ASIC000327	+	51010	51639	1	51010-51639
ASINC	AS2_scf7180000688040	ASIC000328	+	53056	56032	6	53056-53130:53194-53353:53415-53671:53748-53880:54897-55420:55547-56032
ASINC	AS2_scf7180000688040	ASIC000329	+	56826	61528	5	56826-57524:59762-59882:60248-60356:60435-61245:61334-61528
ASINC	AS2_scf7180000688040	ASIC000330	+	62710	63301	4	62710-62770:62852-62904:62993-63028:63107-63301
ASINC	AS2_scf7180000688040	ASIC000331	+	22646	34536	7	22646-22783:23045-23208:23265-24292:27296-28684:33326-33433:33472-33756:33782-34536
ASINC	AS2_scf7180000688040	ASIC000332	+	37540	38037	1	37540-38037
ASINC	AS2_scf7180000688040	ASIC000333	+	38520	39455	1	38520-39455
ASINC	AS2_scf7180000688040	ASIC000334	-	39896	40378	2	39896-40102:40181-40378
ASINC	AS2_scf7180000688040	ASIC000335	-	41025	41207	1	41025-41207
ASINC	AS2_scf7180000688040	ASIC000337	+	42719	43874	3	42719-43059:43263-43572:43713-43874
ASINC	AS2_scf7180000688071	ASIC000342	+	6630	7089	2	6630-6811:6849-7089
ASINC	AS2_scf7180000688131	ASIC000355	+	12488	12839	3	12488-12541:12653-12675:12743-12839
ASINC	AS2_scf7180000688131	ASIC000356	-	24695	24910	1	24695-24910
ASINC	AS2_scf7180000688186	ASIC000369	+	16819	17046	1	16819-17046
ASINC	AS2_scf7180000688186	ASIC000370	-	30140	32093	2	30140-30411:31961-32093
ASINC	AS2_scf7180000688222	ASIC000375	+	3993	4883	1	3993-4883
ASINC	AS2_scf7180000688228	ASIC000380	+	7392	7568	1	7392-7568
ASINC	AS2_scf7180000688228	ASIC000381	+	10791	11180	1	10791-11180
ASINC	AS2_scf7180000688228	ASIC000382	-	29532	30026	1	29532-30026
ASINC	AS2_scf7180000688244	ASIC000386	-	12867	13718	2	12867-13155:13249-13718
ASINC	AS2_scf7180000688244	ASIC000387	+	25899	31442	4	25899-25950:26013-27275:27355-27540:27607-31442
ASINC	AS2_scf7180000688244	ASIC000388	+	35411	36997	2	35411-35841:35908-36997
ASINC	AS2_scf7180000688244	ASIC000389	-	40699	41304	2	40699-41061:41194-41304
ASINC	AS2_scf7180000688244	ASIC000390	+	41311	42520	2	41311-41360:41425-42520
ASINC	AS2_scf7180000688253	ASIC000395	+	11662	12135	1	11662-12135
ASINC	AS2_scf7180000688253	ASIC000396	-	16944	18444	3	16944-17121:18046-18220:18294-18444
ASINC	AS2_scf7180000688253	ASIC000397	-	18626	47846	11	18626-18656:19672-19914:19986-20337:21296-23767:23833-24171:26070-26414:26975-27290:36490-36717:39057-39211:47457-47702:47780-47846
ASINC	AS2_scf7180000688253	ASIC000398	-	53328	53522	1	53328-53522
ASINC	AS2_scf7180000688253	ASIC000399	+	59634	60129	2	59634-59639:59911-60129
ASINC	AS2_scf7180000688253	ASIC000400	+	62166	62402	1	62166-62402
ASINC	AS2_scf7180000688282	ASIC000405	-	16052	16398	2	16052-16212:16326-16398
ASINC	AS2_scf7180000688282	ASIC000406	+	17999	18223	1	17999-18223
ASINC	AS2_scf7180000688282	ASIC000407	-	20117	20651	2	20117-20390:20470-20651
ASINC	AS2_scf7180000688300	ASIC000414	+	90	851	2	90-295:359-851
ASINC	AS2_scf7180000688358	ASIC000427	+	28501	28780	2	28501-28674:28724-28780
ASINC	AS2_scf7180000688499	ASIC000445	-	869	1779	2	869-1118:1190-1779
ASINC	AS2_scf7180000688571	ASIC000455	+	9910	10185	1	9910-10185
ASINC	AS2_scf7180000688571	ASIC000456	+	16305	16550	1	16305-16550
ASINC	AS2_scf7180000688722	ASIC000479	-	34	579	1	34-579
ASINC	AS2_scf7180000688775	ASIC000488	+	11955	12351	2	11955-12183:12263-12351
ASINC	AS2_scf7180000688775	ASIC000489	+	16493	16729	1	16493-16729
ASINC	AS2_scf7180000688814	ASIC000498	-	20398	21322	3	20398-20439:20867-20962:21101-21322
ASINC	AS2_scf7180000688816	ASIC000500	-	3370	5627	2	3370-3639:5577-5627
