#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_arabiensis	KB704125	AARA007235	+	981	2041	3	981-1412:1749-1853:1931-2041
Anopheles_arabiensis	KB704125	AARA007236	-	4177	5229	2	4177-4774:5216-5229
Anopheles_arabiensis	KB704125	AARA007237	+	7985	8551	1	7985-8551
Anopheles_arabiensis	KB704125	AARA007238	-	16085	32677	15	16085-16258:16350-16559:16631-16780:16855-17025:17104-17259:17324-18082:19298-19426:22365-23435:26608-26821:27870-28225:31148-31378:31475-31691:31764-31875:31946-32188:32275-32677
Anopheles_arabiensis	KB704125	AARA014633	-	63062	65641	2	63062-63069:65560-65641
Anopheles_arabiensis	KB704125	AARA007239	-	72391	75777	4	72391-72693:72772-72975:73060-73161:75673-75777
Anopheles_arabiensis	KB704125	AARA007240	+	154411	162274	6	154411-154475:155017-155238:155515-155748:155826-159085:160194-160667:161082-162274
Anopheles_arabiensis	KB704125	AARA007241	-	213163	215663	3	213163-213262:213403-213752:213816-215663
Anopheles_arabiensis	KB704125	AARA007242	-	240186	240941	2	240186-240396:240895-240941
Anopheles_arabiensis	KB704125	AARA007243	-	254487	255530	1	254487-255530
Anopheles_arabiensis	KB704125	AARA007244	+	354488	355557	2	354488-355222:355303-355557
Anopheles_arabiensis	KB704125	AARA014634	-	393690	394131	2	393690-393784:393936-394131
Anopheles_arabiensis	KB704125	AARA007245	+	395878	399445	4	395878-396843:396909-397253:397326-398154:399159-399445
Anopheles_arabiensis	KB704125	AARA007246	-	399598	401764	3	399598-400380:400442-400616:400698-401764
Anopheles_arabiensis	KB704125	AARA007247	+	412143	413166	2	412143-412160:412585-413166
Anopheles_arabiensis	KB704125	AARA007248	+	447475	448370	3	447475-447588:447853-447993:448098-448370
Anopheles_arabiensis	KB704125	AARA007249	+	452563	456459	3	452563-452583:455001-455169:455240-456459
Anopheles_arabiensis	KB704125	AARA007250	-	459201	460273	2	459201-459377:460235-460273
