scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_008662825.1	+	NW_008668733.1	+	52.6207561493	0.349284835306	0.8	5
NW_008689407.1	+	NW_008672517.1	+	-482.762253761	0.145990218498	0.8	5
NW_008683768.1	+	NW_008653930.1	-	-350.891555786	0.0856007294253	0.5	6
NW_008683768.1	+	NW_008672509.1	-	-641.25835228	0.215486710286	0.6	5
NW_008683768.1	+	NW_008681204.1	-	-632.948101997	0.0408553434967	0.857142857143	7
NW_008655690.1	-	NW_008669832.1	+	351.349594116	0.132268349418	0.714285714286	7
NW_008657337.1	+	NW_008687516.1	+	-656.203269958	0.0984565110615	0.4	5
NW_008656704.1	-	NW_008702756.1	+	45.0563049316	0.304866905096	0.90625	32
NW_008682875.1	-	NW_008703069.1	+	178.17855072	0.323168371455	0.909090909091	22
NW_008677547.1	+	NW_008675577.1	-	-546.04445982	0.12404617087	0.571428571429	14
NW_008677547.1	+	NW_008677066.1	-	-0.261891365051	0.0768802833968	0.571428571429	7
NW_008677547.1	+	NW_008652815.1	-	-6.79906320572	0.629834062311	0.636363636364	11
NW_008677547.1	+	NW_008669986.1	-	-181.500846386	0.733304829484	0.464285714286	28
NW_008677547.1	+	NW_008690004.1	-	-295.386455536	0.0759315872232	0.571428571429	7
NW_008677547.1	+	NW_008687548.1	-	-450.140526772	0.715427554925	0.619047619048	21
NW_008677547.1	+	NW_008652036.1	-	-172.131004333	0.993187205894	0.717948717949	39
NW_008677547.1	+	NW_008680839.1	+	-432.560431004	0.075752380621	0.571428571429	7
NW_008677547.1	+	NW_008673055.1	+	-191.852745533	0.79770353696	0.275862068966	29
NW_008677547.1	+	NW_008657392.1	-	17.0546524525	0.63895633809	0.583333333333	12
NW_008677547.1	+	NW_008659424.1	-	-545.862515926	0.7305229099	0.433333333333	30
NW_008677547.1	+	NW_008659562.1	+	-397.03313446	0.0757913837517	0.571428571429	7
NW_008677547.1	+	NW_008659870.1	-	-402.335468769	0.889376472656	0.6	5
NW_008703541.1	+	NW_008650533.1	+	242.221954346	0.131151142168	0.75	8
NW_008662988.1	+	NW_008677300.1	+	-169.951404572	0.15226021053	0.833333333333	6
NW_008662988.1	+	NW_008677851.1	+	-253.437570572	0.13331010476	0.8	5
NW_008668138.1	-	NW_008652222.1	-	-303.761299133	0.36917267686	0.666666666667	9
NW_008674208.1;NW_008703044.1;NW_008688098.1	-;-;-	NW_008654820.1	-	-577.009834766	0.0847229231481	0.8	5
NW_008684545.1	+	NW_008656560.1	+	111.789802551	0.0824780595426	0.857142857143	7
NW_008684545.1	+	NW_008665096.1	-	178.118400574	0.0799305986491	0.818181818182	11
