scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_008795316.1	+	NW_008795687.1	-	444.585806116	0.521607834533	0.764705882353	17
NW_008795137.1;NW_008794754.1	+;+	NW_008795520.1;NW_008794117.1	+;+	122.891147077	0.526402110661	0.888888888889	27
NW_008795033.1	+	NW_008795333.1;NW_008797374.1;NW_008796167.1;NW_008794745.1;NW_008795323.1;NW_008803402.1;NW_008800782.1;NW_008797327.1;NW_008802522.1;NW_008796311.1;NW_008795685.1;NW_008800856.1;NW_008803910.1;NW_008795689.1;NW_008794161.1	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1891.94688516	0.484539009617	0.428571428571	7
NW_008795702.1	+	NW_008794451.1;NW_008804407.1;NW_008803588.1;NW_008799674.1;NW_008801956.1;NW_008802531.1;NW_008803946.1;NW_008797222.1;NW_008803823.1;NW_008803540.1;NW_008801646.1;NW_008801212.1;NW_008795244.1;NW_008796165.1;NW_008794085.1	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3031.59038144	0.416466217278	0.818181818182	11
NW_008794432.1	-	NW_008795375.1	-	-3552.4306258	0.784747253424	0.727272727273	11
NW_008796210.1;NW_008799884.1;NW_008803247.1;NW_008802126.1;NW_008801959.1;NW_008802723.1;NW_008803964.1;NW_008803897.1;NW_008802046.1;NW_008803323.1;NW_008800491.1;NW_008799956.1;NW_008804131.1;NW_008802069.1;NW_008803795.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	NW_008804291.1;NW_008801024.1;NW_008804008.1;NW_008802999.1;NW_008802899.1;NW_008803546.1;NW_008804176.1;NW_008802720.1;NW_008803966.1;NW_008802860.1;NW_008801008.1;NW_008804427.1;NW_008803885.1;NW_008803945.1;NW_008796164.1;NW_008799624.1;NW_008800729.1;NW_008798493.1;NW_008801068.1;NW_008803055.1;NW_008804432.1;NW_008803913.1;NW_008802072.1;NW_008803524.1;NW_008803625.1;NW_008796934.1;NW_008799945.1;NW_008795754.1;NW_008803040.1;NW_008804406.1;NW_008803982.1;NW_008802864.1;NW_008800109.1;NW_008800060.1;NW_008795639.1;NW_008804296.1;NW_008802496.1;NW_008804356.1;NW_008803094.1;NW_008803506.1;NW_008803698.1;NW_008804063.1;NW_008804449.1;NW_008804521.1;NW_008804260.1;NW_008803804.1;NW_008804294.1;NW_008802124.1;NW_008803856.1;NW_008804147.1;NW_008802800.1;NW_008804103.1;NW_008803115.1;NW_008801050.1;NW_008802770.1;NW_008798921.1;NW_008802281.1;NW_008804352.1;NW_008803702.1;NW_008804244.1;NW_008797990.1;NW_008803981.1;NW_008797928.1;NW_008800854.1;NW_008804092.1;NW_008801964.1;NW_008802272.1;NW_008802582.1;NW_008803422.1;NW_008796055.1;NW_008800984.1;NW_008797519.1;NW_008801718.1;NW_008801966.1;NW_008796464.1;NW_008801474.1;NW_008802397.1;NW_008802842.1;NW_008796817.1;NW_008802401.1;NW_008794093.1	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	-75.0374402255	0.58739747915	0.917910447761	134
NW_008795914.1;NW_008795887.1;NW_008803896.1;NW_008803390.1;NW_008798953.1;NW_008794231.1;NW_008798546.1;NW_008794934.1;NW_008797733.1;NW_008795722.1;NW_008794443.1;NW_008794082.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_008795396.1	-	2340.22876967	0.0580114605926	0.52380952381	21
NW_008796213.1;NW_008804316.1;NW_008804536.1;NW_008804245.1;NW_008804454.1;NW_008803160.1;NW_008804095.1;NW_008799257.1;NW_008802786.1;NW_008798980.1;NW_008804425.1;NW_008803509.1;NW_008800251.1;NW_008803005.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-	NW_008795046.1	+	-8588.41046057	0.697490977907	0.8	25
NW_008794233.1	+	NW_008796198.1;NW_008796625.1;NW_008796431.1;NW_008800894.1;NW_008798255.1;NW_008798998.1;NW_008798576.1;NW_008797526.1;NW_008800499.1	-;-;-;-;-;-;-;-;-	-1546.74060434	0.510768125313	0.210526315789	19
NW_008795140.1;NW_008800359.1;NW_008802361.1;NW_008802822.1;NW_008804114.1;NW_008804138.1;NW_008796186.1;NW_008794743.1;NW_008795371.1;NW_008794427.1	-;-;-;-;-;-;-;-;-;-	NW_008795408.1	+	28.5456640348	0.574202370663	0.9	50
NW_008794952.1;NW_008795022.1	+;+	NW_008795523.1;NW_008795554.1	-;-	6341.76533177	0.98272830416	0.5	6
NW_008795030.1	-	NW_008796077.1;NW_008796212.1;NW_008795327.1	+;+;+	395.84810707	0.490529490237	0.848484848485	33
NW_008795372.1;NW_008794742.1;NW_008794640.1;NW_008795125.1	+;+;+;+	NW_008795922.1;NW_008794232.1	+;+	-2644.4596668	0.585522958952	0.72	50
NW_008796207.1	+	NW_008795248.1	-	1513.59915102	0.716428164403	0.875	32
