scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB673579	-	KB672928	+	-1871.38016328	0.564766219247	0.285714285714	7
KB672939	+	KB672821	+	-1867.38016328	0.491425382203	0.714285714286	7
KB672939	+	KB672937	+	-4864.38016328	0.245758540675	0.666666666667	3
KB672821	+	KB672873	-	11.2983365879	0.76584851691	0.461538461538	13
KB672821	+	KB673119	-	-1454.38016328	0.493754907965	0.652173913043	23
KB672821	+	KB673162	-	-1062.8658428	0.807380472595	0.333333333333	3
KB672821	+	KB673091	+	-4154.38016328	0.110152732543	0.666666666667	3
KB672821	+	KB673435	-	-479.548874128	0.653455411571	0.75	8
KB672821	+	KB672985	+	-2653.38016328	0.239218809854	0.666666666667	3
KB673535	+	KB672713	+	-4279.38016328	0.00396636106111	0.5	6
KB673535	+	KB673424	+	343.162130145	0.00865966795869	0.5	24
KB673535	+	KB672989	+	-4952.38016328	0.00371723864418	0.5	8
KB673535	+	KB672945	+	-3801.38016328	0.00939511858964	0.5	24
KB673246	-	KB672830	-	412.973992563	0.524375614448	0.666666666667	3
KB672881	+	KB673303	+	-367	0.668599434017	0.25	12
KB672881	+	KB672988	-	3484.73217194	0.00330760547707	0.333333333333	3
KB673295	+	KB672861	+	-2729.38016328	0.145432847683	0.7	10
KB673295	+	KB673091	+	-3311.38016328	0.0207512516861	0.666666666667	3
KB673295	+	KB673357	+	392.08905479	0.966985616501	0.333333333333	3
KB672838	-	KB673055	+	-3294.38016328	0.866597199066	0.5	4
KB672838	-	KB673119	-	-4499.38016328	0.366682094544	0.714285714286	7
KB672838	-	KB672830	+	-1026.61449258	0.668099515903	0.75	4
KB672838	-	KB672805	-	-2921.38016328	0.0605367907074	0.666666666667	3
KB672894	+	KB673205	+	2144.68972377	0.22343091062	0.333333333333	3
KB672894	+	KB672953	-	-735	0.490396576145	0.3	10
KB672894	+	KB673236	+	-702	0.505759670406	0.452380952381	42
KB672894	+	KB673236	-	-738	0.376837989896	0.5	4
KB672894	+	KB673361	-	-4982.38016328	0.21051739627	0.333333333333	3
KB672894	+	KB672941	-	-3352.38016328	0.120654178676	0.333333333333	3
KB672894	+	KB672984	-	4600	0.924470820329	0.166666666667	6
KB672894	+	KB672953	+	-4260.38016328	0.37609432058	0.6	5
KB673534	+	KB672976	+	-4393.38016328	0.512953631113	0.666666666667	3
KB673534	+	KB672802	-	1471	0.524911355988	0.285714285714	7
KB673534	+	KB672867	+	5379	0.860503391121	0.333333333333	3
KB673037	-	KB673002	+	-2112.38016328	0.298859940141	0.5	4
KB673106	-	KB672988	-	785.256409677	0.726298997863	0.636363636364	11
KB673106	-	KB673679	+	-1182.45594461	0.600014990138	0.714285714286	14
KB673106	-	KB672906	+	-1883.38016328	0.407191938304	0.5	4
KB673021	-	KB673022	+	-3489.38016328	0.707343397493	0.75	8
KB672883	-	KB673042	+	-2147.38016328	0.304508492948	0.833333333333	6
KB672883	-	KB672937	-	-1801.38016328	0.551836440173	0.473684210526	19
KB672883	-	KB673712	+	-2380.38016328	0.525697469694	0.333333333333	3
KB673158	-	KB672942	-	-1724.38016328	0.691140694563	0.5	4
KB673158	-	KB673113	-	-3259.38016328	0.625304194933	0.705882352941	17
KB673158	-	KB672691	+	999.815609341	0.469077098752	0.5	4
KB673158	-	KB672942	+	-4592.38016328	0.481688163272	0.5	4
KB673029	+	KB673284	-	-4479.38016328	0.101111368889	0.666666666667	3
KB673019	-	KB672942	+	-4736.38016328	0.370124396595	0.5	4
KB673068	+	KB673435	-	1498.77720388	0.503607463209	0.516129032258	31
KB673068	+	KB672831	-	-4762.38016328	0.159247119649	0.4	5
KB673068	+	KB673122	+	-3563.38016328	0.200986784171	0.428571428571	7
KB673068	+	KB673162	-	446.283488733	0.392290249723	0.48	25
KB673068	+	KB673229	+	-899.358670869	0.438374237478	0.333333333333	3
KB673068	+	KB673162	+	-2741.38016328	0.79664064421	0.384615384615	13
KB673068	+	KB672883	-	-3418.38016328	0.937006675721	0.333333333333	3
KB673068	+	KB672830	+	4192.04671971	0.371024315619	0.333333333333	3
KB673068	+	KB673229	-	2232.63074209	0.632384714874	0.5	8
KB673068	+	KB673295	+	-4117.38016328	0.167819256132	0.555555555556	9
KB672802	+	KB672882	-	-4140.38016328	0.421762995675	0.2	5
KB672802	+	KB672976	-	474	0.561928964611	0.333333333333	9
KB673026	+	KB673113	+	502.891706435	0.970642361162	0.333333333333	3
KB673026	+	KB673679	-	-218.071435941	0.809832914299	0.6	10
KB673026	+	KB672893	-	-3370.38016328	0.323433876016	0.6	5
KB673026	+	KB672932	-	111.969065518	0.524615607188	0.25	4
KB673026	+	KB672830	-	-231.070274975	0.997563409217	0.166666666667	6
KB673090	+	KB673282	+	-2768.38016328	0.757506281932	0.25	4
KB672809	-	KB672811	-	-4572.38016328	0.0679904770296	0.75	4
KB672917	+	KB673229	+	-2549.38016328	0.615634910258	0.666666666667	3
KB672971	-	KB673303	+	-4862.38016328	0.335794016759	0.333333333333	3
KB672888	+	KB672932	-	-4207.38016328	0.383948335506	0.75	4
KB672888	+	KB673557	+	562.752150399	0.503939436112	0.571428571429	7
KB672888	+	KB672851	+	1930.18741296	0.491519027328	0.333333333333	3
KB672870	-	KB673102	-	4469.21370358	0.00654485446995	0.545454545455	22
KB672870	-	KB672876	+	-4689.38016328	0.00607173135948	0.5	8
KB672870	-	KB672954	+	-941.178163014	0.00725710702904	0.5	8
KB673161	-	KB673303	+	-2506.38016328	0.301877434586	0.4	5
KB673161	+	KB673303	-	-2481.38016328	0.0515513969678	0.333333333333	3
KB673161	+	KB673119	-	-4449.38016328	0.226297320879	0.25	4
KB673177	+	KB673130	-	-3141.38016328	0.554356908825	0.6875	16
KB673024	-	KB672942	-	-2776.38016328	0.829696461975	0.4	10
KB672876	-	KB672954	+	-5169.38016328	0.0555481618264	0.28	25
KB672876	-	KB673102	-	-3880.38016328	0.045540397801	0.205128205128	39
KB672876	-	KB673016	-	-4451.38016328	0.481605020583	0.472222222222	72
KB672876	-	KB673119	+	-3502.38016328	0.160432807352	0.666666666667	3
KB672876	-	KB672944	+	-4663.38016328	0.0506784726673	0.428571428571	7
KB673395	+	KB672851	+	4493.09573236	0.290735317015	0.375	8
KB673395	+	KB672830	+	460.934839324	0.136981604807	0.333333333333	3
KB672984	-	KB673117	-	-3458.38016328	0.264582994713	0.333333333333	3
KB672926	-	KB672885	+	-3479.38016328	0.186844523044	0.333333333333	3
KB672926	-	KB672837	+	-2782.38016328	0.96278347089	0.4	5
KB672871	+	KB672818	-	-2503.38016328	0.278192915364	0.666666666667	3
KB672871	+	KB672794	-	4689.41411848	0.0891399818831	0.5	4
KB672871	+	KB673075	+	294.625476031	0.871737253043	0.125	8
KB672988	+	KB673513	-	-256	0.42509041153	0.375	8
KB672988	+	KB673303	-	-4044.38016328	0.264562916028	0.333333333333	3
KB672988	+	KB673435	-	-3205.38016328	0.583562661873	0.2	5
KB672808	-	KB672647	-	2.65938655255	0.176884007354	0.5	4
KB672808	-	KB672944	+	-3802.38016328	0.154496848604	0.333333333333	3
KB673199	-	KB672958	-	-4598.38016328	0.122915595203	0.666666666667	3
KB672838	+	KB672956	+	-4999.38016328	0.0610984990866	0.25	4
KB672838	+	KB672883	-	-3482.38016328	0.816630656905	0.4	5
KB672838	+	KB672845	+	-4991.38016328	0.246293146528	0.333333333333	3
KB672885	+	KB672884	-	4943.41620733	0.0883255305748	0.428571428571	7
KB672885	+	KB672910	+	31.6189062535	0.900551026546	0.545454545455	11
KB672885	+	KB673012	+	-2611.38016328	0.471542239144	0.6	5
KB672885	+	KB672928	+	-855.380163282	0.413361814599	0.52380952381	21
KB672885	+	KB673143	+	-3465.38016328	0.419544252754	0.2	5
KB673712	-	KB672937	-	-2194.38016328	0.7187886042	0.25	4
KB673679	+	KB673000	+	-3583.38016328	0.606333523803	0.636363636364	11
KB673679	+	KB672736	+	4899.59203438	0.105295340301	0.333333333333	3
KB673679	+	KB673026	+	-4234.38016328	0.32295247442	0.333333333333	3
KB673679	+	KB672893	-	-1877.38016328	0.332307659068	0.25	4
KB673679	+	KB672834	+	1098.11469446	0.563345920757	0.333333333333	3
KB673679	+	KB672851	+	-717	0.610687122767	0.4	10
KB673679	+	KB673016	+	-1741.38016328	0.857079088256	0.5	4
KB673679	+	KB672879	-	-1051.89991759	0.53606068484	0.25	4
KB673679	+	KB673000	-	-5082.38016328	0.13747747888	0.666666666667	3
KB672827	+	KB672984	-	-3758.38016328	0.739829490036	0.625	8
KB673118	+	KB672851	+	-599.133372376	0.430693474938	0.75	4
KB673303	-	KB673119	+	-4156.38016328	0.269753222592	0.333333333333	3
KB673303	-	KB673513	-	-127	0.498455190606	0.142857142857	7
KB673303	-	KB673119	-	-2144.38016328	0.412065613281	0.803278688525	61
KB673303	-	KB673130	+	1034	0.351875558309	0.5	4
KB673303	-	KB672988	+	-3239.38016328	0.271775257411	0.416666666667	12
KB672758	-	KB672851	+	-4046.38016328	0.410598106371	0.571428571429	35
KB673130	-	KB672514	+	1212.65182623	0.26271459298	0.666666666667	3
KB672842	+	KB672936	-	-4465.38016328	0.0179283227	0.333333333333	3
KB672897	+	KB673379	-	-3496.38016328	0.395830235461	0.5	4
KB673379	-	KB672830	+	-1842.24620418	0.320386507025	0.6	5
KB673379	-	KB673154	+	-4634.38016328	0.0438817088951	0.666666666667	3
KB672932	+	KB672818	+	-5079.38016328	0.174487133736	0.8	5
KB673078	-	KB672890	-	1183.41701204	0.356563053861	0.666666666667	3
KB672669	+	KB673298	+	-2657.38016328	0.775747405081	0.571428571429	7
KB672669	+	KB673082	-	-2805.38016328	0.831217237274	0.4	5
KB672669	+	KB673082	+	-3888.38016328	0.858220126511	0.75	4
KB673284	+	KB673723	+	-4763.38016328	0.3735151622	0.5	4
KB673284	+	KB672909	-	-2367.38016328	0.855094421548	0.333333333333	3
KB673143	+	KB672819	+	-1365.38788562	0.768739482691	0.333333333333	3
KB673143	+	KB672928	+	-3697.38016328	0.416342001672	0.666666666667	9
