scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB665808	+	KB665792	+	510.625798603	0	1.0	3
KB665808	+	KB667832	-	7203	0	1.0	4
KB667441	-	KB667656	-	6670	0.645846940341	0.117647058824	17
KB667441	-	KB665606	+	5655	0.110658379124	0.6	5
KB667441	-	KB667511	-	-2115.67421753	0.00157752710503	0.5	6
KB667441	-	KB667567	-	5825	0.00157602387144	0.5	8
KB667441	-	KB668115	-	620.701030159	0	1.0	3
KB667441	-	KB668188	+	1510.87024234	0.00236222899922	0.5	10
KB667441	-	KB668033	-	6183	0.00253825380623	0.545454545455	11
KB667441	-	KB666066	-	1515.59995118	0.00123363386105	0.6	5
KB667441	-	KB667882	+	1630.41454748	0	1.0	7
KB667441	-	KB666212	+	6824	0.0421280344857	0.625	16
KB667441	-	KB667540	+	6552	0.0271641054075	0.333333333333	6
KB667441	-	KB667376	-	-93.761900152	0.00641926672875	0.48	25
KB667441	-	KB667704	+	5529	0.00430482585058	0.5	22
KB667441	-	KB665697	+	4924	0.0127777525675	0.333333333333	3
KB667441	-	KB668025	-	1407.93042425	0.946442066527	0.0588235294118	17
KB667441	-	KB665562	-	5637	0.105435170206	0.4	5
KB667441	-	KB665804	-	7441	0.0026937199021	0.333333333333	3
KB667441	-	KB667807	-	5013	0.13994762302	0.571428571429	7
KB667441	-	KB665444	+	7950.02741887	0.00552713465127	0.5	12
KB667441	-	KB667877	-	-2125.67421753	0.00353129222761	0.461538461538	13
KB667441	-	KB667513	-	6031	0.108077731903	0.230769230769	26
KB667441	-	KB667807	+	-2062.67421753	0.00458267893134	0.416666666667	12
KB667441	-	KB667702	-	1408.32424408	0.00168546472498	0.571428571429	7
KB667441	-	KB667099	+	6087	0.00386500107843	0.473684210526	19
KB667441	-	KB667642	+	4664	0.00254260063168	0.466666666667	15
KB667441	-	KB667891	+	-1058.18464694	0	1.0	3
KB667441	-	KB667468	+	5361	0.00448667159506	0.4	5
KB667441	-	KB665954	+	5462	0.00336389733296	0.5	18
KB667441	-	KB666212	-	1441.23078139	0.0653779392476	0.5	6
KB667441	-	KB667555	+	1507.76561154	0.0017785609721	0.5	8
KB667441	-	KB667684	-	751.618605209	0.00319325199482	0.461538461538	13
KB667441	-	KB667526	-	1327.24846667	0.00264584986618	0.333333333333	6
KB667441	-	KB667604	-	-1717.67421753	0.258848261593	0.333333333333	3
KB667441	-	KB665977	+	-1487.10239238	0.00483781755089	0.5	18
KB667441	-	KB667727	+	-1713.67421753	0.0036591247125	0.454545454545	11
KB667441	-	KB665717	+	1290.00075605	0.0611974413266	0.666666666667	3
KB667441	-	KB667604	+	7741	0.0042243424091	0.461538461538	13
KB667441	-	KB665503	-	496.64202078	0	1.0	5
KB667441	-	KB666577	-	-2732.67421753	0	1.0	5
KB667441	-	KB665888	-	-2500.67421753	0.256459304618	0.352941176471	17
KB667441	-	KB667434	+	-2376.67421753	0.00526072120818	0.5	20
KB667441	-	KB665477	+	-2982.67421753	0.00239951397772	0.555555555556	9
KB667441	-	KB665888	+	1512.75614594	0.00168546472498	0.571428571429	7
KB667441	-	KB667583	+	7886	0.184927575415	0.6	5
KB667441	-	KB667473	+	7486	0.00240188859206	0.5	6
KB667441	-	KB667399	+	6158	0.00272854085552	0.5	12
KB667441	-	KB667454	-	-1580.67421753	0.920921703886	0.333333333333	3
KB667441	-	KB667871	+	5465	0.00336389733296	0.5	18
KB667441	-	KB667287	+	10001	0.0104269329528	0.5	20
KB667441	-	KB665901	-	-123.530633536	0.46169697634	0.333333333333	3
KB667441	-	KB667559	-	-2312.67421753	0.569361711632	0.333333333333	3
KB667441	-	KB666132	+	6590	0.00445604102316	0.470588235294	17
KB667441	-	KB665674	-	3120.91759303	0.763355469145	0.395833333333	48
KB667441	-	KB665606	-	225.056765748	0.286307340566	0.333333333333	3
KB667441	-	KB668080	-	1450.05283354	0.00358108136736	0.466666666667	15
KB667441	-	KB667792	+	1319.22635083	0.124644081638	0.722222222222	18
KB667441	-	KB667706	+	-2.50495247267	0	1.0	4
KB667441	-	KB666321	+	-987.60506329	0.00199845202915	0.428571428571	7
KB667441	-	KB665399	+	-1209.74083592	0.00288755177971	0.444444444444	9
KB667441	-	KB668075	+	5390	0	1.0	3
KB667441	-	KB666799	+	1067.74835235	0.114815792179	0.212121212121	33
KB667441	-	KB667479	-	6407	0.00696312963321	0.51724137931	29
KB667441	-	KB667868	+	1053.35169168	0	1.0	3
KB667441	-	KB667815	-	6186	0.403920789031	0.2	5
KB667441	-	KB667696	-	936.700725895	0.173076345498	0.555555555556	9
KB667441	-	KB667565	-	8070	0.00279271997346	0.5	6
KB667441	-	KB667437	+	-18.5448230384	0.752601973976	0.4	5
