scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
scaffold598_size253585;scaffold78_size2932277	-;-	scaffold33_size2249538;scaffold92_size2296011	-;-	-6407.6220745	0.71413181007	0.642857142857	14
scaffold1262_size63281	+	scaffold11498_size11126;scaffold3567_size10648;scaffold995_size114199	+;+;+	-13300.990514	0.286116689366	0.5	6
scaffold1262_size63281	+	scaffold873_size220312;scaffold1348_size42938;scaffold6289_size21663	+;+;+	5367.27054369	0.904422736468	0.6	5
scaffold1262_size63281	+	scaffold10588_size9611;scaffold9705_size10599	-;-	-8488.72593451	0.0305635967404	0.444444444444	18
scaffold1262_size63281	+	scaffold19659_size9972;scaffold1694_size25136	-;-	-5066.76844764	0.616062742611	0.25	8
scaffold1262_size63281	+	scaffold2172_size31183	+	-8364.51497889	0.0247539037602	0.4	10
scaffold1262_size63281	+	scaffold76090_size6007;scaffold8541_size11037;scaffold2003_size24093	-;-;-	2149.84667611	0.320131302456	0.5	8
scaffold1262_size63281	+	scaffold459_size399023	-	-13245.6237902	0.875330882901	0.333333333333	9
scaffold2925_size19844	+	scaffold1647_size69038;scaffold1842_size49668	-;-	-4257.00106597	0.997343032772	0.666666666667	6
scaffold1617_size25974	-	scaffold2348_size30222	-	-11579.9800668	0.628671945164	0.666666666667	9
scaffold1191_size61286;scaffold2425_size12068;scaffold805_size148022	+;+;+	scaffold1171_size80912	-	-6825.21600235	0.432512156248	0.538461538462	13
scaffold3046_size38778	+	scaffold2053_size17832	-	-8943.31176329	0.789701973416	0.4	5
scaffold2901_size21971	+	scaffold2081_size49124	+	-7049.76391125	0.176502479347	0.4	5
scaffold2901_size21971	+	scaffold1525_size29264	-	-411.65755558	0.645334316452	0.6	5
scaffold2901_size21971	+	scaffold1551_size48020	+	-7391.07122326	0.723243915866	0.428571428571	7
scaffold2447_size28308;scaffold3294_size13006;scaffold4481_size11440	+;+;+	scaffold1755_size34135	+	-55.5033941269	0.74487825865	0.333333333333	6
scaffold214_size1313458	-	scaffold1638_size29299;scaffold910_size202622	-;-	-2148.11201724	0.737222010198	0.6	10
scaffold4258_size14640;scaffold2630_size12046	+;+	scaffold2096_size17031	-	1089.67073011	0.555869654648	0.75	8
scaffold2440_size25883	-	scaffold2483_size38921	-	-11759.7940564	0.887912225124	0.636363636364	11
scaffold2440_size25883	-	scaffold2914_size30445	+	-8760.89226198	0.978580372087	0.5	8
scaffold2440_size25883	-	scaffold7796_size18653;scaffold8745_size7445	-;-	-2311.55266809	0.470275183989	0.8	5
scaffold2440_size25883	-	scaffold2037_size16654;scaffold19406_size7001	+;+	-7410.97791767	0.815522733143	0.777777777778	9
scaffold2440_size25883	-	scaffold2914_size30445	-	-2212.06752825	0.704076494944	0.625	8
scaffold2440_size25883	-	scaffold2525_size32722	-	-13591.6173153	0.401763750445	0.6	5
scaffold1756_size39072	+	scaffold462_size373745	+	8007.90602922	0.214873093148	0.6	5
scaffold669_size256459;scaffold3827_size2980;scaffold244_size925794;scaffold4423_size4606;scaffold3485_size5883;scaffold238b_size1473648	+;+;+;+;+;+	scaffold238a_size460450	-	-433.187754154	0.667397495572	0.75	8
scaffold240b_size2140585	+	scaffold125b_size2114393	-	-3571.13361865	0.892850768714	0.5	6
scaffold240b_size2140585	+	scaffold2202_size13984;scaffold5217_size8252	-;-	-5374.40308233	0.512369220343	0.428571428571	7
scaffold240b_size2140585	+	scaffold695_size211825	-	1237.31103827	0.421828016867	0.285714285714	7
scaffold240b_size2140585	+	scaffold849_size136818	+	-2213.7353625	0.798483139185	0.6	5
scaffold3000_size9286;scaffold1054_size105344	+;+	scaffold1418_size56545	-	-13373.1782858	0.871923837627	0.625	8
scaffold2810_size26288;scaffold2541_size9870;scaffold2468_size18083	+;+;+	scaffold3860_size21289;scaffold2214_size26626	+;+	-6647.28195715	0.516148058282	0.5	6
scaffold2810_size26288;scaffold2541_size9870;scaffold2468_size18083	+;+;+	scaffold4232_size10017;scaffold3182_size11824	-;-	-6678.52933264	0.626453990478	0.571428571429	7
scaffold2810_size26288;scaffold2541_size9870;scaffold2468_size18083	+;+;+	scaffold3204_size5845;scaffold2133_size15085	+;+	-3999.99483538	0.863509054426	0.428571428571	7
scaffold2810_size26288;scaffold2541_size9870;scaffold2468_size18083	+;+;+	scaffold2373_size71556	-	-4651.58312178	0.528942095335	0.714285714286	7
scaffold2810_size26288;scaffold2541_size9870;scaffold2468_size18083	+;+;+	scaffold1691_size31338	-	-5953.31165123	0.704012646495	0.666666666667	6
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2483_size38921	-	-8275.63602877	0.455415193014	0.6	10
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2914_size30445	+	-6458.60060644	0.968955208883	0.636363636364	11
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold1610_size26243	-	-4865.39172697	0.38976695755	0.333333333333	6
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2037_size16654;scaffold19406_size7001	+;+	-4070.75728035	0.683599400062	0.545454545455	11
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold6421_size143548	-	-8433.585289	0.739062601783	0.4	5
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold3498_size24748	-	-9475.09720612	0.556985536316	0.5	6
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold3460_size17037;scaffold2669_size22666	-;-	-3554.97981834	0.452570582377	0.782608695652	23
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2525_size32722	-	-12315.7652216	0.44521895982	0.555555555556	9
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold10588_size9611;scaffold9705_size10599	-;-	-9242.41483736	0.689883536867	0.4	5
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2585_size22437	+	-6369.95005274	0.710055634274	0.428571428571	7
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold7611_size7754;scaffold5191_size9391;scaffold2223_size13655	+;+;+	-4417.89561176	0.693829059723	0.727272727273	11
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2367_size17011	-	-10354.5818319	0.484807786365	0.5	8
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold11085_size19800	+	-6773.55387497	0.0290467202346	0.4	5
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold1513_size29746	+	-2760.5803194	0.565011407631	0.5	6
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2029_size39090	+	-4673.76033688	0.844692297476	0.444444444444	9
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2467_size18651	+	-5640.29221249	0.178867264457	0.333333333333	6
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold6362_size16733	+	-6584.21743679	0.518010806772	0.571428571429	7
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold8745_size7445;scaffold7796_size18653	+;+	-10552.6306233	0.641989484074	0.769230769231	26
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2546_size30236;scaffold1636_size30956	+;+	-9049.20085478	0.920943676367	0.4	5
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold2154_size20168	+	-13265.6193333	0.0375641647079	0.2	5
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold1889_size23771	-	-8753.82118082	0.635745400183	0.375	8
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold4993_size8344;scaffold2129_size25304	-;-	-7284.31171227	0.788155051934	0.2	5
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold1654_size24998	+	-13030.9470396	0.583649933907	0.5	8
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold1337_size78811	-	-13505.4901931	0.124372857784	0.833333333333	6
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold995_size114199;scaffold3567_size10648;scaffold11498_size11126	-;-;-	-12962.4443839	0.0992227173349	0.6	5
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold1551_size48020	+	-4712.02795792	0.81696549511	0.631578947368	19
scaffold5217_size8252;scaffold2202_size13984	+;+	scaffold6485_size11189;scaffold1891_size43409	+;+	-5166.22299242	0.704252229072	0.625	8
scaffold1903_size41781	-	scaffold1509_size29905;scaffold2460_size18331;scaffold1738_size47455;scaffold3499_size4305;scaffold1797_size29848	+;+;+;+;+	-3288.11013031	0.541849182022	0.5	6
scaffold1308_size44928	-	scaffold1721_size55707	+	-369.848886013	0.134706043269	0.727272727273	11
scaffold1520_size32251	-	scaffold2277_size13091;scaffold3573_size4077;scaffold2002_size32155	-;-;-	-9836.3061223	0.650119758503	0.6	5
scaffold51381_size23440	-	scaffold2426_size16614	+	-13287.4325266	0.996006437292	0.4	10
scaffold342_size512379	+	scaffold316_size1112162	+	-5845.6727792	0.565159166639	0.4	5
scaffold1236_size76055	+	scaffold783_size353737	-	429.848507702	0.1975611961	0.666666666667	6
scaffold807_size143352	-	scaffold87b_size3211079;scaffold87a_size566947	-;-	2956.65665198	0.740273170455	0.5	10
scaffold807_size143352	-	scaffold4078_size5475;scaffold5517_size3171;scaffold1158_size76752	-;-;-	-10263.9486936	0.965650954458	0.8	5
scaffold807_size143352	-	scaffold1674_size41818	-	-2386.23193669	0.693567855474	0.714285714286	7
scaffold1085_size63135	-	scaffold1688_size55787	+	-4936.29761147	0.016802079053	0.4	5
scaffold1085_size63135	-	scaffold1572_size28157	+	-1317.58330488	0.613818630972	0.230769230769	13
scaffold1085_size63135	-	scaffold1965_size21672	-	-8106.05434132	0.89352003882	0.285714285714	7
scaffold1085_size63135	-	scaffold1734_size23131	+	6440.08730745	0.459060325508	0.444444444444	9
scaffold1783_size21978	-	scaffold1436_size41418	-	-9185.69778299	0.00672740675668	0.6	5
scaffold1783_size21978	-	scaffold1241_size55890	+	1010.4425683	0.941158671123	0.625	8
scaffold1783_size21978	-	scaffold1734_size23131	-	-10313.3174686	0.00672901484818	0.6	5
