#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_culicifacies	KI422610	ACUA000001	+	9123	9794	1	9123-9794
Anopheles_culicifacies	KI425482	ACUA000007	+	3080	5117	4	3080-3137:3977-4102:4526-4597:4996-5117
Anopheles_culicifacies	AXCM01000387	ACUA000014	-	7086	15586	9	7086-7308:7387-7601:9453-9490:10669-10963:12193-12353:12432-12577:12650-12738:12879-13031:15488-15586
Anopheles_culicifacies	AXCM01007180	ACUA000016	-	4877	6919	6	4877-5082:5165-5357:5435-5582:5662-6290:6403-6623:6871-6919
Anopheles_culicifacies	KI425325	ACUA000017	+	7024	10237	4	7024-7314:7436-7863:8346-8465:10003-10237
Anopheles_culicifacies	KI422473	ACUA000021	+	381	10495	2	381-432:10152-10495
Anopheles_culicifacies	AXCM01008396	ACUA000022	-	7249	9090	1	7249-9090
Anopheles_culicifacies	AXCM01003770	ACUA000023	+	14955	16045	3	14955-15270:15339-15912:16000-16045
Anopheles_culicifacies	AXCM01003864	ACUA000024	+	11848	23144	5	11848-11981:12904-14269:14344-20261:20376-20525:22931-23144
Anopheles_culicifacies	AXCM01003849	ACUA000034	-	10818	16923	3	10818-12153:13245-14924:15821-16923
Anopheles_culicifacies	AXCM01002864	ACUA000035	-	15418	18473	6	15418-15531:15609-15780:17029-17219:17745-17808:17880-18313:18396-18473
Anopheles_culicifacies	KI423978	ACUA000036	+	19818	23624	4	19818-20142:21528-21767:22967-23133:23508-23624
Anopheles_culicifacies	KI423635	ACUA000037	+	16831	17647	3	16831-16995:17062-17432:17503-17647
Anopheles_culicifacies	KI425261	ACUA000038	-	4247	14597	15	4247-4847:4912-5014:5383-5699:5777-5919:6076-6536:6600-7035:7102-7263:7427-8413:10379-10852:10913-11741:11816-12156:12234-12418:12530-13569:13653-14389:14571-14597
Anopheles_culicifacies	AXCM01001849	ACUA000040	+	11602	22725	3	11602-11934:17251-17349:22693-22725
Anopheles_culicifacies	AXCM01011553	ACUA000041	+	67	3886	4	67-130:2737-2918:3156-3332:3425-3886
Anopheles_culicifacies	AXCM01008296	ACUA000042	-	2760	5967	4	2760-2822:4158-4399:4775-4840:5946-5967
Anopheles_culicifacies	KI422821	ACUA000043	+	32619	33594	2	32619-32685:32750-33594
Anopheles_culicifacies	KI423730	ACUA000044	-	2616	3300	3	2616-2767:2926-3113:3188-3300
Anopheles_culicifacies	AXCM01000926	ACUA000046	+	19172	21999	3	19172-20149:20207-20983:21055-21999
Anopheles_culicifacies	KI422483	ACUA000047	+	130353	131269	3	130353-130708:130889-131049:131154-131269
Anopheles_culicifacies	AXCM01003151	ACUA000048	+	16375	18272	3	16375-16409:16535-16973:18138-18272
Anopheles_culicifacies	KI423905	ACUA000049	+	16491	17449	2	16491-16511:16577-17449
Anopheles_culicifacies	KI422777	ACUA000050	-	26675	30252	4	26675-26755:27803-27870:29155-29423:30170-30252
Anopheles_culicifacies	AXCM01008610	ACUA000059	+	6522	8148	3	6522-7445:7819-7980:8056-8148
Anopheles_culicifacies	AXCM01008841	ACUA000060	-	7386	11474	8	7386-8378:9101-9409:9484-9636:9790-9921:9996-10382:10453-10935:11010-11269:11333-11474
Anopheles_culicifacies	AXCM01015462	ACUA000062	+	1261	3820	4	1261-1677:1833-2167:2237-2383:2464-3820
Anopheles_culicifacies	KI423736	ACUA000063	-	13604	14691	2	13604-14565:14640-14691
Anopheles_culicifacies	KI422630	ACUA000064	+	44199	67336	12	44199-44226:47035-47215:47344-47469:48771-48916:50620-51792:55284-55829:59794-60025:60302-60901:62600-62761:62882-63002:63678-63835:63934-67336
Anopheles_culicifacies	KI422478	ACUA000066	+	139787	141920	8	139787-139964:140024-140254:140338-140526:140604-140676:140757-140883:140969-141151:141250-141554:141644-141920
Anopheles_culicifacies	AXCM01002771	ACUA000067	-	5552	6468	2	5552-6339:6399-6468
Anopheles_culicifacies	KI422937	ACUA000068	+	229	7710	13	229-309:387-593:655-1188:1254-1379:1450-1803:1870-2525:2591-2739:2815-3356:3396-3638:3707-3818:3890-4103:4170-4383:7462-7710
Anopheles_culicifacies	KI425131	ACUA000069	-	12201	12611	1	12201-12611
Anopheles_culicifacies	KI424106	ACUA000073	+	2104	20553	11	2104-2247:2309-2655:6069-6078:6361-6516:7283-7411:7496-7771:14859-15155:18655-18801:18886-19162:19783-19931:20215-20553
Anopheles_culicifacies	AXCM01011849	ACUA000074	+	5129	6057	3	5129-5379:5517-5613:5632-6057
Anopheles_culicifacies	KI425472	ACUA000076	-	4431	8434	7	4431-4511:4583-4648:4744-5342:5406-5490:5558-5827:5895-6045:8151-8434
Anopheles_culicifacies	KI423391	ACUA000077	-	22046	22843	1	22046-22843
Anopheles_culicifacies	AXCM01008990	ACUA000078	+	9752	10719	3	9752-9962:10274-10411:10487-10719
Anopheles_culicifacies	KI423104	ACUA000079	+	20753	23788	4	20753-21384:21456-21598:21668-21828:21905-23788
Anopheles_culicifacies	AXCM01006398	ACUA000081	+	13419	13637	1	13419-13637
Anopheles_culicifacies	KI422575	ACUA000083	-	50099	51944	2	50099-51627:51743-51944
Anopheles_culicifacies	KI426220	ACUA000084	+	475	2880	1	475-2880
Anopheles_culicifacies	KI423782	ACUA000085	-	22021	22660	2	22021-22483:22605-22660
Anopheles_culicifacies	KI422963	ACUA000086	+	7198	13301	9	7198-7409:7473-7677:7748-8026:8103-8212:9002-11192:11271-11532:11608-11964:12031-13051:13121-13301
Anopheles_culicifacies	KI424850	ACUA000087	-	9663	12370	3	9663-10137:10211-10934:12253-12370
Anopheles_culicifacies	AXCM01000852	ACUA000088	+	22068	22883	1	22068-22883
Anopheles_culicifacies	AXCM01000489	ACUA000090	+	11775	12238	2	11775-11879:12026-12238
Anopheles_culicifacies	KI422509	ACUA000094	-	27594	38231	7	27594-27795:28008-28912:29014-29160:29228-29453:29520-29782:29847-30020:38094-38231
Anopheles_culicifacies	AXCM01015067	ACUA000095	+	821	1990	1	821-1990
Anopheles_culicifacies	KI422715	ACUA000096	+	992	1333	1	992-1333
Anopheles_culicifacies	AXCM01016645	ACUA000099	-	1787	6135	6	1787-1937:2087-2299:2364-2514:2577-2819:5664-5861:5934-6135
Anopheles_culicifacies	AXCM01008150	ACUA000101	-	9904	10863	2	9904-10371:10828-10863
Anopheles_culicifacies	AXCM01000229	ACUA000102	-	52182	63977	6	52182-52235:54550-54768:54889-55319:56282-56372:63745-63843:63969-63977
Anopheles_culicifacies	KI422831	ACUA000103	+	25998	28251	4	25998-26491:26610-27624:27704-27839:28115-28251
Anopheles_culicifacies	KI424511	ACUA000105	-	1345	3932	2	1345-1517:3497-3932
Anopheles_culicifacies	KI422484	ACUA000108	+	995	2069	3	995-1536:1628-1774:1868-2069
Anopheles_culicifacies	AXCM01006202	ACUA000109	-	12858	14320	4	12858-12991:13059-13270:13353-13497:14053-14320
Anopheles_culicifacies	KI424018	ACUA000111	-	8322	12311	4	8322-8378:9124-9256:9338-12145:12256-12311
Anopheles_culicifacies	KI422708	ACUA000112	-	9772	12714	3	9772-9933:11068-11633:11943-12714
Anopheles_culicifacies	AXCM01005393	ACUA000113	-	2843	3533	3	2843-2941:3008-3177:3434-3533
Anopheles_culicifacies	KI423341	ACUA000115	+	18780	21957	5	18780-19687:19954-20067:20143-20268:20361-20684:21906-21957
Anopheles_culicifacies	AXCM01004908	ACUA000116	-	1712	3536	5	1712-2050:2126-2489:2564-2818:2886-3090:3161-3536
Anopheles_culicifacies	AXCM01005955	ACUA000117	+	1808	8308	2	1808-2202:8179-8308
Anopheles_culicifacies	AXCM01001778	ACUA000124	+	785	1078	2	785-902:969-1078
Anopheles_culicifacies	AXCM01002090	ACUA000129	+	16714	17750	2	16714-16779:17499-17750
Anopheles_culicifacies	KI422687	ACUA000130	+	10689	14978	5	10689-10781:13151-13309:13386-13941:14043-14260:14337-14978
Anopheles_culicifacies	KI422922	ACUA000132	+	23383	27186	2	23383-23410:25670-27186
Anopheles_culicifacies	KI423333	ACUA000137	+	14838	27554	5	14838-14852:15525-15737:22281-22729:26171-27078:27253-27554
Anopheles_culicifacies	KI426738	ACUA000140	-	5389	7124	3	5389-5723:5787-6578:6656-7124
Anopheles_culicifacies	KI422563	ACUA000141	+	24824	26732	3	24824-24981:25959-26469:26547-26732
Anopheles_culicifacies	KI424771	ACUA000142	-	7338	7796	1	7338-7796
