scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB663910	-	KB663905	+	-4944.84884355	0.183332433478	0.5	4
KB663611	-	KB664055	+	-988.501196588	0.0995868369312	0.666666666667	3
KB663629	-	KB664110	-	-4305.84884355	0.0132767698095	0.526315789474	19
KB663629	-	KB663899	-	1804.07725165	0.388988743723	0.25	4
KB663626	+	KB663645	+	-150.118392054	0.408244545499	0.333333333333	3
KB663882	+	KB663624	-	-3712.84884355	0.095975454859	0.666666666667	3
KB663882	+	KB663754	+	1332.72505931	0.378459262538	0.25	4
KB663882	+	KB663652	-	-1895	0.129974551971	0.769230769231	13
KB663882	+	KB664166	-	-483	0.624612960547	0.230769230769	26
KB664054	-	KB664276	-	-3577.84884355	0.56259136961	0.926829268293	205
KB664054	-	KB664276	+	-3401.84884355	0.785860145576	0.666666666667	6
KB664199	-	KB663651	-	-4007.84884355	0.416019186977	0.5	4
KB663769	+	KB663620	-	-4246.84884355	0.325476352292	0.333333333333	3
KB663988	-	KB663655	+	55.3896798781	0.71595731166	0.666666666667	3
KB663988	-	KB663932	+	-2348.84884355	0.254373902967	0.6	5
KB663988	-	KB664264	+	-2530.84884355	0.474291213435	0.333333333333	3
KB663944	-	KB663748	-	-3957.84884355	0.217644040741	0.6	5
KB663773	-	KB663943	+	-2653.84884355	0.891100470818	0.333333333333	3
KB663630	+	KB663688	+	4212.88327678	0.242642138706	0.4	5
KB663955	-	KB663643	+	779.614307419	0.10247315613	0.75	4
KB663634	-	KB664210	-	-909.32051328	0.903995429366	0.333333333333	3
KB663634	-	KB663761	+	-420.728940326	0.0648873194231	0.25	4
KB663774	+	KB663627	-	-346	0.475110094172	0.290322580645	31
KB663632	+	KB663932	+	-1393.16743692	0.487838333344	0.666666666667	3
KB663651	+	KB663623	-	1143.28719901	0.464091990463	0.5	4
KB663651	+	KB663748	+	-2806.84884355	0.19386351226	0.666666666667	3
KB663651	+	KB664121	+	-1354.75636354	0.921539578688	0.666666666667	3
KB663651	+	KB663629	-	-1830.84884355	0.977335741957	0.538461538462	13
KB663640	+	KB664268	+	-2992.84884355	0.812098519793	0.666666666667	3
KB664264	+	KB663694	-	-3176.84884355	0.7918749547	0.75	4
KB663788	-	KB663615	-	-3862.84884355	0.405668542953	0.666666666667	6
KB663788	-	KB663833	+	-2446.84884355	0.545218997234	0.571428571429	7
KB663766	+	KB664262	+	535.214513951	0.867514312955	0.615384615385	13
KB663844	-	KB663744	-	-2343.84884355	0.556808415996	0.5	6
KB663782	+	KB663857	-	3607	0.509644594346	0.333333333333	3
KB663656	-	KB664277	-	1462.67125754	0.539692051155	0.666666666667	3
KB664277	+	KB664266	-	-1977	0.251793764288	0.95145631068	103
KB663788	+	KB664253	-	1541.84552395	0.875185938973	0.333333333333	3
KB663772	-	KB663737	+	-3779.84884355	0.199884448574	0.555555555556	9
KB663648	+	KB663637	+	-3195.84884355	0.635409916609	0.5	8
KB663804	-	KB663833	+	-2947.84884355	0.169097858328	0.666666666667	3
KB664055	+	KB664263	-	1356.25886678	0.421899088471	0.333333333333	3
KB664055	+	KB664077	-	187.517937207	0.755383968012	0.727272727273	11
KB664284	+	KB664268	+	-4527.84884355	0.288704878287	0.333333333333	3
KB664132	+	KB664282	+	-4313.84884355	0.418519114168	0.666666666667	6
KB664282	-	KB663932	+	-902.664661823	0.777896295921	0.7	10
KB663645	+	KB663751	+	-3274.84884355	0.945694220786	0.333333333333	3
KB663772	+	KB663932	+	-2576.84884355	0.630168994949	0.25	4
KB663800	+	KB663649	+	-2155.84884355	0.685878123903	0.333333333333	3
KB664272	+	KB663626	+	-2798.84884355	0.733176856678	0.833333333333	24
KB663637	-	KB663921	+	96.5495870257	0.402931584724	0.5	4
KB664271	-	KB663629	-	-4164.84884355	0.213709819727	0.75	4
KB663621	+	KB664265	-	-2088.84884355	0.796714782813	0.333333333333	3
KB663621	+	KB663855	-	-3123.84884355	0.441934089344	0.75	4
KB664280	-	KB663905	+	-3631.84884355	0.222320700297	0.75	4
KB663754	+	KB664253	-	-2557.84884355	0.382906347763	0.666666666667	9
KB663661	+	KB663618	-	-3505.84884355	0.765514391386	0.666666666667	3
KB664210	+	KB663899	-	-3897.84884355	0.401978672372	0.666666666667	18
KB664287	+	KB664021	+	521.361937568	0.768703307812	0.333333333333	3
KB664110	+	KB663638	-	-4487.84884355	0.31200038084	0.246753246753	77
KB663751	-	KB663682	-	-267.10598196	0.510815628467	0.5	4
KB664270	-	KB664043	+	5027.33418616	0.464252445235	0.25	4
KB663755	-	KB664043	+	-3289.84884355	0.752967056373	0.25	4
KB663665	+	KB663649	+	-358.502281829	0.0893719919129	0.5	4
KB663804	+	KB664270	-	723.69026291	0.0582475283955	0.666666666667	3
KB664043	-	KB663855	-	-3462.84884355	0.196360463097	0.666666666667	3
