#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_stephensi	KB664288	ASTE006291	+	94436	107527	12	94436-94561:98889-99005:99091-99210:99283-99384:99455-99488:102996-103230:103315-103438:104042-104182:104253-104420:104489-104612:106683-107308:107342-107527
Anopheles_stephensi	KB664288	ASTE006292	-	115848	119206	5	115848-115988:116050-116355:117486-117525:118165-118305:119175-119206
Anopheles_stephensi	KB664288	ASTE006293	+	122559	131800	10	122559-122711:124317-124455:125014-125255:125324-125478:125612-125782:125890-126362:126436-126578:126644-126747:126838-130088:130392-131800
Anopheles_stephensi	KB664288	ASTE006294	+	137040	138278	1	137040-138278
Anopheles_stephensi	KB664288	ASTE006295	+	155385	156920	1	155385-156920
Anopheles_stephensi	KB664288	ASTE006296	+	210500	212778	3	210500-210521:211399-211538:212476-212778
Anopheles_stephensi	KB664288	ASTE006297	-	237690	243174	3	237690-237938:238089-238189:241782-243174
Anopheles_stephensi	KB664288	ASTE006298	-	305048	314953	33	305048-305383:305445-305693:305767-305920:305988-306103:306173-306332:306406-306522:306578-306824:306901-307145:307505-307809:307875-308123:308188-308341:308414-308529:308599-308755:308823-308939:309023-309269:309333-309554:309635-309647:310035-310346:310420-310668:310741-310894:310956-311071:311135-311291:311358-311474:311543-311789:312527-312560:312998-313279:313339-313587:313644-313800:313877-313992:314060-314216:314279-314395:314463-314709:314764-314953
Anopheles_stephensi	KB664288	ASTE006299	-	364262	387690	29	364262-364421:364495-364616:364720-365205:365455-365680:366108-366295:366381-366531:366599-367035:367991-368103:368185-368303:368435-373088:373173-373321:373393-373472:373542-373631:373699-373740:374355-374420:374496-374582:374650-374937:375033-375317:375393-375541:376060-376509:376840-377202:377338-377649:377713-377819:380429-380576:380703-381094:381368-381411:382940-383358:387176-387391:387558-387690
Anopheles_stephensi	KB664288	ASTE006300	+	437485	439866	5	437485-437619:437707-438630:438705-439179:439247-439424:439494-439866
