scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB704383	-	KB704873	+	-58881.9221988	0	1.0	5
KB704383	-	KB705195	-	-19171.9590256	0.583658162457	0.333333333333	6
KB704383	-	KB704784	-	-70878.3692908	0	1.0	5
KB704383	-	KB704415	+	-18531.3879377	0.210661406519	0.5	4
KB704383	-	KB704973	+	-54385.9560231	0	1.0	5
KB705006	-	KB704387	-	-6697.07693599	0	1.0	5
KB705006	-	KB704596	+	8071.66998343	0.677355787636	0.5	6
KB705006	-	KB704127	-	-55168.897922	0.891750570045	0.2	5
KB704271	+	KB704182	+	-66924.6282537	0	1.0	7
KB704271	+	KB705151	-	-41199.1484501	0.0371052726284	0.75	4
KB704271	+	KB704540	-	-35406.8702453	0.37961897548	0.6	5
KB704271	+	KB705240	+	-4049.23935485	0	1.0	7
KB705029	-	KB704873	+	-12693.828948	0	1.0	5
KB705029	-	KB704138	+	-87774.7110049	0	1.0	5
KB705029	-	KB704507	+	-86002.9895614	0	1.0	4
KB704485	+	KB704762	-	-78221.9886662	0.368252703512	0.6	5
KB704485	+	KB704762	+	-34027.5568551	0.543467279621	0.666666666667	3
KB705162	+	KB705062	-	-81299.4809688	0	1.0	7
KB705162	+	KB705129	+	-29275.7047411	0	1.0	4
KB705162	+	KB704873	-	3922.75918627	0	1.0	6
KB705262	-	KB704973	-	4515.89741457	0.143821828549	0.5	4
KB705262	-	KB704182	+	-36473.2862676	0	1.0	4
KB705262	-	KB704380	-	41918.6684213	0	1.0	5
KB705262	-	KB705040	+	-56421.5268589	0	1.0	8
KB705262	-	KB705173	-	-47440.13423	0.15635614609	0.166666666667	6
KB704415	+	KB704551	-	-35397.8977311	0.000946185373492	0.4	5
KB705317	-	KB704407	+	-51641.8858293	0.0470511523727	0.166666666667	6
KB704529	+	KB704918	-	6876.21433932	0	1.0	8
KB704907	+	KB704762	-	-47866.4260162	0	1.0	6
KB704400	+	KB704407	+	-83556.8486335	0	1.0	6
KB705151	-	KB705029	-	-73563.5306407	0	1.0	6
KB705151	-	KB705129	+	-23918.8186897	0.000106747778523	0.333333333333	3
KB705151	-	KB704182	-	-37995.60107	0	1.0	6
KB704349	-	KB704372	-	-85935.2355086	0	1.0	9
KB704349	-	KB704237	-	41445.4521439	0.329786303742	0.25	4
KB704349	-	KB705184	-	-82454.9769328	0.751589044052	0.25	4
KB704349	-	KB705217	+	-11289.1139473	0	1.0	3
KB704984	-	KB705062	-	26827.4051955	4.81756697327e-05	0.25	4
KB704984	-	KB704138	+	-71740.4338057	4.0183640314e-05	0.333333333333	3
KB704984	-	KB704349	-	-71081.6720662	0.64603681678	0.0384615384615	26
KB704640	-	KB704126	-	-27679.1891327	0.828413951284	0.4	15
KB704367	-	KB705040	+	-65594.5991044	0	1.0	3
KB704367	-	KB705051	+	-43716.9725643	0.812114433883	0.333333333333	6
KB704367	-	KB705229	-	-15344.6037923	0	1.0	3
KB704367	-	KB704995	-	-24885.9173353	0	1.0	3
KB704367	-	KB704271	+	-36631.7884475	0	1.0	4
KB705051	+	KB704607	+	-75294.2329389	0	1.0	3
KB704440	+	KB705140	-	-24238.1928833	0	1.0	4
KB704984	+	KB705206	-	-60047.5405176	0.0275727665123	0.4	5
KB704984	+	KB704696	-	-84375.677147	0	1.0	4
KB704984	+	KB704551	-	-52496.1198956	0.000936828907837	0.4	5
KB704984	+	KB704540	-	61312.9558852	0.000183841257543	0.333333333333	3
KB704127	-	KB704973	-	-13825.2541192	0	1.0	5
KB704127	-	KB704397	-	-82311.6531757	0	1.0	7
KB704127	-	KB704551	-	35161.1799093	0	1.0	3
KB704348	-	KB704896	-	-59380.0084965	0.61263469114	0.333333333333	6
KB704596	-	KB704237	-	-44209.6511925	0.000713654532997	0.333333333333	3
KB704596	-	KB705007	+	-50781.5849226	0.65981304879	0.333333333333	3
KB704596	-	KB704237	+	-68575.9051224	0	1.0	3
KB704596	-	KB704785	+	-65914.8857358	0.431804462411	0.333333333333	3
KB704596	-	KB705095	-	-56361.283307	0	1.0	3
KB704403	-	KB704138	+	16595.8291258	0	1.0	3
KB704403	-	KB704193	+	-65981.8154055	0	1.0	5
KB704403	-	KB705040	+	-63560.5688239	0	1.0	8
KB704403	-	KB704238	-	-6792.6365639	0	1.0	3
KB704403	-	KB704282	+	-31934.9265324	0	1.0	3
KB704403	-	KB704138	-	-18149.7689976	0	1.0	3
KB704403	-	KB704873	+	5310.41535783	0	1.0	3
KB704403	-	KB705129	-	-75264.5921792	0	1.0	3
KB705306	+	KB705029	-	-70770.9906377	0	1.0	18
KB705306	+	KB704349	-	-60050.7340976	0	1.0	20
KB705306	+	KB705229	+	-88929.6169584	0	1.0	3
KB705306	+	KB704304	+	-65040.7668452	0	1.0	3
KB705306	+	KB705040	+	-23025.6503438	0	1.0	9
KB705306	+	KB704193	+	-25255.894642	0	1.0	5
KB704884	+	KB704407	+	-41268.9804779	0.929744237504	0.333333333333	12
KB704380	+	KB704507	+	17115.5989658	0.427686623414	0.176470588235	17
KB705229	+	KB704651	-	-76595.2369596	0.226947557443	0.4	5
KB705295	+	KB704896	-	-43370.0505707	0	1.0	6
KB705295	+	KB704907	+	-72240.5728316	0	1.0	6
KB704360	+	KB705173	+	-79175.3197137	0	1.0	4
KB704762	+	KB705317	-	-48590.4849184	0	1.0	6
KB704762	+	KB704873	+	-60584.0998229	0	1.0	3
KB704762	+	KB704463	-	-78806.4745289	0.668730404592	0.5	6
KB704762	+	KB705007	+	-20445.1106682	0	1.0	5
KB704762	+	KB704282	+	-65855.8841337	0	1.0	22
KB704762	+	KB704995	-	-71819.9090992	0	1.0	22
KB704529	-	KB704485	+	-23711.5640563	0.00165419145807	0.5	6
KB704529	-	KB704551	-	-13308.893215	0	1.0	3
KB704529	-	KB704271	+	-55210.3872116	0	1.0	3
KB704529	-	KB704372	-	-32349.5622776	0	1.0	8
KB704529	-	KB704773	+	-58935.8559427	0.000569693956575	0.375	8
KB704574	+	KB704349	-	-85682.4988351	0	1.0	25
KB704618	+	KB704372	-	-60108.479643	0	1.0	7
KB704618	+	KB704829	-	7738.8425198	4.54878521224e-05	0.333333333333	3
KB704618	+	KB704940	-	7462.51930897	0	1.0	6
