scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_004754781.1	-	NW_004677482.1	-	414.03243351	0.760650943122	0.285714285714	7
NW_004743777.1;NW_004705227.1;NW_004735255.1;NW_004727332.1;NW_004733260.1;NW_004712189.1;NW_004705043.1;NW_004742273.1;NW_004702749.1;NW_004734201.1;NW_004739892.1;NW_004722298.1;NW_004733773.1;NW_004719273.1;NW_004723178.1;NW_004739222.1;NW_004736954.1;NW_004717523.1;NW_004720553.1;NW_004697170.1;NW_004730897.1;NW_004742578.1;NW_004722982.1;NW_004718623.1;NW_004727175.1;NW_004709548.1;NW_004736147.1;NW_004742498.1;NW_004718648.1;NW_004740660.1;NW_004734854.1;NW_004727246.1;NW_004718860.1;NW_004707394.1;NW_004748149.1;NW_004720342.1;NW_004754736.1;NW_004746231.1;NW_004748428.1;NW_004750560.1;NW_004697943.1;NW_004744059.1;NW_004734235.1;NW_004726115.1;NW_004739491.1;NW_004746586.1;NW_004732651.1;NW_004734227.1;NW_004742345.1;NW_004745270.1;NW_004734860.1;NW_004700833.1;NW_004715935.1;NW_004701306.1;NW_004741047.1;NW_004748045.1;NW_004752517.1;NW_004743588.1;NW_004735541.1;NW_004728020.1;NW_004743284.1;NW_004753290.1;NW_004728325.1;NW_004726762.1;NW_004737442.1;NW_004725467.1;NW_004705059.1;NW_004741425.1;NW_004728060.1;NW_004740421.1;NW_004748872.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	NW_004685186.1	-	1297.45811558	0.593239202735	0.6	5
NW_004743777.1;NW_004705227.1;NW_004735255.1;NW_004727332.1;NW_004733260.1;NW_004712189.1;NW_004705043.1;NW_004742273.1;NW_004702749.1;NW_004734201.1;NW_004739892.1;NW_004722298.1;NW_004733773.1;NW_004719273.1;NW_004723178.1;NW_004739222.1;NW_004736954.1;NW_004717523.1;NW_004720553.1;NW_004697170.1;NW_004730897.1;NW_004742578.1;NW_004722982.1;NW_004718623.1;NW_004727175.1;NW_004709548.1;NW_004736147.1;NW_004742498.1;NW_004718648.1;NW_004740660.1;NW_004734854.1;NW_004727246.1;NW_004718860.1;NW_004707394.1;NW_004748149.1;NW_004720342.1;NW_004754736.1;NW_004746231.1;NW_004748428.1;NW_004750560.1;NW_004697943.1;NW_004744059.1;NW_004734235.1;NW_004726115.1;NW_004739491.1;NW_004746586.1;NW_004732651.1;NW_004734227.1;NW_004742345.1;NW_004745270.1;NW_004734860.1;NW_004700833.1;NW_004715935.1;NW_004701306.1;NW_004741047.1;NW_004748045.1;NW_004752517.1;NW_004743588.1;NW_004735541.1;NW_004728020.1;NW_004743284.1;NW_004753290.1;NW_004728325.1;NW_004726762.1;NW_004737442.1;NW_004725467.1;NW_004705059.1;NW_004741425.1;NW_004728060.1;NW_004740421.1;NW_004748872.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	NW_004679356.1	-	344.908081055	0.494732170077	0.666666666667	6
NW_004676798.1	-	NW_004676468.1;NW_004680151.1;NW_004678222.1	-;-;-	-1946.57527396	0.855528604476	0.8	5
NW_004678143.1	+	NW_004676770.1;NW_004678192.1;NW_004753545.1;NW_004753406.1;NW_004729288.1;NW_004748779.1;NW_004753434.1;NW_004676352.1;NW_004728051.1;NW_004748049.1;NW_004715382.1;NW_004746496.1;NW_004740662.1;NW_004750528.1;NW_004730797.1;NW_004731447.1;NW_004727095.1;NW_004682889.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-1411.07241499	0.262069464283	0.833333333333	6
NW_004676751.1;NW_004676496.1	+;+	NW_004676477.1	+	515.444887474	0.486569400563	0.666666666667	6
NW_004689694.1;NW_004679339.1;NW_004677793.1;NW_004677251.1;NW_004677213.1;NW_004676459.1;NW_004745103.1;NW_004676724.1;NW_004677460.1	-;-;-;-;-;-;-;-;-	NW_004676337.1	+	-1802.65263572	0.172242868709	0.5	14
NW_004677904.1;NW_004678185.1;NW_004677726.1;NW_004683927.1;NW_004676457.1;NW_004677776.1	+;+;+;+;+;+	NW_004677816.1;NW_004680201.1;NW_004677785.1;NW_004678968.1;NW_004680541.1;NW_004677206.1;NW_004678020.1	+;+;+;+;+;+;+	-1722.80646148	0.182675683473	0.8	5
NW_004678191.1	+	NW_004748321.1;NW_004735232.1;NW_004736442.1;NW_004734791.1;NW_004731140.1;NW_004739516.1;NW_004735505.1;NW_004683002.1;NW_004718758.1;NW_004749312.1;NW_004742592.1;NW_004677441.1	+;+;+;+;+;+;+;+;+;+;+;+	-1777.04194337	0.0374340081672	0.6	5
NW_004679356.1	+	NW_004678588.1	-	-1226.70981574	0.298470491851	0.833333333333	6
