contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
AXCQ01012063	1030	4125213.3	63141.0	176.0	No
AXCQ01012026	1068	1137123.5	17405.0	176.0	No
AXCQ01011938	1257	1005119.1	15384.0	176.0	No
AXCQ01012002	1129	627464.5	9604.0	176.0	No
AXCQ01011867	1445	314333.3	4811.0	176.0	No
AXCQ01011917	1328	306132.0	4686.0	176.0	No
KI440093	21569	290519.2	4447.0	176.0	No
AXCQ01011968	1225	175403.8	2685.0	176.0	No
AXCQ01012019	1081	144203.5	2207.0	176.0	No
AXCQ01011894	1338	119296.2	1826.0	176.0	No
AXCQ01011898	1385	108890.9	1667.0	176.0	No
AXCQ01011804	1636	84220.1	1289.0	176.0	No
AXCQ01011882	1447	78199.2	1197.0	176.0	No
AXCQ01011877	1403	64556.8	988.0	176.0	No
AXCQ01011651	2117	60696.0	929.0	176.0	No
AXCQ01011761	1845	58741.5	899.0	176.0	No
AXCQ01011884	1455	51529.4	789.0	176.0	No
AXCQ01011531	2694	44474.2	681.0	176.0	No
AXCQ01011823	1566	43799.3	670.0	176.0	No
AXCQ01012066	1049	41022.0	628.0	176.0	No
KI439513	108360	40379.2	618.0	176.0	No
KI440108	36829	40262.3	616.0	176.0	No
AXCQ01012057	1000	37402.0	572.0	176.0	No
AXCQ01011839	1524	35980.4	551.0	176.0	No
KI440687	9472	34287.5	525.0	176.0	No
AXCQ01011915	1340	32551.6	498.0	176.0	No
AXCQ01011746	1888	30357.0	465.0	176.0	No
AXCQ01011424	3292	30337.6	464.0	176.0	No
AXCQ01011144	4408	28174.4	431.0	176.0	No
AXCQ01010576	7287	26557.8	406.0	176.0	No
AXCQ01011837	1550	26207.6	401.0	176.0	No
AXCQ01010988	5442	26111.3	400.0	176.0	No
KI439875	26657	24976.2	382.0	176.0	No
KI440688	8446	23352.6	357.0	176.0	No
KI439696	59039	22109.4	338.0	176.0	No
AXCQ01011925	1287	21892.2	335.0	176.0	No
KI439948	21247	20360.2	312.0	176.0	No
AXCQ01011559	2653	17911.2	274.0	176.0	No
AXCQ01011610	2439	16443.4	252.0	176.0	No
AXCQ01011667	2082	14590.6	223.0	176.0	No
KI439814	66873	12667.6	194.0	176.0	No
AXCQ01012041	1089	12503.7	191.0	176.0	No
KI440259	18578	12456.2	191.0	176.0	No
KI440726	8813	12312.3	188.0	176.0	No
AXCQ01010958	3463	12270.8	188.0	176.0	No
KI439652	57454	11700.9	179.0	176.0	No
KI439642	57063	11171.3	171.0	176.0	No
KI439219	313541	10810.0	165.0	176.0	No
AXCQ01008014	26555	10170.8	156.0	176.0	No
